
[00:00:00.000 --> 00:00:02.960]  會先來帶你去分享那個畫面
[00:00:02.960 --> 00:00:06.380]  就是肝膽相照
[00:00:06.380 --> 00:00:09.920]  如果一個人他活在這個世上
[00:00:09.920 --> 00:00:12.420]  但是他沒有了朋友的時候
[00:00:12.420 --> 00:00:14.360]  只是孤單一人的話
[00:00:14.360 --> 00:00:16.360]  那就真的很痛苦
[00:00:16.360 --> 00:00:18.360]  我不知道大家記不記得一套電影
[00:00:18.360 --> 00:00:21.720]  我不是很記得它中文名字是什麼
[00:00:21.720 --> 00:00:24.260]  就是講到那個男主角
[00:00:24.260 --> 00:00:27.100]  他流落在荒島那裡
[00:00:27.100 --> 00:00:28.520]  但是他都很悶
[00:00:28.520 --> 00:00:32.180]  於是拿著那個球畫了自己的樣子
[00:00:32.180 --> 00:00:33.680]  就是畫了自己的樣子
[00:00:33.680 --> 00:00:35.100]  整天跟他聊天
[00:00:35.100 --> 00:00:37.100]  這個就成為他的朋友了
[00:00:37.100 --> 00:00:39.100]  這樣的時候
[00:00:39.100 --> 00:00:41.900]  你看到原來人真的很需要
[00:00:41.900 --> 00:00:43.900]  但是不得不承認
[00:00:43.900 --> 00:00:47.160]  很多時候我們很多朋友
[00:00:47.160 --> 00:00:49.160]  如果你有用臉書的話
[00:00:49.160 --> 00:00:51.160]  在這幾年裡面已經不用臉書了
[00:00:51.160 --> 00:00:53.160]  你用臉書的時候
[00:00:53.160 --> 00:00:56.420]  可能你的名單是很多
[00:00:56.420 --> 00:00:59.680]  但是這個叫什麼呢
[00:00:59.680 --> 00:01:00.680]  朋友嘛
[00:01:00.680 --> 00:01:02.680]  但是真真正正的知己
[00:01:02.680 --> 00:01:04.680]  心交的
[00:01:04.680 --> 00:01:06.680]  是有多少個人呢
[00:01:06.680 --> 00:01:09.680]  有多少人真的肝膽相照呢
[00:01:09.680 --> 00:01:11.180]  如果香港來的人
[00:01:11.180 --> 00:01:12.180]  我們很熟悉
[00:01:12.180 --> 00:01:14.180]  香港人說朋友我們做什麼的
[00:01:14.180 --> 00:01:16.180]  出賣
[00:01:16.180 --> 00:01:17.180]  是的
[00:01:17.180 --> 00:01:18.680]  那你看到
[00:01:18.680 --> 00:01:19.680]  一有什麼事情
[00:01:19.680 --> 00:01:21.680]  那些人馬上割席
[00:01:21.680 --> 00:01:23.680]  但是《聖經》裡面
[00:01:23.680 --> 00:01:25.680]  對愛的描述是什麼呢
[00:01:25.680 --> 00:01:27.680]  好像我們都說
[00:01:27.680 --> 00:01:29.180]  父母的愛
[00:01:29.180 --> 00:01:30.680]  特別過去的母親節
[00:01:30.680 --> 00:01:32.180]  母親的愛很偉大
[00:01:32.180 --> 00:01:33.680]  爸爸的愛也很偉大
[00:01:33.680 --> 00:01:35.680]  或者是夫婦的愛
[00:01:35.680 --> 00:01:37.680]  但是《聖經》是說
[00:01:37.680 --> 00:01:39.180]  哪一種愛最大呢
[00:01:39.180 --> 00:01:40.680]  我們一起來看看
[00:01:40.680 --> 00:01:44.680]  約翰福音第15章第13節
[00:01:44.680 --> 00:01:46.680]  人為朋友寫命
[00:01:46.680 --> 00:01:49.680]  人的愛心沒有比這個大
[00:01:49.680 --> 00:01:53.680]  原來這份愛最大的是什麼呢
[00:01:53.680 --> 00:01:54.680]  就是朋友
[00:01:54.680 --> 00:01:58.680]  甚至朋友為了對方寫命
[00:01:58.680 --> 00:02:00.680]  我們在結尾的時候
[00:02:00.680 --> 00:02:02.680]  會再看這一段經文
[00:02:02.680 --> 00:02:03.680]  而《聖經》裡面
[00:02:03.680 --> 00:02:05.680]  最為人傳頌的
[00:02:05.680 --> 00:02:09.180]  就是讚賞的朋友的情誼是誰呢
[00:02:09.180 --> 00:02:12.180]  就是大衛和約拿丹
[00:02:12.180 --> 00:02:13.680]  那時候《聖經》也說
[00:02:13.680 --> 00:02:15.180]  大衛和約拿丹
[00:02:15.180 --> 00:02:17.180]  但是我自己就會反過來
[00:02:17.180 --> 00:02:19.680]  是約拿丹和大衛
[00:02:19.680 --> 00:02:22.680]  因為約拿丹更加值得我們去欣賞
[00:02:22.680 --> 00:02:24.680]  甚至有些不相信的人
[00:02:24.680 --> 00:02:25.680]  也會質疑
[00:02:25.680 --> 00:02:27.680]  他們兩個會不會是同性戀呢
[00:02:27.680 --> 00:02:28.680]  我不明白為什麼
[00:02:28.680 --> 00:02:31.680]  可以兩個男士很好朋友
[00:02:31.680 --> 00:02:33.680]  你就質疑他是同性戀呢
[00:02:33.680 --> 00:02:37.680]  《聖經》裡面有三段經文
[00:02:37.680 --> 00:02:41.680]  直接記載了他們兩個人的事情
[00:02:41.680 --> 00:02:43.680]  我們就分體這三段
[00:02:43.680 --> 00:02:47.680]  第一就是約拿丹和大衛結盟
[00:02:47.680 --> 00:02:51.680]  在《撒布爾記》上第18章的1到4節
[00:02:51.680 --> 00:02:54.680]  後來蘇羅要殺大衛的時候
[00:02:54.680 --> 00:02:56.680]  很憎恨大衛
[00:02:56.680 --> 00:02:59.680]  但是約拿丹竟然幫你不幫親
[00:02:59.680 --> 00:03:04.680]  他就來勸父親不要惡待大衛
[00:03:04.680 --> 00:03:05.680]  這就是第二段
[00:03:05.680 --> 00:03:08.680]  第19章1到7節
[00:03:08.680 --> 00:03:10.680]  後來最後一個記載就是
[00:03:10.680 --> 00:03:13.680]  他們兩個再一次相見
[00:03:13.680 --> 00:03:16.680]  但是這一次是永別了
[00:03:16.680 --> 00:03:18.680]  他們就會分開
[00:03:18.680 --> 00:03:21.680]  死都沒有再來相見
[00:03:21.680 --> 00:03:22.680]  為什麼呢
[00:03:22.680 --> 00:03:26.680]  因為約拿丹知道父親一定會來追殺大衛
[00:03:26.680 --> 00:03:30.680]  於是他竟然通風報信
[00:03:30.680 --> 00:03:32.680]  叫大衛逃亡
[00:03:32.680 --> 00:03:36.680]  所以他們再一次很短暫的見面
[00:03:36.680 --> 00:03:39.680]  在23章15到18節
[00:03:39.680 --> 00:03:42.680]  自此之後他就沒有再見了
