
[00:00:00.000 --> 00:00:03.240]  今日和大家分享的訊息
[00:00:03.240 --> 00:00:05.480]  其實是一個新的開始
[00:00:05.480 --> 00:00:08.480]  因為教會的年度是10月開始
[00:00:08.480 --> 00:00:14.440]  上星期大合堂宣佈年度的開始
[00:00:14.440 --> 00:00:16.720]  我想在講道上
[00:00:16.720 --> 00:00:22.720]  我自己就選擇了《彼得前書》作為一個開始
[00:00:22.720 --> 00:00:24.400]  在這個年代裏面
[00:00:24.400 --> 00:00:27.480]  選這本書是有一個原因的
[00:00:27.480 --> 00:00:32.640]  因為主要在今年的裏面提醒我們好幾樣東西
[00:00:32.640 --> 00:00:35.400]  想我們有一個焦點
[00:00:35.400 --> 00:00:38.160]  有幾個焦點
[00:00:38.160 --> 00:00:41.280]  上星期有回來
[00:00:41.280 --> 00:00:42.640]  你可能會記得
[00:00:42.640 --> 00:00:44.200]  一個是關於生命的
[00:00:44.200 --> 00:00:45.360]  我們個人的生命的
[00:00:45.360 --> 00:00:50.520]  升階要奮進和要更新
[00:00:50.520 --> 00:00:52.600]  現在和大家在溫書
[00:00:52.600 --> 00:00:55.760]  我們彼此的關係
[00:00:55.760 --> 00:00:58.000]  群體的裏面要合一
[00:00:58.000 --> 00:01:00.160]  互補
[00:01:00.160 --> 00:01:03.680]  相愛
[00:01:03.680 --> 00:01:05.760]  在面對這個世代
[00:01:05.760 --> 00:01:08.920]  其實我們需要很多的禱告
[00:01:08.920 --> 00:01:10.640]  無論是這個城市
[00:01:10.640 --> 00:01:12.120]  無論是這個世界
[00:01:12.120 --> 00:01:13.880]  很多很多不同的地方
[00:01:13.880 --> 00:01:17.480]  都需要我們很大很大的禱告的代求
[00:01:17.480 --> 00:01:20.640]  所以我想主是知道我們的狀況
[00:01:20.640 --> 00:01:24.640]  而主又很想我們跟隨祂
[00:01:24.640 --> 00:01:26.560]  我選這本《彼得前書》
[00:01:26.560 --> 00:01:27.880]  因為很特別的
[00:01:27.880 --> 00:01:30.280]  這本書裏面雖然不是很長
[00:01:30.280 --> 00:01:31.360]  五章聖經
[00:01:31.360 --> 00:01:35.920]  但裏面有很多地方涵蓋了剛才我們說的東西
[00:01:35.920 --> 00:01:37.480]  它說聖祭的生命
[00:01:37.480 --> 00:01:39.480]  它說禱告
[00:01:39.480 --> 00:01:41.240]  它說彼此相愛
[00:01:41.240 --> 00:01:43.440]  它說要彼此牧養
[00:01:43.440 --> 00:01:48.680]  它說我們的生命在地上怎樣可以奮進
[00:01:48.680 --> 00:01:50.360]  它說很多相同的
[00:01:50.360 --> 00:01:51.600]  這些的內容在中間
[00:01:51.600 --> 00:01:53.240]  不同的地方都出現
[00:01:53.240 --> 00:01:55.080]  所以我覺得這本書很好
[00:01:55.080 --> 00:01:56.760]  當然不只是這本書
[00:01:56.760 --> 00:01:59.240]  今年的裏面還有很多的主題
[00:01:59.240 --> 00:02:00.720]  一些人物
[00:02:00.720 --> 00:02:02.640]  說一下生命怎樣奮進
[00:02:02.640 --> 00:02:04.560]  我們看看聖經裏面的人物
[00:02:04.560 --> 00:02:07.240]  我們看看某些禱告的內容
[00:02:07.240 --> 00:02:09.920]  怎樣為這個世代禱告、代求
[00:02:09.920 --> 00:02:12.200]  我想成年就環繞著這些課題
[00:02:12.200 --> 00:02:13.920]  我們可以去分享
[00:02:13.920 --> 00:02:16.880]  我猜主會給我們很豐富的筵席
[00:02:16.880 --> 00:02:21.200]  這本書的
[00:02:21.200 --> 00:02:23.120]  我想先問一下大家
[00:02:23.120 --> 00:02:24.120]  有哪個大姐姐妹
[00:02:24.120 --> 00:02:25.600]  你是未曾過往
[00:02:25.600 --> 00:02:27.200]  你未曾
[00:02:27.200 --> 00:02:28.480]  這本書你未曾讀過的
[00:02:28.480 --> 00:02:29.480]  你自己
[00:02:29.480 --> 00:02:31.800]  有沒有人未曾試過的
[00:02:31.800 --> 00:02:33.880]  我想不是很多的應該
[00:02:33.880 --> 00:02:35.560]  看上去家庭區很多人都
[00:02:35.560 --> 00:02:37.280]  花了十年八載
[00:02:37.280 --> 00:02:39.360]  二十年三十載
[00:02:39.360 --> 00:02:41.320]  你應該都會碰過的
[00:02:41.320 --> 00:02:41.880]  OK
[00:02:41.880 --> 00:02:43.080]  所以不過我說的
[00:02:43.080 --> 00:02:44.160]  如果你真的不是很熟
[00:02:44.160 --> 00:02:45.760]  或者你未曾過往
[00:02:45.760 --> 00:02:46.960]  都很少讀過的話
[00:02:46.960 --> 00:02:48.840]  我鼓勵你細細讀一下這本書
[00:02:48.840 --> 00:02:49.280]  好嗎
[00:02:49.280 --> 00:02:51.640]  彼得的前書
[00:02:51.640 --> 00:02:54.840]  OK 好了
[00:02:54.840 --> 00:02:56.160]  我們先打開聖經
[00:02:56.160 --> 00:02:58.280]  今天會說第一段
[00:02:58.280 --> 00:03:00.120]  彼得前書的第一章
[00:03:00.120 --> 00:03:03.200]  第一節到第十二節
