
[00:00:00.000 --> 00:00:04.800]  今天跟大家分享的信息是一生不變的信仰
[00:00:04.800 --> 00:00:09.520]  剛才師母領詩時的那首「為主而活」
[00:00:09.520 --> 00:00:11.400]  裏面強調了很多次
[00:00:11.400 --> 00:00:16.320]  就是我們一生一世都是為主而活
[00:00:16.320 --> 00:00:17.600]  這個實在很重要
[00:00:17.600 --> 00:00:19.400]  因為很多時候我們新年開始
[00:00:19.400 --> 00:00:21.240]  我們可能會立志
[00:00:21.240 --> 00:00:23.960]  但可能過了不久
[00:00:23.960 --> 00:00:28.320]  我們又可能已經將我們要立志的東西
[00:00:28.320 --> 00:00:31.760]  又放在背後
[00:00:31.760 --> 00:00:34.760]  但我們知道基督教的信仰寶貴的
[00:00:34.760 --> 00:00:38.640]  就是不是一種心理作用
[00:00:38.640 --> 00:00:43.640]  有些人認為信仰只不過是心理作用
[00:00:43.640 --> 00:00:46.880]  信就有 不信就沒有
[00:00:46.880 --> 00:00:48.760]  我們感謝神
[00:00:48.760 --> 00:00:50.720]  我們的信仰不是一種心理作用
[00:00:50.720 --> 00:00:52.720]  也不是一種宗教形式
[00:00:52.720 --> 00:00:57.040]  所以不是說只不過著作一些形式
[00:00:57.040 --> 00:01:01.600]  而是成為一種宗教的禮儀
[00:01:01.600 --> 00:01:05.320]  也不是一種哲學的理念
[00:01:05.320 --> 00:01:07.320]  是人生的一些哲學理念
[00:01:07.320 --> 00:01:10.760]  對於生命 對於未來
[00:01:10.760 --> 00:01:12.480]  但我們寶貴的
[00:01:12.480 --> 00:01:17.040]  不單止我們有宗教的一些很重要的敬拜儀式
[00:01:17.040 --> 00:01:22.400]  有很深沉和很有道理的哲學理論思想
[00:01:22.400 --> 00:01:26.520]  更加是神保障我們的心靈有平安
[00:01:26.520 --> 00:01:30.920]  我們在精神上有寄託
[00:01:30.920 --> 00:01:32.240]  這些都是真的
[00:01:32.240 --> 00:01:35.840]  但最重要的是如果我們沒有了神
[00:01:35.840 --> 00:01:37.600]  沒有了一位又真又活的神
[00:01:37.600 --> 00:01:40.560]  和祂建立一種真實的關係
[00:01:40.560 --> 00:01:45.520]  那基督教的信仰只會淪落於上面所述的一切
[00:01:45.520 --> 00:01:46.600]  但我們感謝神
[00:01:46.600 --> 00:01:48.240]  我們所經歷到的
[00:01:48.240 --> 00:01:51.560]  就是我們有一位創造主
[00:01:51.560 --> 00:01:54.040]  一位曾經來過這個世界
[00:01:54.040 --> 00:01:56.760]  剛剛我們慶祝聖誕節
[00:01:56.760 --> 00:02:01.880]  亦都親自在我們人生當中讓我們經歷到的神
[00:02:01.880 --> 00:02:04.720]  祂主動地改變了我們的生命
[00:02:04.720 --> 00:02:10.080]  祂更加幫助我們能夠恢復與上帝應有的關係
[00:02:10.080 --> 00:02:11.000]  所以感謝神
[00:02:11.000 --> 00:02:14.560]  當我們與神有一個和好的關係的時候
[00:02:14.560 --> 00:02:17.240]  這就是影響我們一生的信仰
[00:02:17.240 --> 00:02:20.200]  這就是可以幫助我們一生都不改變的
[00:02:20.200 --> 00:02:24.680]  因為這個神是一位不改變的神
[00:02:24.680 --> 00:02:26.400]  當我們有了新的關係
[00:02:26.400 --> 00:02:27.920]  自然會影響我們的生活
[00:02:27.920 --> 00:02:31.080]  所以為主而活是很正常的
[00:02:31.080 --> 00:02:34.720]  因為當我們承認耶穌基督是我們的救主的時候
[00:02:34.720 --> 00:02:36.200]  不單是一種口號
[00:02:36.200 --> 00:02:38.520]  不單是一種理念
[00:02:38.520 --> 00:02:40.680]  更加是一種毀身
[00:02:40.680 --> 00:02:43.520]  就是會影響我們的生活
[00:02:43.520 --> 00:02:46.920]  所以當你與一個人有新的關係的時候
[00:02:46.920 --> 00:02:48.680]  一定會影響你的
[00:02:48.680 --> 00:02:51.280]  好像我們的子女
[00:02:51.280 --> 00:02:53.080]  他交了新的朋友
[00:02:53.080 --> 00:02:54.560]  就會影響他
[00:02:54.560 --> 00:02:58.120]  因為他自然多了一些text message
[00:02:58.120 --> 00:03:03.120]  或者一些social media的接觸
[00:03:03.120 --> 00:03:04.520]  別人打電話給他
[00:03:04.520 --> 00:03:05.960]  他會有些不同的互動
[00:03:05.960 --> 00:03:08.240]  因為會影響他的生活
[00:03:08.240 --> 00:03:10.040]  如果那些人經常找他出街
[00:03:10.040 --> 00:03:12.080]  可能他就忙得很厲害
[00:03:12.080 --> 00:03:18.000]  如果很多人經常來跟他彼此待討
[00:03:18.000 --> 00:03:20.000]  互相在聖經裏面追求
[00:03:20.000 --> 00:03:22.720]  就會影響他屬靈的生活
[00:03:22.720 --> 00:03:23.600]  夫婦
[00:03:23.600 --> 00:03:24.840]  當我們結婚的時候
