
[00:00:00.000 --> 00:00:02.000]  好,各位平安
[00:00:02.000 --> 00:00:04.000]  原來我的麥克風很響
[00:00:04.000 --> 00:00:09.000]  咦,我的鏡頭 看到我半邊臉而已
[00:00:09.000 --> 00:00:10.000]  不要緊
[00:00:10.000 --> 00:00:12.000]  好,再一次,平安
[00:00:12.000 --> 00:00:14.000]  平安啦
[00:00:14.000 --> 00:00:20.000]  今天可以和大家一起有思想上帝話語的時間
[00:00:20.000 --> 00:00:27.000]  如果我們將今天這個時代和在聖經記載的時代
[00:00:27.000 --> 00:00:30.000]  去比較,特別是舊約時代的話
[00:00:30.000 --> 00:00:35.000]  我總覺得舊約時代很明顯見到主會對人說話
[00:00:35.000 --> 00:00:37.000]  或者主很明顯地行動
[00:00:37.000 --> 00:00:40.000]  無論主是向先知或其他人說話
[00:00:40.000 --> 00:00:44.000]  又或者透過不同的神蹟騎士上帝行動
[00:00:44.000 --> 00:00:50.000]  可能例如當帶領以色列民在抗疫當中
[00:00:50.000 --> 00:00:52.000]  以雲柱火柱的形式
[00:00:52.000 --> 00:00:54.000]  都會很明顯見到
[00:00:54.000 --> 00:00:59.000]  好像主題所說的行動力滿滿的上帝
[00:00:59.000 --> 00:01:02.000]  我自己某程度來說
[00:01:02.000 --> 00:01:04.000]  有點羨慕那種情況
[00:01:04.000 --> 00:01:06.000]  或者羨慕那種境況
[00:01:06.000 --> 00:01:07.000]  因為在現今的世代
[00:01:07.000 --> 00:01:11.000]  我們似乎更加多感受的是上帝沒有行動
[00:01:11.000 --> 00:01:15.000]  當我們見到一些困境的時候
[00:01:15.000 --> 00:01:17.000]  或者我們見到一些很大的災難的時候
[00:01:17.000 --> 00:01:19.000]  都總會問的就是
[00:01:19.000 --> 00:01:21.000]  神你在哪裡
[00:01:21.000 --> 00:01:24.000]  帶著這些問題我回到聖經裡面
[00:01:24.000 --> 00:01:27.000]  其實發現在聖經當中
[00:01:27.000 --> 00:01:29.000]  在舊約當中其實都有不少的時刻
[00:01:29.000 --> 00:01:31.000]  我們如果處於當中的時候
[00:01:31.000 --> 00:01:34.000]  我們都會問到同樣的問題
[00:01:34.000 --> 00:01:37.000]  因此我就想和大家從舊約的記載去看
[00:01:37.000 --> 00:01:40.000]  當時神行動力滿滿的時代
[00:01:40.000 --> 00:01:43.000]  神的不行動又是怎樣的一件事呢
[00:01:43.000 --> 00:01:45.000]  在思想這個主題之前
[00:01:45.000 --> 00:01:47.000]  讓我們一起先有個祈禱
[00:01:47.000 --> 00:01:49.000]  七位天父感謝您
[00:01:49.000 --> 00:01:51.000]  今日我們可以一同在這個地方
[00:01:51.000 --> 00:01:53.000]  可以一同敬拜您
[00:01:53.000 --> 00:01:56.000]  一同去讚美您
[00:01:56.000 --> 00:01:58.000]  我們向您獻上感恩
[00:01:58.000 --> 00:02:00.000]  這個時候我們可以一同去思想您的華語
[00:02:00.000 --> 00:02:05.000]  幫助我們在當中更加明白您的心意
[00:02:05.000 --> 00:02:08.000]  讓我們可以更懂得在生命當中
[00:02:08.000 --> 00:02:09.000]  怎樣去實踐您的華語
[00:02:09.000 --> 00:02:10.000]  願主能夠帶領
[00:02:10.000 --> 00:02:11.000]  奉主一生的聖名祈求
[00:02:11.000 --> 00:02:12.000]  Amen
[00:02:12.000 --> 00:02:15.000]  我不知道大家身邊有沒有一些朋友
[00:02:15.000 --> 00:02:19.000]  他是有很大的存在感
[00:02:19.000 --> 00:02:21.000]  可能因為他是一個很多post的人
[00:02:21.000 --> 00:02:24.000]  或者是他做的事很多
[00:02:24.000 --> 00:02:26.000]  換句話來說就是他很多的行動
[00:02:26.000 --> 00:02:29.000]  令到他有很多存在感
[00:02:29.000 --> 00:02:32.000]  但是如果有一天他什麼都沒有做的話
[00:02:32.000 --> 00:02:34.000]  很多人就會問發生什麼事
[00:02:34.000 --> 00:02:36.000]  是不是病了等等的事
[00:02:36.000 --> 00:02:37.000]  然後就會覺得很奇怪
[00:02:37.000 --> 00:02:40.000]  因為想說他本身很多行動力
