
[00:00:00.000 --> 00:00:06.000]  各位兄弟姐妹早晨,元神的恩典常與你們同在。
[00:00:06.000 --> 00:00:13.000]  今日我和大家分享師哥智慧文學的第二卷書,師篇。
[00:00:13.000 --> 00:00:19.000]  如果我們用實體聖經的話,大家都知道,
[00:00:19.000 --> 00:00:25.000]  師篇大概就位於聖經中央的位置。
[00:00:25.000 --> 00:00:30.000]  除了幾篇我們稱為智慧師之外,
[00:00:30.000 --> 00:00:34.000]  師篇一般都不算是智慧文學,
[00:00:34.000 --> 00:00:39.000]  因為智慧文學不涉及救贖這個主題。
[00:00:39.000 --> 00:00:44.000]  但是師篇卻是大量祈求上帝的解救。
[00:00:44.000 --> 00:00:52.000]  師篇是師哥用於敬拜禮儀之中,是唱出來的討聞。
[00:00:52.000 --> 00:01:00.000]  師哥文字的特點就是平衡、對比,採取很多象徵、聯想。
[00:01:00.000 --> 00:01:07.000]  文字是押韻的,不過在翻譯的過程中就沒有辦法保留。
[00:01:07.000 --> 00:01:13.000]  作為祈禱文,師篇有幾種類型,很多不同的類型。
[00:01:13.000 --> 00:01:21.000]  最常見的有三種,第一種是讚美師,讚美上帝的偉大和榮耀。
[00:01:21.000 --> 00:01:29.000]  第二種是祈求師,或叫做哀歌,人生有苦情,有危機。
[00:01:29.000 --> 00:01:36.000]  面對這些逆境,自然的人會向神求解救。
[00:01:36.000 --> 00:01:45.000]  這些祈禱師有群體的祈禱師,也有個體的祈禱師。
[00:01:45.000 --> 00:01:56.000]  第三種常見的就叫做感恩師,就是苦難過後,雨過天晴,感謝神的解救。
[00:01:56.000 --> 00:02:02.000]  祈求師和感恩師都會涉及救贖這個主題。
[00:02:02.000 --> 00:02:16.000]  師人將生命的所有實況,喜樂的、悲傷的、平安的、恐懼的、期盼的、絕望的,
[00:02:16.000 --> 00:02:22.000]  無論什麼祭禱,都好像祭物一樣,獻承在神的面前。
[00:02:22.000 --> 00:02:29.000]  無論景況順逆,師人都懷著信心仰望神。
[00:02:29.000 --> 00:02:36.000]  一代又一代的師人,他們浸在神的恩典裡面。
[00:02:36.000 --> 00:02:42.000]  他讓人生一切的經驗都釀成豐富生命的美酒。
[00:02:42.000 --> 00:02:47.000]  在這些祈禱裡面,就算是痛不欲生的經驗,
[00:02:47.000 --> 00:02:56.000]  師人仍然會在信仰裡面體會到那個顧念蒼生的上帝的臨在。
[00:02:56.000 --> 00:03:02.000]  例如,耶穌在十字架上,在極度的悲苦之中,
[00:03:02.000 --> 00:03:08.000]  祂的呼喊:「我的神,我的神,為什麼離棄我?」
[00:03:08.000 --> 00:03:16.000]  這個呼喊本身就是詩篇的討聞,出自詩篇第二十二篇第一節。
[00:03:16.000 --> 00:03:23.000]  臨死前,耶穌在呼喊,祂說:「父啊,我將我的靈魂交在你手裡。」
[00:03:23.000 --> 00:03:28.000]  這個信靠神的說話,其實都是詩篇的討聞,
[00:03:28.000 --> 00:03:32.000]  出自詩篇第三十一篇第五節。
[00:03:32.000 --> 00:03:39.000]  大家想想,連上帝的兒子,在他最深刻的痛苦裡面,
[00:03:39.000 --> 00:03:45.000]  他的呼喊,他的討聞,都是出自詩篇的。
[00:03:45.000 --> 00:03:54.000]  可以看到,詩篇可以說是將人和神扣得最緊的經文。
[00:03:54.000 --> 00:04:04.000]  詩篇從人的角度來說,是私人懷著喜怒哀樂的所有不同的情緒,
[00:04:04.000 --> 00:04:07.000]  真誠地走向上帝。
[00:04:07.000 --> 00:04:13.000]  詩篇從神的角度來說,是神親自表述。
[00:04:13.000 --> 00:04:19.000]  他以悲憫擁抱著悲苦的人間。
[00:04:19.000 --> 00:04:25.000]  在這些討聞裡面,人和神,心和心連在一起。
[00:04:25.000 --> 00:04:32.000]  無怪乎有個靈修的大師,Thomas Merton,中文翻譯為梅頓。
[00:04:32.000 --> 00:04:41.000]  這個靈修大師說,詩篇可以理解為耶穌向天父的祈禱。
[00:04:41.000 --> 00:04:45.000]  如果他的說法是有道理的話,
