
[00:00:00.000 --> 00:00:03.820]  今天的講道都看到題目了
[00:00:03.820 --> 00:00:05.780]  應不應景?
[00:00:05.780 --> 00:00:08.580]  都是要講一下這個
[00:00:08.580 --> 00:00:12.860]  有時候我們在講道裏面
[00:00:12.860 --> 00:00:14.360]  當然是講聖經的真理
[00:00:14.360 --> 00:00:16.200]  我們不是講自己的說話
[00:00:16.200 --> 00:00:18.420]  盡可能在聖經裏面看看
[00:00:18.420 --> 00:00:21.600]  如何去看待這些事情
[00:00:21.600 --> 00:00:27.280]  希望能夠透過聖經的記載和教導
[00:00:27.280 --> 00:00:29.360]  幫助我們看待這些問題
[00:00:29.360 --> 00:00:33.920]  而不是純粹用世人的角度
[00:00:33.920 --> 00:00:37.240]  不同的意見去看待這些事情
[00:00:37.240 --> 00:00:39.520]  我們今天的題目是
[00:00:39.520 --> 00:00:41.200]  瘟疫與我
[00:00:41.200 --> 00:00:42.640]  瘟疫
[00:00:42.640 --> 00:00:46.840]  當時大家看到這個題目就想起
[00:00:46.840 --> 00:00:50.840]  現今香港或者現今全世界
[00:00:50.840 --> 00:00:56.560]  都在遭遇這個病情
[00:00:56.560 --> 00:00:59.120]  武漢肺炎的影響
[00:00:59.120 --> 00:01:03.360]  我們怎樣從聖經的角度去看待這件事情
[00:01:03.360 --> 00:01:05.640]  幫助我們去明白呢?
[00:01:05.640 --> 00:01:09.840]  我們就嘗試從一些經文去看
[00:01:09.840 --> 00:01:14.240]  希望大家跟著我一起思想
[00:01:14.240 --> 00:01:18.760]  主要的經文是這三段
[00:01:18.760 --> 00:01:21.440]  《未寄阿摩斯書》和《詩篇》
[00:01:21.440 --> 00:01:22.800]  中間其實還有很多經文
[00:01:22.800 --> 00:01:24.800]  我講道的特色有很多經文
[00:01:24.800 --> 00:01:29.240]  其中一個原因是
[00:01:29.240 --> 00:01:32.400]  透過聖經裡面不同的經文講一些事情
[00:01:32.400 --> 00:01:34.880]  我們越看得多、看得闊
[00:01:34.880 --> 00:01:37.040]  就能夠看得比較準確
[00:01:37.040 --> 00:01:39.760]  這是我一直的看法
[00:01:39.760 --> 00:01:43.520]  當然你說很細緻地讀聖經也是有需要的
[00:01:43.520 --> 00:01:44.880]  這次講瘟疫與我
[00:01:44.880 --> 00:01:47.600]  第一我們去看看一段聖經
[00:01:47.600 --> 00:01:49.680]  在《利未記》
[00:01:49.680 --> 00:01:55.040]  《利未記》那一段是很詳細地記述了很多事情
[00:01:55.040 --> 00:01:59.600]  我其實想讀的是《利未記》26章
[00:01:59.600 --> 00:02:01.920]  1至40節全部讀完
[00:02:01.920 --> 00:02:03.360]  不過太長了
[00:02:03.360 --> 00:02:05.120]  讀完就困難了
[00:02:05.120 --> 00:02:08.160]  所以如果有空可以打開你的聖經
[00:02:08.160 --> 00:02:12.120]  我剛才已經把繩子放在了《利未記》26章裡
[00:02:12.120 --> 00:02:13.320]  你揭開它
[00:02:13.320 --> 00:02:15.920]  我就跟大家一路看下去
[00:02:15.920 --> 00:02:18.920]  看一些比較重要的經文
[00:02:18.920 --> 00:02:21.680]  我不是太詳細講的那些
[00:02:21.680 --> 00:02:23.080]  我就會跳過
[00:02:23.080 --> 00:02:27.800]  《利未記》這段其實是神要跟以色列人說
