
[00:00:00.000 --> 00:00:07.000]  各位弟兄姊妹,平安!聖經向你説話
[00:00:07.000 --> 00:00:10.000]  今天我要介紹的是路加福音
[00:00:10.000 --> 00:00:14.000]  路加福音是全本聖經裏面
[00:00:14.000 --> 00:00:18.000]  唯一一個愛幫人的作者
[00:00:18.000 --> 00:00:23.000]  醫生路加,因為他的職業就是醫生
[00:00:23.000 --> 00:00:25.000]  他一共寫了兩卷書
[00:00:25.000 --> 00:00:27.000]  一本就是《路加福音》
[00:00:27.000 --> 00:00:29.000]  一本就是《仕途行傳》
[00:00:29.000 --> 00:00:34.000]  很特別,這兩卷書都有一個序言
[00:00:34.000 --> 00:00:37.000]  當你打開第一章,由第一到第三節
[00:00:37.000 --> 00:00:39.000]  你就看見這個序言
[00:00:39.000 --> 00:00:46.000]  他說:我是寫給一個親愛的提亞非羅大人
[00:00:46.000 --> 00:00:49.000]  一個很尊敬的稱呼
[00:00:49.000 --> 00:00:53.000]  提亞非羅就是一個愛神
[00:00:53.000 --> 00:00:56.000]  敬畏神的人的意思
[00:00:56.000 --> 00:00:59.000]  有些人說可能他是一個高官
[00:00:59.000 --> 00:01:01.000]  或者是一個很尊貴的人士
[00:01:01.000 --> 00:01:04.000]  但也可以說是寫給那些
[00:01:04.000 --> 00:01:06.000]  凡敬畏神的人看
[00:01:06.000 --> 00:01:08.000]  路加他怎麽說?
[00:01:08.000 --> 00:01:12.000]  他說:我因為要寫耶穌的生平
[00:01:12.000 --> 00:01:15.000]  所以我就搜集了很多的資料
[00:01:15.000 --> 00:01:19.000]  我按著次序來寫給大家
[00:01:19.000 --> 00:01:23.000]  所以路加福音是一本很有次序
[00:01:23.000 --> 00:01:27.000]  將耶穌的一生剪輯的福音
[00:01:27.000 --> 00:01:31.000]  這卷書寫得非常優美
[00:01:31.000 --> 00:01:35.000]  有很多人說路加的希臘文
[00:01:35.000 --> 00:01:39.000]  是寫得很高雅、很優美
[00:01:39.000 --> 00:01:42.000]  很活潑、很生動的
[00:01:42.000 --> 00:01:47.000]  叫你讀的時候很被內容吸引
[00:01:47.000 --> 00:01:51.000]  而且由於路加做了很多功夫
[00:01:51.000 --> 00:01:55.000]  所以有三分之一的內容
[00:01:55.000 --> 00:01:58.000]  在其他福音書沒有記載
[00:01:58.000 --> 00:02:02.000]  單單在路加福音你才看到的
[00:02:02.000 --> 00:02:06.000]  例如好撒瑪利亞人的比喻
[00:02:06.000 --> 00:02:09.000]  例如浪子的比喻
[00:02:09.000 --> 00:02:13.000]  例如撒該的故事
[00:02:13.000 --> 00:02:17.000]  全部都是只有在路加福音
[00:02:17.000 --> 00:02:19.000]  你才找到的
[00:02:19.000 --> 00:02:22.000]  所以路加實在是用了很多功夫
[00:02:22.000 --> 00:02:27.000]  來向人介紹耶穌的生平
