
[00:00:00.000 --> 00:00:04.000]  馬太封音是對猶太人講的
[00:00:04.000 --> 00:00:07.000]  特別是寫給神的選民的
[00:00:07.000 --> 00:00:10.000]  因此在這個天國封音的信息裏面
[00:00:10.000 --> 00:00:12.000]  一開始就是在頭七章
[00:00:12.000 --> 00:00:14.000]  一篇很長很長的講章
[00:00:14.000 --> 00:00:16.000]  就是耶穌親自去宣講
[00:00:16.000 --> 00:00:18.000]  這個天國官
[00:00:18.000 --> 00:00:20.000]  天國的子民又有什麼素質
[00:00:20.000 --> 00:00:22.000]  諸如此類的
[00:00:22.000 --> 00:00:24.000]  然後去到八至十二章
[00:00:24.000 --> 00:00:26.000]  就已經是用了很多神蹟騎士
[00:00:26.000 --> 00:00:30.000]  將耶穌這個彌撞的身份
[00:00:30.000 --> 00:00:32.000]  展示出來
[00:00:32.000 --> 00:00:34.000]  所以真正的福音
[00:00:34.000 --> 00:00:36.000]  或者說真正的救恩
[00:00:36.000 --> 00:00:38.000]  其實是我們的主耶穌自己
[00:00:38.000 --> 00:00:40.000]  但是很可惜
[00:00:40.000 --> 00:00:42.000]  就是事情發展到
[00:00:42.000 --> 00:00:44.000]  今天我們講的十三章的時候
[00:00:44.000 --> 00:00:46.000]  是有些東西改變了
[00:00:46.000 --> 00:00:48.000]  因爲當耶穌出來宣講的時候
[00:00:48.000 --> 00:00:50.000]  並不是好像我們心目當中那樣想
[00:00:50.000 --> 00:00:52.000]  他真是人山人海很受歡迎
[00:00:52.000 --> 00:00:54.000]  沒錯在羣衆當中
[00:00:54.000 --> 00:00:56.000]  也有很多人跟着他
[00:00:56.000 --> 00:00:58.000]  目的不知
[00:00:58.000 --> 00:01:00.000]  可能有喫包
[00:01:00.000 --> 00:01:02.000]  可能有神蹟騎士
[00:01:02.000 --> 00:01:04.000]  有人醫病
[00:01:04.000 --> 00:01:06.000]  但很肯定
[00:01:06.000 --> 00:01:08.000]  就是耶穌的醫病和趕鬼
[00:01:08.000 --> 00:01:10.000]  其實是令到一幫宗教的領袖
[00:01:10.000 --> 00:01:12.000]  是很不開心的
[00:01:12.000 --> 00:01:14.000]  除了爲耶穌犯安息日之外
[00:01:14.000 --> 00:01:16.000]  也因爲他趕鬼
[00:01:16.000 --> 00:01:18.000]  他甚至是誣衊
[00:01:18.000 --> 00:01:20.000]  他也是靠鬼王趕鬼
[00:01:20.000 --> 00:01:22.000]  所以我們看到這個景象
[00:01:22.000 --> 00:01:24.000]  很多人都會蜂擁而至
[00:01:24.000 --> 00:01:26.000]  去親近耶穌
[00:01:26.000 --> 00:01:28.000]  很想聽耶穌說話
[00:01:28.000 --> 00:01:30.000]  很想見耶穌行神蹟
[00:01:30.000 --> 00:01:32.000]  但是這一幫人
[00:01:32.000 --> 00:01:34.000]  究竟有多少人
[00:01:34.000 --> 00:01:36.000]  真是很喜歡耶穌
[00:01:36.000 --> 00:01:38.000]  很渴望天國的福音
[00:01:38.000 --> 00:01:40.000]  爲什麼說其實他們
[00:01:40.000 --> 00:01:42.000]  各人來到耶穌的面前
[00:01:42.000 --> 00:01:44.000]  其實都是有不同的
[00:01:44.000 --> 00:01:46.000]  目的呢
[00:01:46.000 --> 00:01:48.000]  就好像今天
[00:01:48.000 --> 00:01:50.000]  是一個主日
[00:01:50.000 --> 00:01:52.000]  很多人都回教會
[00:01:52.000 --> 00:01:54.000]  很多人都會擁擠
