
[00:00:00.000 --> 00:00:21.680]  我讚美主我們由敬拜小組帶領我們一起在神的裏面
[00:00:21.680 --> 00:00:25.520]  我很感恩今天可以在這裏
[00:00:25.520 --> 00:00:30.520]  我感恩可以和大家分享這一刻
[00:00:30.520 --> 00:00:37.400]  這是很大的祝福
[00:00:37.400 --> 00:00:47.120]  張牧師是一個很好的教導我們華語的牧師
[00:00:47.120 --> 00:00:51.360]  我繼續向他學習
[00:00:51.360 --> 00:00:57.880]  他帶領我們很深入地進入神的華語
[00:00:57.880 --> 00:01:10.720]  他不僅是和我們講華語的意思,而是要我們進入我們的目的
[00:01:10.720 --> 00:01:19.040]  神在我們生命中有不同的計劃
[00:01:19.040 --> 00:01:28.880]  今天我的訊息是比較語化的
[00:01:28.880 --> 00:01:36.160]  我想為大家帶來一個盼望的訊息
[00:01:36.160 --> 00:01:39.200]  去鼓勵大家
[00:01:39.200 --> 00:01:45.160]  我想大家有這個確具
[00:01:45.160 --> 00:01:52.840]  我們今天崇拜的神永遠都是信實的
[00:01:52.840 --> 00:01:57.040]  他永遠都是充滿恩典的
[00:01:57.040 --> 00:02:02.320]  永遠都是憐憫我們的
[00:02:02.320 --> 00:02:07.960]  請大家幫我一起祈禱
[00:02:07.960 --> 00:02:15.280]  親愛的天父,感謝祢愛我們
[00:02:15.280 --> 00:02:19.920]  感謝祢永遠都不會離開我們
[00:02:19.920 --> 00:02:26.880]  求祢幫助我們在今天早上聽見祢溫柔甜美的聲音
[00:02:26.880 --> 00:02:31.120]  我們的心需要醫治
[00:02:31.120 --> 00:02:35.480]  我們的靈魂需要重新得力
[00:02:35.480 --> 00:02:41.280]  我們的思想需要潔淨
[00:02:41.280 --> 00:02:43.920]  我們來到祢面前
[00:02:43.920 --> 00:02:51.280]  要聆聽祢,向祢學習,並領受祢的愛
[00:02:51.280 --> 00:02:59.000]  願祢的聖靈親自臨在我們當中
[00:02:59.000 --> 00:03:05.520]  讓我們屬祢的兒女都得到安慰
[00:03:05.520 --> 00:03:09.200]  我們這樣的祈禱是奉主耶穌基督的命求
[00:03:09.200 --> 00:03:10.200]  阿們
[00:03:29.000 --> 00:03:45.800]  剛才我們讀的這段詩篇是大衛在晚年比較年老的時候寫的
[00:03:45.800 --> 00:04:03.400]  大衛曾經都是一個年輕人,撒慕爾記上十六章十二節形容大衛是容貌盡美
[00:04:03.400 --> 00:04:18.600]  臉色紅潤,雙目清瘦,我以前也是這樣的
[00:04:18.600 --> 00:04:34.600]  現在的牧師都不差
[00:04:34.600 --> 00:04:38.600]  詩篇一百零三篇說我們的生命好像草
[00:04:38.600 --> 00:04:46.000]  我們初初好像田野的花一樣茂盛
[00:04:46.000 --> 00:04:50.400]  一開始這些花看上去很美
[00:04:50.400 --> 00:04:56.000]  接著大被風吹一吹
[00:04:56.000 --> 00:04:59.600]  花瓣開始跌落
[00:04:59.600 --> 00:05:03.600]  一片又一片
[00:05:03.600 --> 00:05:15.600]  最後再沒有人會記得這個地方有這朵花生長過
[00:05:15.600 --> 00:05:21.400]  這段經文不是要嚇我們
[00:05:21.400 --> 00:05:27.200]  但要提醒我們一件很重要的事
[00:05:27.200 --> 00:05:38.000]  我們是短暫的,但神是永恆的
[00:05:38.000 --> 00:05:41.200]  我們的身體會改變
[00:05:41.200 --> 00:05:45.000]  我們的力量也會改變
[00:05:45.000 --> 00:05:48.600]  我們的容貌也會改變
[00:05:48.600 --> 00:05:54.600]  我們的記憶也會改變
[00:05:54.600 --> 00:06:04.000]  但留意這段經文之後出了一個很重要的字
[00:06:04.000 --> 00:06:18.600]  但從耿古到永遠耶和華的慈愛歸於敬畏他的人
[00:06:18.600 --> 00:06:25.600]  我們會衰殘,但神的愛不會衰殘
[00:06:25.600 --> 00:06:31.600]  我們會改變,但神是不會改變
[00:06:31.600 --> 00:06:38.600]  我們或者會忘記,但神是記得的
[00:06:38.600 --> 00:06:44.600]  這個就是我今天想大家一起思想的
[00:06:44.600 --> 00:06:52.600]  聖經很多地方都講到紀念
[00:06:52.600 --> 00:07:04.600]  摩西對以色列人說:要記住是哪位神將你帶出埃及
[00:07:04.600 --> 00:07:14.600]  對希伯來人說:要紀念耶和華所做的一切
[00:07:14.600 --> 00:07:24.600]  保羅對以弗所的長者說:要紀念主耶穌的話語
[00:07:24.600 --> 00:07:38.600]  在領聖餐的時候對門徒說:
[00:07:38.600 --> 00:07:47.600]  領主餐的時候要紀念十字架上的主
[00:07:47.600 --> 00:07:52.600]  我們基督教的信仰是充滿著紀念
[00:07:52.600 --> 00:07:57.600]  記住神所做過的事
[00:07:57.600 --> 00:08:02.600]  記住神所說的一切話語
[00:08:02.600 --> 00:08:09.600]  記住神是哪一個?記住基督耶穌
[00:08:09.600 --> 00:08:17.600]  但是當我們的記性開始退化會怎樣呢?
[00:08:17.600 --> 00:08:27.600]  有一天我們記事好像沒有以前那麼清楚又會怎樣呢?
[00:08:27.600 --> 00:08:43.600]  當我們很努力但是記不住剛剛讀過的經文又會怎樣呢?
[00:08:43.600 --> 00:08:51.600]  當熟悉的名字叫都叫不出口又會怎樣呢?
[00:08:51.600 --> 00:09:00.600]  當熟悉的面孔變得陌生又會怎樣呢?
[00:09:00.600 --> 00:09:06.600]  這些事情可能會發生在我們每一個人身上
[00:09:06.600 --> 00:09:14.600]  只不過有些人早些有些人遲些
[00:09:14.600 --> 00:09:23.600]  有人忘記得多些有人少些
