
[00:00:00.000 --> 00:00:03.000]  在聽上帝的話語之前
[00:00:03.000 --> 00:00:04.000]  我們同心同腳
[00:00:04.000 --> 00:00:05.000]  在我們聽到之前
[00:00:05.000 --> 00:00:07.000]  先同心禱告
[00:00:07.000 --> 00:00:09.000]  慈悲天父多謝你
[00:00:09.000 --> 00:00:11.000]  讓我們今天能夠再次
[00:00:11.000 --> 00:00:13.000]  回到你的說話面前
[00:00:13.000 --> 00:00:16.000]  求我們的主
[00:00:16.000 --> 00:00:17.000]  我們的神
[00:00:17.000 --> 00:00:18.000]  你將你的話語
[00:00:18.000 --> 00:00:21.000]  真是更清楚的直著聖靈
[00:00:21.000 --> 00:00:23.000]  讓我們去明白知道
[00:00:23.000 --> 00:00:26.000]  怎樣去將我們的生命
[00:00:26.000 --> 00:00:29.000]  能夠更加的貼近你
[00:00:29.000 --> 00:00:32.000]  更加的會明白你
[00:00:32.000 --> 00:00:33.000]  和你原來同在
[00:00:33.000 --> 00:00:34.000]  我們親愛的天父
[00:00:34.000 --> 00:00:35.000]  感謝你
[00:00:35.000 --> 00:00:37.000]  你給我們
[00:00:37.000 --> 00:00:40.000]  那寶貴的這個話語
[00:00:40.000 --> 00:00:41.000]  在聖經裡面
[00:00:41.000 --> 00:00:44.000]  你不斷的來到幫助我們
[00:00:44.000 --> 00:00:46.000]  使我們能夠更明白
[00:00:46.000 --> 00:00:48.000]  你是什麼樣的一位主
[00:00:48.000 --> 00:00:51.000]  但願今天我們再次
[00:00:51.000 --> 00:00:53.000]  求你的靈
[00:00:53.000 --> 00:00:54.000]  來幫助我們
[00:00:54.000 --> 00:00:56.000]  引導我們清楚明白
[00:00:56.000 --> 00:00:58.000]  上帝你是一位
[00:00:58.000 --> 00:01:02.000]  有真有惡的這位創造者
[00:01:02.000 --> 00:01:05.000]  我向大家奉主耶穌的名臣
[00:01:05.000 --> 00:01:07.000]  阿們
[00:01:07.000 --> 00:01:08.000]  好
[00:01:08.000 --> 00:01:10.000]  我們今天一起去看的經文
[00:01:10.000 --> 00:01:12.000]  就是《司徒行傳》第十五章
[00:01:12.000 --> 00:01:14.000]  三十六至四十一節
[00:01:14.000 --> 00:01:16.000]  今天我們看的經文是
[00:01:16.000 --> 00:01:17.000]  《石頭行傳》十五章
[00:01:17.000 --> 00:01:19.000]  三十六到四十一節
[00:01:19.000 --> 00:01:21.000]  今天所講的題目很特別
[00:01:21.000 --> 00:01:22.000]  就是
[00:01:22.000 --> 00:01:24.000]  僧侶在基督徒當中
[00:01:24.000 --> 00:01:26.000]  是不是真的那麼可怕呢
[00:01:26.000 --> 00:01:27.000]  其實主題講的題目是
[00:01:27.000 --> 00:01:29.000]  僧侶在基督徒中間
[00:01:29.000 --> 00:01:31.000]  真的是如此可怕嗎
[00:01:31.000 --> 00:01:32.000]  講到僧侶
[00:01:32.000 --> 00:01:33.000]  我想大家沒有說
[00:01:33.000 --> 00:01:35.000]  沒有說不試過去跟人僧侶
[00:01:35.000 --> 00:01:36.000]  是不是
[00:01:36.000 --> 00:01:37.000]  如果僧侶
[00:01:37.000 --> 00:01:38.000]  可能大家都有這樣的經歷
[00:01:38.000 --> 00:01:40.000]  你可能在學校裡面
[00:01:40.000 --> 00:01:42.000]  跟人做功課
[00:01:42.000 --> 00:01:44.000]  有些小組的功課
[00:01:44.000 --> 00:01:45.000]  你跟人僧侶
[00:01:45.000 --> 00:01:46.000]  是不是
[00:01:46.000 --> 00:01:47.000]  在學校上課的時候
[00:01:47.000 --> 00:01:49.000]  那個課題
[00:01:49.000 --> 00:01:50.000]  小組之間
[00:01:50.000 --> 00:01:51.000]  可能有僧侶
[00:01:51.000 --> 00:01:54.000]  或者可能在你工作的環境裡面
[00:01:54.000 --> 00:01:56.000]  你跟人有一些僧侶
[00:01:56.000 --> 00:01:58.000]  在工作環境當中
[00:01:58.000 --> 00:01:59.000]  可能也有僧侶
[00:01:59.000 --> 00:02:01.000]  不過我相信
[00:02:01.000 --> 00:02:03.000]  最多僧侶的
[00:02:03.000 --> 00:02:05.000]  我相信最多的僧侶
[00:02:05.000 --> 00:02:08.000]  莫過於跟你家人
[00:02:08.000 --> 00:02:11.000]  不過於在家裡
[00:02:11.000 --> 00:02:12.000]  是不是
[00:02:12.000 --> 00:02:14.000]  你想一下
