
[00:00:00.000 --> 00:00:05.040]  很高興和大家繼續去思想聖經神的話語
[00:00:05.040 --> 00:00:10.640]  剛才這首詩歌「Hallelujah,讚美,讚美耶穌」
[00:00:10.640 --> 00:00:15.340]  其實「Hallelujah」這個字是一個希伯來文的字
[00:00:15.340 --> 00:00:18.260]  「Hallelujah」是解「Praise」
[00:00:18.260 --> 00:00:20.860]  「Ya」其實就是「耶和華」
[00:00:20.860 --> 00:00:23.820]  「Jehovah」或者「Yaweh」的意思
[00:00:23.820 --> 00:00:26.620]  所以當我們唱詩歌的時候
[00:00:26.620 --> 00:00:30.980]  我們將這個「讚美耶和華」這句話
[00:00:30.980 --> 00:00:33.980]  放在耶穌基督的身上
[00:00:33.980 --> 00:00:36.900]  其實真的很重要
[00:00:36.900 --> 00:00:42.660]  因為如果耶穌基督不是那個從永遠到永遠
[00:00:42.660 --> 00:00:45.940]  那個永恆的神的兒子
[00:00:45.940 --> 00:00:48.580]  我們是不可以這樣去唱的
[00:00:48.580 --> 00:00:53.540]  因為「耶和華」這個名字
[00:00:53.540 --> 00:00:56.380]  意思就是可以解作
[00:00:56.380 --> 00:00:59.620]  中文聖經翻譯就是「自有永有」
[00:00:59.620 --> 00:01:00.860]  「自有永有」
[00:01:00.860 --> 00:01:02.740]  但是這個其實不是名字
[00:01:02.740 --> 00:01:05.380]  是真正的翻譯
[00:01:05.380 --> 00:01:07.140]  這是一個意思
[00:01:07.140 --> 00:01:09.860]  「耶和華」這個名字
[00:01:09.860 --> 00:01:13.460]  其實就是用一個英文的名稱來說
[00:01:13.460 --> 00:01:17.780]  就是叫做「永恆的現在」
[00:01:17.780 --> 00:01:22.660]  就是說在多少億年前
[00:01:22.660 --> 00:01:25.540]  對神來說是一個現在式
[00:01:25.540 --> 00:01:29.180]  今天對神來說是一個現在式
[00:01:29.180 --> 00:01:32.780]  未來對神來說也是一個現在式
[00:01:32.780 --> 00:01:36.860]  就是在任何一個時間來說
[00:01:36.860 --> 00:01:38.860]  它都是一個現在式
[00:01:38.860 --> 00:01:42.140]  所以英文叫做「Eternal I am」
[00:01:42.140 --> 00:01:45.380]  如果在一個譯法就是「Eternal I am」
[00:01:45.380 --> 00:01:47.700]  就是永恆地「我是」
