
[00:00:00.000 --> 00:00:06.240]  今天和大家分享的題目是「突破魯莽,敬神尊人」
[00:00:06.240 --> 00:00:07.760]  我們信了耶穌的時候
[00:00:07.760 --> 00:00:11.020]  我們就說「我們恩信清義,不用守戒命」
[00:00:11.020 --> 00:00:12.780]  我們大家都很熟悉十戒
[00:00:12.780 --> 00:00:14.280]  但是保祿很清楚地說
[00:00:14.280 --> 00:00:16.240]  今天我們雖然已經得救
[00:00:16.240 --> 00:00:19.000]  但是我們仍然要去堅守神的戒命
[00:00:19.000 --> 00:00:20.440]  主耶穌說我來到這裡
[00:00:20.440 --> 00:00:22.520]  祢不是打算我廢掉律法
[00:00:22.520 --> 00:00:24.320]  我是要完成律法的
[00:00:24.320 --> 00:00:26.360]  我們不是靠行律法
[00:00:26.360 --> 00:00:28.160]  守著這些規矩得救
[00:00:28.160 --> 00:00:30.760]  但是我們信了主我們更加要守規矩
[00:00:30.760 --> 00:00:32.760]  十戒裡面頭兩戒
[00:00:32.760 --> 00:00:34.200]  不知道大家是否熟悉
[00:00:34.200 --> 00:00:38.640]  第一就是「除了我以外,不可有別的神」
[00:00:38.640 --> 00:00:41.960]  這條戒命會應用在我們夫婦之間的生活
[00:00:41.960 --> 00:00:43.360]  太太和丈夫說
[00:00:43.360 --> 00:00:45.400]  「除了我以外,不可有別的女人」
[00:00:45.400 --> 00:00:47.160]  這是我們可以應用的
[00:00:47.160 --> 00:00:49.360]  意思就是除了獨的真神之外
[00:00:49.360 --> 00:00:52.720]  我們不可以去敬拜別的神
[00:00:52.720 --> 00:00:55.800]  第二條戒命我們很多時候都有誤會
[00:00:55.800 --> 00:01:00.080]  就是不可以塑造任何的像去敬拜
[00:01:00.080 --> 00:01:02.120]  即是我們不要去拜假神
[00:01:02.120 --> 00:01:04.520]  如果我們真的這樣解釋
[00:01:04.520 --> 00:01:06.360]  某個程度是錯的
[00:01:06.360 --> 00:01:07.840]  因為第一條戒命是說
[00:01:07.840 --> 00:01:09.760]  「除了我以外,不可有別的神」
[00:01:09.760 --> 00:01:12.240]  即是不可以拜其他的神
[00:01:12.240 --> 00:01:14.080]  所以第二條戒命
[00:01:14.080 --> 00:01:16.640]  不可以去驕刻偶像
[00:01:16.640 --> 00:01:17.960]  是甚麼意思呢?
[00:01:17.960 --> 00:01:21.400]  就是不要將神有一個形象去敬拜
[00:01:21.400 --> 00:01:23.320]  很簡單舉個例子
[00:01:23.320 --> 00:01:25.040]  當日以色列人出拉吉時
[00:01:25.040 --> 00:01:26.320]  摩西是上山的
[00:01:26.320 --> 00:01:27.640]  拿著戒命
[00:01:27.640 --> 00:01:29.200]  我們知道他有四十日
[00:01:29.200 --> 00:01:30.720]  當時誰不知道他有四十日
[00:01:30.720 --> 00:01:33.280]  我們對摩西已經不是很尊重
[00:01:33.280 --> 00:01:34.520]  那個人上山了
[00:01:34.520 --> 00:01:35.880]  何時下來呢?
[00:01:35.880 --> 00:01:38.480]  後來叫阿倫做甚麼呢?
[00:01:38.480 --> 00:01:40.600]  做一隻金牛獨
[00:01:40.600 --> 00:01:42.240]  然後去敬拜
[00:01:42.240 --> 00:01:44.320]  結果是被神審判的
[00:01:44.320 --> 00:01:45.880]  但你看看聖經
[00:01:45.880 --> 00:01:46.520]  阿倫說
[00:01:46.520 --> 00:01:51.680]  「我們明天向耶和華守節」
[00:01:51.680 --> 00:01:54.760]  他是向神彌達日去守節的
[00:01:54.760 --> 00:01:57.120]  然後他們獻祭給神
[00:01:57.120 --> 00:01:59.240]  然後說他們一齊有喚灑
