
[00:00:00.000 --> 00:00:03.960]  好 今日講題是人生轉捩點
[00:00:03.960 --> 00:00:07.760]  為什麼在死人中找活人
[00:00:07.760 --> 00:00:09.920]  相信我們每個人都經歷過
[00:00:09.920 --> 00:00:11.560]  或者遭遇過這個課題
[00:00:11.560 --> 00:00:13.760]  就是人生的轉捩點
[00:00:13.760 --> 00:00:14.720]  什麼是轉捩點呢
[00:00:14.720 --> 00:00:17.560]  當然它不是一個小小的改變
[00:00:17.560 --> 00:00:21.200]  是生命強力的扭轉
[00:00:21.200 --> 00:00:23.000]  這個扭轉的時刻令到我們知道
[00:00:23.000 --> 00:00:26.800]  咦 我們走的路開始又不同了
[00:00:26.800 --> 00:00:28.400]  當然它來有兩個可能性
[00:00:28.400 --> 00:00:30.720]  第一就是我們自己選擇的
[00:00:30.720 --> 00:00:33.800]  例如換一個完全新穎的工作
[00:00:33.800 --> 00:00:37.160]  或者我們進入一些不同的關係
[00:00:37.160 --> 00:00:38.280]  甚至結婚
[00:00:38.280 --> 00:00:40.720]  或者是移民等等
[00:00:40.720 --> 00:00:41.920]  當然是的
[00:00:41.920 --> 00:00:43.320]  當然不單止結婚
[00:00:43.320 --> 00:00:44.760]  我們去拍拖的時候
[00:00:44.760 --> 00:00:47.200]  或者甚至去到一個更密切的關係
[00:00:47.200 --> 00:00:50.200]  我們知道其實是進入一個自死的階段
[00:00:50.200 --> 00:00:51.000]  如果你結婚
[00:00:51.000 --> 00:00:52.600]  你發現你沒有自死自己
[00:00:52.600 --> 00:00:54.920]  你應該就殺死對方
[00:00:54.920 --> 00:00:56.320]  這個肯定是的
[00:00:56.320 --> 00:01:00.320]  當然還有就是有突然其來的打擊
[00:01:00.320 --> 00:01:01.520]  不是我們預料的
[00:01:01.520 --> 00:01:02.720]  疾病啊 意外啊
[00:01:02.720 --> 00:01:05.160]  或者是在過程中失去某些東西
[00:01:05.160 --> 00:01:08.640]  而轉捩點往往帶來一個共同的特質
[00:01:08.640 --> 00:01:11.520]  就是你發現從此以後人生不再一樣
[00:01:11.520 --> 00:01:12.520]  有一些小小的例子
[00:01:12.520 --> 00:01:14.520]  我們明白了有兩種不同的情況
[00:01:14.520 --> 00:01:16.360]  第一就是自我選擇
[00:01:16.360 --> 00:01:18.520]  當然我自己跟我太太結婚也是
[00:01:18.520 --> 00:01:19.840]  就是自我選擇
[00:01:19.840 --> 00:01:21.920]  進入一個自死的狀態
[00:01:21.920 --> 00:01:23.200]  有小有大的
[00:01:23.200 --> 00:01:24.480]  小的就是
[00:01:24.480 --> 00:01:25.440]  例如一結婚
[00:01:25.440 --> 00:01:28.440]  發現原來床不是可以大自然睡的
[00:01:28.440 --> 00:01:29.040]  對不對?
[00:01:29.040 --> 00:01:30.960]  要很謙卑的縮在一旁
[00:01:30.960 --> 00:01:32.760]  至少睡著前
[00:01:32.760 --> 00:01:35.040]  睡著之後可能一巴掌升上去一回事
[00:01:35.040 --> 00:01:36.560]  或者裝的
[00:01:36.560 --> 00:01:37.640]  也是不知道的
[00:01:37.640 --> 00:01:40.760]  當然日常的出入也會有不同了
