
[00:00:00.000 --> 00:00:03.720]  今天我們繼續五個城市的故事
[00:00:03.720 --> 00:00:05.560]  今天我們講耶利歌城
[00:00:05.560 --> 00:00:07.240]  知不知道耶利歌城在哪裏
[00:00:07.240 --> 00:00:11.520]  「城牆變島他怕內」那個就是耶利歌城
[00:00:11.520 --> 00:00:13.800]  神拯救以色異人出埃及
[00:00:13.800 --> 00:00:14.840]  因為他們的叛逆
[00:00:14.840 --> 00:00:16.280]  原本一個月的旅程
[00:00:16.280 --> 00:00:18.520]  在曠野走了四十年
[00:00:18.520 --> 00:00:20.280]  直到一代人的死亡
[00:00:20.280 --> 00:00:21.560]  新的一代來到
[00:00:21.560 --> 00:00:26.880]  神將一早已經說好了的應許之地給他們現而
[00:00:26.880 --> 00:00:28.240]  他們不是那麼容易的
[00:00:28.240 --> 00:00:31.880]  他們還要面對一場又一場的戰役接受神
[00:00:31.880 --> 00:00:35.760]  一場一場的管教和祂的恩典
[00:00:35.760 --> 00:00:38.520]  這就是我們基督徒的寫照
[00:00:38.520 --> 00:00:43.000]  你會否發覺我們都是在這個永生的應許之地下
[00:00:43.000 --> 00:00:45.000]  但是我們人生面對很多
[00:00:45.000 --> 00:00:48.640]  大大小小不同的戰役不同的battle
[00:00:48.640 --> 00:00:50.200]  你有時會battle with
[00:00:50.200 --> 00:00:52.440]  你自己的老公老婆
[00:00:52.440 --> 00:00:53.240]  會不會啊?
[00:00:53.240 --> 00:00:53.800]  都會啊
[00:00:53.800 --> 00:00:55.400]  你的子女啦
[00:00:55.400 --> 00:00:57.680]  你公司的上司啦
[00:00:57.680 --> 00:00:59.280]  你的下屬啦
[00:00:59.280 --> 00:01:01.880]  你battle with這個世界啦
[00:01:01.880 --> 00:01:04.080]  有時你battle with自己的
[00:01:04.080 --> 00:01:05.680]  裡面有很多東西的
[00:01:05.680 --> 00:01:07.760]  何止一本《難念的經》
[00:01:07.760 --> 00:01:08.920]  七本起碼
[00:01:08.920 --> 00:01:10.160]  但是先看著一本
[00:01:10.160 --> 00:01:10.960]  OK?
[00:01:10.960 --> 00:01:12.360]  有很多battle的
[00:01:12.360 --> 00:01:12.880]  OK?
[00:01:12.880 --> 00:01:16.320]  但是神不是想你要在這些battle裡面
[00:01:16.320 --> 00:01:17.760]  戰死沙場
[00:01:17.760 --> 00:01:19.320]  成為一個悲哀的旅途
[00:01:19.320 --> 00:01:20.520]  簡稱「悲途」
[00:01:20.520 --> 00:01:22.760]  也不想你悲哀地逃避
[00:01:22.760 --> 00:01:24.200]  簡稱又是「悲途」
[00:01:24.200 --> 00:01:25.680]  成為一個悲途
[00:01:25.680 --> 00:01:27.000]  悲哀的信徒
[00:01:27.000 --> 00:01:27.880]  不是這樣
[00:01:27.880 --> 00:01:30.600]  神要我們要在這些battle裡面
[00:01:30.600 --> 00:01:32.240]  學習being fruitful
[00:01:32.240 --> 00:01:33.240]  行不行?
[00:01:33.240 --> 00:01:34.120]  OK?
[00:01:34.120 --> 00:01:34.840]  這樣呢
[00:01:34.840 --> 00:01:36.520]  啊,sorry,futful
[00:01:36.520 --> 00:01:37.880]  接著你就futful啦
[00:01:37.880 --> 00:01:39.800]  就是「福杯滿日」這樣解釋
[00:01:39.800 --> 00:01:42.640]  知不知道「福杯滿日」的英文是什麼?
[00:01:42.640 --> 00:01:43.960]  今天教大家
[00:01:43.960 --> 00:01:45.520]  就是叫做「福福」
[00:01:45.520 --> 00:01:46.840]  那你就發現
[00:01:46.840 --> 00:01:48.520]  原來你的人生
[00:01:48.520 --> 00:01:51.040]  好像「飛途」的卡拉OK大碟
[00:01:51.040 --> 00:01:51.920]  有沒有人知道「飛途」?
[00:01:51.920 --> 00:01:53.120]  請你舉手
[00:01:53.120 --> 00:01:54.080]  不要裝作不懂
[00:01:54.080 --> 00:01:54.400]  OK?
[00:01:54.400 --> 00:01:55.840]  因為教會都已經老化了
[00:01:55.840 --> 00:01:59.040]  一張「飛途」的卡拉OK大碟
[00:01:59.040 --> 00:02:00.160]  裡面有
[00:02:00.160 --> 00:02:01.240]  開心的歌
[00:02:01.240 --> 00:02:02.360]  有不開心的歌
[00:02:02.360 --> 00:02:03.040]  有情歌
[00:02:03.040 --> 00:02:04.040]  有患歌
[00:02:04.040 --> 00:02:05.120]  什麼歌都有
[00:02:05.120 --> 00:02:06.720]  成為一個寶貴的
[00:02:06.720 --> 00:02:09.920]  五百多元港幣一張的大碟
[00:02:09.920 --> 00:02:10.880]  很寶貴的
[00:02:10.880 --> 00:02:11.840]  基督徒的人生
[00:02:11.840 --> 00:02:12.960]  一樣這麼寶貴
[00:02:12.960 --> 00:02:14.640]  裡面有春夏秋冬
[00:02:14.640 --> 00:02:16.160]  有很多悲壯的事
[00:02:16.160 --> 00:02:18.720]  也有很多開心的事
[00:02:18.720 --> 00:02:19.920]  今天
[00:02:19.920 --> 00:02:22.600]  在我們這五個城市的故事裡面
[00:02:22.600 --> 00:02:24.440]  希望大家可以學習
[00:02:24.440 --> 00:02:25.880]  如何看待我們人生
[00:02:25.880 --> 00:02:29.480]  基督徒在面對不能逆轉的人生戰場
[00:02:29.480 --> 00:02:33.800]  以及在永生確懼的兩種命運的張力之下
[00:02:33.800 --> 00:02:36.840]  我們應該如何看待我們寶貴的人生呢?
[00:02:36.840 --> 00:02:37.720]  我再說一次
[00:02:37.720 --> 00:02:42.160]  基督徒在面對不能逆轉的人生的戰場裡面
[00:02:42.160 --> 00:02:47.920]  以及在永生確懼兩種命運的張力之下
[00:02:47.920 --> 00:02:51.240]  我們如何看待我們寶貴的人生呢?
[00:02:51.240 --> 00:02:54.200]  所以帶給大家今天的主題
[00:02:54.200 --> 00:02:55.160]  一起讀好嗎?
