
[00:00:00.000 --> 00:00:05.000]  心靈的主,我們何等需要祢的引導?
[00:00:05.000 --> 00:00:13.000]  有時我們心靈是合了眼的
[00:00:13.000 --> 00:00:18.000]  我們看不到主就在前面引導我們
[00:00:18.000 --> 00:00:21.000]  求生愛的聖靈
[00:00:21.000 --> 00:00:25.000]  在我們的生命裏面順順的提醒我們
[00:00:25.000 --> 00:00:28.000]  讓我們順著聖靈的引導
[00:00:28.000 --> 00:00:31.000]  看到前路,祢是引導我們
[00:00:31.000 --> 00:00:36.000]  我們感謝主有聖靈在我們的生命裏面
[00:00:36.000 --> 00:00:40.000]  我們很盼望聖靈一直陪伴著
[00:00:40.000 --> 00:00:43.000]  今天下午決志信主的長者
[00:00:43.000 --> 00:00:48.000]  讓他們從今以後生命都不再一樣
[00:00:48.000 --> 00:00:51.000]  因為有耶穌在我們的生命裏面
[00:00:51.000 --> 00:00:53.000]  有聖靈引導著他們的路
[00:00:54.000 --> 00:00:58.000]  我們將這段時間仰望祢
[00:00:58.000 --> 00:01:00.000]  求主都打在我們的心
[00:01:00.000 --> 00:01:03.000]  有我們敏銳聖靈的聲音
[00:01:03.000 --> 00:01:06.000]  我們禱告奉耶穌,基督聖名祈求,阿們
[00:01:06.000 --> 00:01:11.000]  誰是屬聖靈的?
[00:01:11.000 --> 00:01:15.000]  不知道你有沒有聽過一個人說
[00:01:15.000 --> 00:01:17.000]  他很屬靈
[00:01:17.000 --> 00:01:19.000]  牧師才是屬靈的
[00:01:19.000 --> 00:01:23.000]  究竟誰是屬靈呢?
[00:01:24.000 --> 00:01:26.000]  屬靈又是怎樣的呢?
[00:01:26.000 --> 00:01:43.000]  屬靈的氣氛是怎樣的呢?
[00:01:43.000 --> 00:01:47.000]  這個實在是我們很想探討
[00:01:47.000 --> 00:01:50.000]  以及常常都會問的問題
[00:01:50.000 --> 00:01:52.000]  誰是屬靈呢?
[00:01:52.000 --> 00:01:55.000]  甚麼是屬聖靈呢?
[00:01:55.000 --> 00:01:59.000]  在過往一段時間
[00:01:59.000 --> 00:02:06.000]  我們看了《加勒大書》第六章之前
[00:02:06.000 --> 00:02:12.000]  在第五章保羅說完了
[00:02:12.000 --> 00:02:15.000]  在聖靈裏的生命之後
[00:02:15.000 --> 00:02:20.000]  今天更加具體地告訴我們
[00:02:20.000 --> 00:02:22.000]  一個屬靈的人
[00:02:22.000 --> 00:02:24.000]  一個屬聖靈的人
[00:02:24.000 --> 00:02:26.000]  他確確實實
[00:02:26.000 --> 00:02:30.000]  那個實際生命的質素是怎樣
[00:02:30.000 --> 00:02:33.000]  今天有十節經文
[00:02:33.000 --> 00:02:35.000]  大約會分兩段
[00:02:35.000 --> 00:02:37.000]  第一節第六節
[00:02:37.000 --> 00:02:40.000]  保羅在這裏告訴我們
[00:02:40.000 --> 00:02:42.000]  一個屬靈的人
[00:02:42.000 --> 00:02:47.000]  是要以謙卑、溫柔來互相輔助
[00:02:47.000 --> 00:02:51.000]  第二段是七至十節
[00:02:51.000 --> 00:02:54.000]  保羅告訴我們
[00:02:54.000 --> 00:02:56.000]  一個屬靈的人
[00:02:56.000 --> 00:03:00.000]  要順著聖靈去殺種
