
[00:00:00.000 --> 00:00:03.400]  這讓在後的將要在前
[00:00:03.400 --> 00:00:07.080]  在前的反要在後
[00:00:07.080 --> 00:00:10.400]  耶穌不是第一次說這一句格言
[00:00:10.400 --> 00:00:13.880]  其實是在這個比喻之前的一節
[00:00:13.880 --> 00:00:16.200]  在十九章三十節
[00:00:16.200 --> 00:00:18.200]  祂已經說過
[00:00:18.200 --> 00:00:21.640]  但是許多在前的將要在後
[00:00:21.640 --> 00:00:25.000]  在後的將要在前
[00:00:25.000 --> 00:00:28.920]  似乎這個比喻和這兩節
[00:00:28.920 --> 00:00:33.240]  或者這個重複的格言相當有關係
[00:00:33.240 --> 00:00:34.880]  怎樣去解釋呢?
[00:00:34.880 --> 00:00:37.600]  包著這兩節的經文
[00:00:37.600 --> 00:00:40.200]  更加是前後在說
[00:00:40.200 --> 00:00:43.320]  耶穌基督身邊三個入室弟子
[00:00:43.320 --> 00:00:45.160]  來跟祂問問題
[00:00:45.160 --> 00:00:47.800]  或者對祂提出要求
[00:00:47.800 --> 00:00:51.080]  彼得來問
[00:00:51.080 --> 00:00:53.600]  我們已經將一切放下了
[00:00:53.600 --> 00:00:54.680]  撇下了
[00:00:54.680 --> 00:00:56.120]  跟從了祢
[00:00:56.120 --> 00:00:59.080]  我們將要得到什麼呢?
[00:00:59.080 --> 00:01:02.000]  在這個比喻之後沒有多久
[00:01:02.000 --> 00:01:05.720]  當耶穌基督說完祂要上耶路撒冷受死
[00:01:05.720 --> 00:01:07.840]  之後第三天復活
[00:01:07.840 --> 00:01:11.480]  接著西比泰的兒子的媽媽
[00:01:11.480 --> 00:01:14.640]  帶著這兩個兒子雅各和約翰
[00:01:14.640 --> 00:01:17.560]  就來跟耶穌求祂一件事
[00:01:17.560 --> 00:01:20.280]  請祢宣佈在這個國裡面
[00:01:20.280 --> 00:01:22.200]  一個會坐在祢右邊
[00:01:22.200 --> 00:01:26.600]  一個會坐在祢左邊
[00:01:26.600 --> 00:01:29.320]  你會留意到在這個經文編排裡面
[00:01:29.320 --> 00:01:32.080]  就是夾著我們今天所讀的
[00:01:32.080 --> 00:01:35.720]  入葡萄園裡面做工的比喻
[00:01:35.720 --> 00:01:39.800]  主耶穌基督要我們明白的是一個怎樣的真理呢?
[00:01:39.800 --> 00:01:43.000]  我們再一次祈禱交托
[00:01:43.000 --> 00:01:44.680]  主耶穌基督我們今天
[00:01:44.680 --> 00:01:48.080]  打開你在《馬太福音》裡面的記載
[00:01:48.080 --> 00:01:50.800]  這個馬太獨有的比喻
[00:01:50.800 --> 00:01:53.080]  求祢的靈讓我們去明白
[00:01:53.080 --> 00:01:55.760]  祢要指教我們的真理
[00:01:55.760 --> 00:02:00.120]  也求聖靈讓我們可以聽得進去
[00:02:00.120 --> 00:02:01.560]  走得出來
[00:02:01.560 --> 00:02:02.520]  多謝祢
[00:02:02.520 --> 00:02:03.920]  祈禱奉主耶穌基督
[00:02:03.920 --> 00:02:05.240]  得聖明子祈求
[00:02:05.240 --> 00:02:06.240]  (主) 阿們
[00:02:06.240 --> 00:02:11.000]  每當比喻出現張力
[00:02:11.000 --> 00:02:16.160]  就表示比喻當中有些精髓要揭露
[00:02:16.160 --> 00:02:18.320]  所以我們跳去最大張力的一節
[00:02:18.320 --> 00:02:20.320]  十節先
[00:02:20.320 --> 00:02:22.320]  我請你幫我讀這一節經文
[00:02:22.320 --> 00:02:23.360]  預備起
[00:02:23.360 --> 00:02:26.680]  「最先僱傭的人也來」
[00:02:26.680 --> 00:02:30.400]  「當僱傭是幾乎光榮的聖」
[00:02:30.400 --> 00:02:35.440]  「但當僱傭的人不是你最好的方法」
[00:02:35.440 --> 00:02:37.400]  這一節所提及的一些細節
[00:02:37.400 --> 00:02:40.400]  其實在比喻裡面會重重複複出現
[00:02:40.400 --> 00:02:42.520]  「最先」即是剛才所說的
[00:02:42.520 --> 00:02:45.680]  「在前」其實是同一個字
[00:02:45.680 --> 00:02:49.040]  這群在前的人以為他們會得到一些
[00:02:49.040 --> 00:02:51.040]  他們以為
[00:02:51.040 --> 00:02:54.360]  但誰知道他們每個人都只是同樣的
[00:02:54.360 --> 00:02:56.200]  和其他所有人一樣
[00:02:56.200 --> 00:02:59.920]  拿到一個得拿利或一個錢
[00:02:59.920 --> 00:03:01.360]  因為這個期望的落差
[00:03:01.360 --> 00:03:03.800]  他們這群人就忿忿不平
[00:03:03.800 --> 00:03:05.560]  所以現在當我們進入比喻當中
[00:03:05.560 --> 00:03:08.440]  我們去聽聽他們心裡的不滿是什麼
[00:03:08.440 --> 00:03:10.600]  為什麼這麼勞氣
[00:03:10.600 --> 00:03:11.600]  在比喻一開始
[00:03:11.600 --> 00:03:14.280]  耶穌說有一個園主
[00:03:14.280 --> 00:03:20.560]  他清晨就出去請人去他的葡萄園工作
[00:03:20.560 --> 00:03:23.560]  他就和請的工人去協議
[00:03:23.560 --> 00:03:26.040]  貼定了做一天工
[00:03:26.040 --> 00:03:29.600]  一個得拿利或一個工錢
[00:03:29.600 --> 00:03:34.280]  然後就派他們去自己的葡萄園工作
[00:03:34.280 --> 00:03:38.680]  這個園主似乎有別於我們上星期讀的那些財主
[00:03:38.680 --> 00:03:42.200]  他好像不是一個這麼大戶的人家
[00:03:42.200 --> 00:03:45.320]  很可能只是一個中小型的農莊
[00:03:45.320 --> 00:03:46.760]  甚至是一個個體戶
[00:03:46.760 --> 00:03:49.560]  有一個普普通通的大小的葡萄園
[00:03:49.560 --> 00:03:53.160]  平時不需要有很多家僕在幫忙
[00:03:53.160 --> 00:03:56.080]  葡萄園不單止是修改的季節
[00:03:56.080 --> 00:03:58.880]  其實一年四季都有不同的工作
[00:03:58.880 --> 00:04:01.840]  是需要大量的人力去幫助的
[00:04:01.840 --> 00:04:06.160]  所以園主在今天就需要額外去請一些日薪
[00:04:06.160 --> 00:04:09.680]  以每一日薪去計算的散工
[00:04:09.680 --> 00:04:12.760]  來到他的葡萄園去幫忙
[00:04:12.760 --> 00:04:16.360]  所以在今天清晨大約六時左右
[00:04:16.360 --> 00:04:20.440]  他就去到市集最多人來人往的地方
[00:04:20.440 --> 00:04:23.440]  在那個地方就會有散工聚集去等待
[00:04:23.440 --> 00:04:25.600]  有人請他們去開工
[00:04:25.600 --> 00:04:27.320]  他和這批散工談好了
[00:04:27.320 --> 00:04:30.040]  按照市價一天工作
[00:04:30.040 --> 00:04:33.240]  一個得拿利一個工錢
[00:04:33.240 --> 00:04:36.440]  然後就叫工人去開工
[00:04:36.440 --> 00:04:38.120]  但這個比喻獨特的地方就是
[00:04:38.120 --> 00:04:41.440]  這個園主不單止是在這個時辰
[00:04:41.440 --> 00:04:43.760]  這個六點的時候請人
[00:04:43.760 --> 00:04:46.120]  他在日出之後
[00:04:46.120 --> 00:04:47.280]  過了三個小時
[00:04:47.280 --> 00:04:50.320]  大約九點的時間又來到市集
[00:04:50.320 --> 00:04:54.440]  又再叫一批的工人去葡萄園工作
[00:04:54.440 --> 00:04:56.320]  你們去葡萄園工作吧
[00:04:56.320 --> 00:04:58.480]  我會給你們合理的工資
[00:04:58.480 --> 00:05:02.240]  這一批在九點請的工人就去了
[00:05:02.240 --> 00:05:03.560]  同樣的事
[00:05:03.560 --> 00:05:06.560]  他在接著的第六時、第九時
[00:05:06.560 --> 00:05:10.760]  即是正午的十二點和下午的三點
[00:05:10.760 --> 00:05:14.080]  也是這樣做
[00:05:14.080 --> 00:05:16.240]  他找了一批又一批的工人
[00:05:16.240 --> 00:05:21.080]  連續四批的工人去他的葡萄園工作
[00:05:21.080 --> 00:05:26.200]  六點、九點、十二點、三點
