
[00:00:00.000 --> 00:00:02.000]  好,我們領留神話之前,
[00:00:02.000 --> 00:00:04.000]  我們先低頭我們禱告。
[00:00:04.000 --> 00:00:07.000]  天父多謝祢讓我們有機會一齊來敬拜祢,
[00:00:07.000 --> 00:00:08.500]  讓我們來有珍惜,
[00:00:08.500 --> 00:00:11.000]  讓我們知道一切不是必然的,
[00:00:11.000 --> 00:00:14.500]  叫我們能夠好好的去重視我們的今日,
[00:00:14.500 --> 00:00:16.500]  求神祢眷顧,帶領以下的時間,
[00:00:16.500 --> 00:00:19.000]  祈禱賴同主德聖的名,阿門。
[00:00:19.000 --> 00:00:24.000]  我想在這大半年,甚至過去這一兩年裏面,
[00:00:24.000 --> 00:00:26.000]  我們大家生活得很辛苦,
[00:00:26.000 --> 00:00:31.000]  那個辛苦不是因為只是外在一些限聚令的緣故,
[00:00:31.000 --> 00:00:33.500]  很簡單,早個幾兩個禮拜的時候,
[00:00:33.500 --> 00:00:35.000]  只是兩個人一台,
[00:00:35.000 --> 00:00:37.500]  我記得我和我家人吃飯的時候,
[00:00:37.500 --> 00:00:39.000]  我太太和我女兒,
[00:00:39.000 --> 00:00:42.000]  兒子結了婚,所以就較少一起,
[00:00:42.000 --> 00:00:44.000]  我們去吃飯的時候,
[00:00:44.000 --> 00:00:45.000]  出街吃的時候,
[00:00:45.000 --> 00:00:47.000]  都不可以坐在一起的,
[00:00:47.000 --> 00:00:49.000]  是要坐開一點的,
[00:00:49.000 --> 00:00:52.000]  有時候未必能夠坐得很近,
[00:00:52.000 --> 00:00:54.500]  甚至有時候吃飯的時候我們要交換位的,
[00:00:54.500 --> 00:00:57.000]  到你和媽媽聊天的時候我就過去,
[00:00:57.000 --> 00:00:59.500]  所以其實是很不方便,
[00:00:59.500 --> 00:01:03.000]  但這個外在的不方便都不是最重要,
[00:01:03.000 --> 00:01:04.500]  是我們的心態,
[00:01:04.500 --> 00:01:08.500]  有很多人要離開香港就覺得有很多事情是越來越不行,
[00:01:08.500 --> 00:01:10.000]  是很不公平,
[00:01:10.000 --> 00:01:12.000]  很簡單舉一個例子,
[00:01:12.000 --> 00:01:17.500]  有一個女孩去郵局裏面拿一個包裹寄給她,
[00:01:17.500 --> 00:01:20.000]  裏面有很多軟性毒品,
[00:01:20.000 --> 00:01:22.000]  警察已經抓了她,
[00:01:22.000 --> 00:01:27.500]  但是律政司沒有說出什麼原因,
[00:01:27.500 --> 00:01:30.000]  就說不起訴這個女孩,
[00:01:30.000 --> 00:01:32.000]  連法官都很驚訝,
[00:01:32.000 --> 00:01:36.500]  其實是足夠的資料來控告她,
[00:01:36.500 --> 00:01:39.500]  就算你覺得她沒有罪都讓我們審,
[00:01:39.500 --> 00:01:41.500]  但是律政署介入的時候,
[00:01:41.500 --> 00:01:44.500]  就放過這個女孩子,
[00:01:44.500 --> 00:01:46.000]  不知道什麼原因,
