
[00:00:00.000 --> 00:00:02.160]  大家好,我是黃牧師
[00:00:02.160 --> 00:00:04.800]  很高興能夠再次在聖祭的時間
[00:00:04.800 --> 00:00:07.180]  和大家一起分享主的道理
[00:00:07.180 --> 00:00:09.560]  讓我們先聽神的話
[00:00:09.560 --> 00:00:11.320]  然後一起同心禱告
[00:00:11.320 --> 00:00:14.980]  這次很高興和大家在聖祭的時間
[00:00:14.980 --> 00:00:18.580]  我們一起來聆聽主的說話
[00:00:18.580 --> 00:00:21.200]  讓我們一起來更準確地
[00:00:21.200 --> 00:00:23.640]  來把握上帝的話語
[00:00:23.640 --> 00:00:25.980]  使我們明白上帝是什麼樣的一位主
[00:00:25.980 --> 00:00:28.060]  讓我們一起再次透過禱告
[00:00:28.060 --> 00:00:32.240]  來把我們信息意念交在我們主和神的跟前
[00:00:32.240 --> 00:00:38.500]  很高興我們可以再次透過網路
[00:00:38.500 --> 00:00:42.260]  一起學習上帝的話語
[00:00:42.260 --> 00:00:44.040]  所以讓我們先把握上帝
[00:00:44.040 --> 00:00:47.160]  讓我們的靈魂、我們的心
[00:00:47.160 --> 00:00:48.920]  以及我們的身體
[00:00:48.920 --> 00:00:51.620]  誠信上帝的指導
[00:00:51.620 --> 00:00:52.960]  所以在這段時間
[00:00:52.960 --> 00:00:55.540]  我們可以有更加準確的
[00:00:55.540 --> 00:00:58.420]  明白上帝的話語
[00:00:58.420 --> 00:01:00.700]  我們來祈禱
[00:01:00.700 --> 00:01:01.840]  慈悲的天父 多謝祢
[00:01:01.840 --> 00:01:03.800]  讓我們能夠再次回來
[00:01:03.800 --> 00:01:07.660]  在祢的說話面前一起同心地學習
[00:01:07.660 --> 00:01:09.460]  求祢幫助我們
[00:01:09.460 --> 00:01:12.140]  讓祢的靈管束我們每人的心
[00:01:12.140 --> 00:01:15.040]  好使我們能夠真正掌握
[00:01:15.040 --> 00:01:17.300]  祢是怎樣的一位主
[00:01:17.300 --> 00:01:19.220]  又是懂得怎樣尊重祢
