
[00:00:00.000 --> 00:00:04.760]  今天農曆新年本來想和大家講一個新年的訊息
[00:00:04.760 --> 00:00:10.400]  但後來想想有什麼訊息比願神的國降臨好
[00:00:10.400 --> 00:00:13.600]  在新的一年願我們大家都有這個心
[00:00:13.600 --> 00:00:17.600]  來願神的國降臨
[00:00:17.600 --> 00:00:22.200]  有人說禱告是非常非常重要
[00:00:22.200 --> 00:00:25.200]  禱告對一個基督徒的重要性
[00:00:25.200 --> 00:00:27.800]  就好像一個人的呼吸一樣
[00:00:27.800 --> 00:00:30.400]  當我們人不再呼吸的時候
[00:00:30.400 --> 00:00:33.600]  我們的身體就會出現問題
[00:00:33.600 --> 00:00:37.800]  當一個基督徒停止去禱告的時候
[00:00:37.800 --> 00:00:43.800]  我們屬靈的生命也都會出現有很嚴重的問題
[00:00:43.800 --> 00:00:45.800]  上星期和大家講
[00:00:45.800 --> 00:00:48.800]  是願人尊你的名為聖
[00:00:48.800 --> 00:00:50.600]  是講神的名
[00:00:50.600 --> 00:00:54.000]  今天是要和大家講是神的國
[00:00:54.000 --> 00:00:57.000]  願神的國降臨
[00:00:57.000 --> 00:01:00.600]  中文和諧版是六個字
[00:01:00.600 --> 00:01:03.600]  願你的國降臨
[00:01:03.600 --> 00:01:07.400]  原文的希臘文是三個字
[00:01:07.400 --> 00:01:09.200]  英文也是三個字
[00:01:09.200 --> 00:01:11.400]  大 kingdom come
[00:01:11.400 --> 00:01:14.200]  三個字非常非常之簡短
[00:01:14.200 --> 00:01:16.400]  但是裡面所包含的一切
[00:01:16.400 --> 00:01:20.600]  相信講三日三夜都講不完
[00:01:20.600 --> 00:01:24.600]  Talmud是猶太人的經典著作
[00:01:24.600 --> 00:01:27.600]  是猶太人的舊約聖經
[00:01:27.600 --> 00:01:31.200]  和他們律法的解經書
[00:01:31.200 --> 00:01:33.200]  在Talmud他們說
[00:01:33.200 --> 00:01:37.000]  一個沒有提到神的國的禱告
[00:01:37.000 --> 00:01:41.600]  根本就不是一個禱告
[00:01:41.600 --> 00:01:44.200]  願你的國降臨
[00:01:44.200 --> 00:01:46.800]  原文的希臘文的意思
[00:01:46.800 --> 00:01:48.000]  那個降臨
[00:01:48.000 --> 00:01:50.600]  就是希望一件事快點成就
