
[00:00:00.000 --> 00:00:04.380]  今日我要講解詩篇第九十篇
[00:00:04.380 --> 00:00:06.840]  一般來說
[00:00:06.840 --> 00:00:08.740]  讀詩篇的時候
[00:00:08.740 --> 00:00:12.700]  我們習慣將一百五十篇的詩篇
[00:00:12.700 --> 00:00:15.420]  看成是一個獨立的篇章
[00:00:15.420 --> 00:00:20.280]  一篇一篇獨立地去理解
[00:00:20.280 --> 00:00:24.600]  即是這一篇詩篇裏面講的東西
[00:00:24.600 --> 00:00:28.200]  和下一篇詩篇內容裏面講的東西
[00:00:28.200 --> 00:00:30.200]  沒有甚麼關聯
[00:00:30.200 --> 00:00:33.780]  但事實是否真的是這樣呢?
[00:00:33.780 --> 00:00:35.320]  在二十世紀
[00:00:35.320 --> 00:00:38.840]  聖經學者發展出一種理解聖經的方法
[00:00:38.840 --> 00:00:41.720]  英文叫做canonical criticism
[00:00:41.720 --> 00:00:45.320]  中文翻譯為正典批判
[00:00:45.320 --> 00:00:46.360]  甚麼來的呢?
[00:00:46.360 --> 00:00:49.000]  用最簡單的說法來說
[00:00:49.000 --> 00:00:51.320]  就是說這一種方法
[00:00:51.320 --> 00:00:54.720]  是從經文的總體的編排
[00:00:54.720 --> 00:00:57.080]  去理解個別的經文
[00:00:57.080 --> 00:01:01.280]  而不是將經文分割開來
[00:01:01.280 --> 00:01:06.040]  做一個微觀的解剖
[00:01:06.040 --> 00:01:10.200]  將這一種方法應用在詩篇研究上
[00:01:10.200 --> 00:01:14.160]  就是說不是將詩篇獨立一篇一篇地去看
[00:01:14.160 --> 00:01:17.680]  而是從一個詩篇總體的編排
[00:01:17.680 --> 00:01:20.760]  然後去理解個別的詩篇
[00:01:20.760 --> 00:01:22.360]  它擺這個位置
[00:01:22.360 --> 00:01:23.360]  它的內容
[00:01:23.360 --> 00:01:26.240]  它的用意會是怎樣的呢?
[00:01:26.240 --> 00:01:28.320]  今天我們嘗試用這個方法
[00:01:28.320 --> 00:01:30.720]  去理解詩篇第九十篇
[00:01:30.720 --> 00:01:34.080]  看看這樣會不會令我們更加深入地理解
[00:01:34.080 --> 00:01:36.240]  這一篇詩篇
[00:01:36.240 --> 00:01:39.000]  大家要明白
[00:01:39.000 --> 00:01:41.800]  詩篇是經過後人編輯的
[00:01:41.800 --> 00:01:43.840]  它經過一個篩選的過程
[00:01:43.840 --> 00:01:45.760]  然後編輯次序
[00:01:45.760 --> 00:01:48.240]  然後做一個意義的重組
[00:01:48.240 --> 00:01:50.520]  然後將詩篇結集
[00:01:50.520 --> 00:01:55.600]  成為今天我們詩篇分成五卷
[00:01:55.600 --> 00:01:56.760]  分成五卷
[00:01:56.760 --> 00:01:58.880]  一般來說
[00:01:58.880 --> 00:02:03.240]  刻意對應著摩西五經
[00:02:03.240 --> 00:02:07.200]  其實將詩歌或詩篇做一個編輯
[00:02:07.200 --> 00:02:11.520]  其實中國也有這樣的經驗
[00:02:11.520 --> 00:02:16.600]  在中國我們也有孔子三詩的說法
[00:02:16.600 --> 00:02:21.360]  孔子是將古代留下來的三千多首詩歌
[00:02:21.360 --> 00:02:22.840]  做一個刪減
[00:02:22.840 --> 00:02:26.480]  然後編輯成為詩三八
[00:02:26.480 --> 00:02:30.520]  然後流傳下來成為我們的詩經
[00:02:30.520 --> 00:02:32.240]  大家想一想
[00:02:32.240 --> 00:02:36.400]  經過這麼厲害的編輯刪減
[00:02:36.400 --> 00:02:39.040]  而出來的詩經
[00:02:39.040 --> 00:02:45.800]  有沒有可能是沒有孔子思想的灌注
[00:02:45.800 --> 00:02:47.080]  灌注在裡面
[00:02:47.080 --> 00:02:53.960]  要將整個詩集變成儒家思想的出口
[00:02:53.960 --> 00:02:57.400]  會不會沒有這樣的事呢?
[00:02:57.400 --> 00:02:58.760]  大家這樣想
[00:02:58.760 --> 00:03:01.720]  就知道經過一個刪減之後
[00:03:01.720 --> 00:03:06.920]  編輯者將一個意義灌注到最後的文本裡面
[00:03:06.920 --> 00:03:08.920]  《聖經》裡面的詩篇
[00:03:08.920 --> 00:03:11.720]  其實作為一個經過編輯的結集
[00:03:11.720 --> 00:03:17.320]  也內灌了編輯者的用心和期盼
[00:03:17.320 --> 00:03:21.080]  今天我的講道就是詩篇第九十篇
[00:03:21.080 --> 00:03:23.720]  但我不留意原來今天的經課
[00:03:23.720 --> 00:03:25.160]  詩篇第九十篇
[00:03:25.160 --> 00:03:27.520]  只讀一至八和第十二節
[00:03:27.520 --> 00:03:29.000]  我沒有這個留意
[00:03:29.000 --> 00:03:32.440]  這正正就是一個很好的對比
[00:03:32.440 --> 00:03:34.680]  如果大家看今天的經課
[00:03:34.680 --> 00:03:36.760]  詩篇第九十篇一至八
[00:03:36.760 --> 00:03:37.960]  然後第十二節
[00:03:37.960 --> 00:03:39.040]  就這樣看經文
[00:03:39.040 --> 00:03:43.360]  你的直覺就會覺得哀嘆人生的短暫
[00:03:43.360 --> 00:03:47.440]  但原來你將九十篇放進整個詩集裡面
[00:03:47.440 --> 00:03:51.440]  前文後理的連貫
[00:03:51.440 --> 00:03:52.640]  你就會發覺
[00:03:52.640 --> 00:03:56.280]  他講的內容可能完全不是這一回事
[00:03:56.280 --> 00:03:58.400]  我今天要講的是
[00:03:58.400 --> 00:04:01.960]  詩篇第九十篇整個的詩篇
[00:04:01.960 --> 00:04:03.560]  如果大家有手機
[00:04:03.560 --> 00:04:08.600]  或者有《聖經》的工具可以打開
[00:04:08.600 --> 00:04:10.960]  詩篇第九十篇
[00:04:10.960 --> 00:04:16.320]  這是詩集第四卷的第一首歌
[00:04:16.320 --> 00:04:22.480]  在第九十篇之前就寫著卷四的第一首歌
[00:04:22.480 --> 00:04:25.880]  詩篇第九十篇第一節
[00:04:25.880 --> 00:04:28.680]  「神人摩西的祈禱」
[00:04:28.680 --> 00:04:33.440]  這個很明顯是編輯者加上去的一個註腳
[00:04:33.440 --> 00:04:35.640]  「神人摩西的祈禱」
[00:04:35.640 --> 00:04:39.080]  主啊,祢世世代代作我們的居所
[00:04:39.080 --> 00:04:41.680]  居所或者亦是避難所
[00:04:41.680 --> 00:04:43.640]  珠山未曾生出
[00:04:43.640 --> 00:04:46.040]  地與世界祢未曾造成
[00:04:46.040 --> 00:04:49.120]  從耿古到永遠,祢是神
[00:04:49.120 --> 00:04:51.360]  祢使人歸於塵土
[00:04:51.360 --> 00:04:54.720]  說:你們世人要歸回
[00:04:54.720 --> 00:04:57.520]  「歸於塵土」和「歸回」同一個字
[00:04:57.520 --> 00:04:59.680]  這個字後來會再出現一次
[00:04:59.680 --> 00:05:02.000]  到時我提一提大家
[00:05:02.000 --> 00:05:04.160]  你們要歸於塵土
[00:05:04.160 --> 00:05:06.720]  說:你們世人要歸回
[00:05:06.720 --> 00:05:07.960]  在祢看來
[00:05:07.960 --> 00:05:10.200]  千年如已過的昨日
[00:05:10.200 --> 00:05:12.440]  猶如夜更的一更
[00:05:12.440 --> 00:05:14.560]  祢叫他們如水沖去
[00:05:14.560 --> 00:05:16.760]  他們如睡一覺早晨
[00:05:16.760 --> 00:05:19.160]  他們如生長的草
[00:05:19.160 --> 00:05:21.080]  早晨發芽生長
[00:05:21.080 --> 00:05:23.520]  晚上割下枯乾
[00:05:23.520 --> 00:05:26.360]  我們因祢的怒氣而消滅
[00:05:26.360 --> 00:05:28.880]  因祢的憤怒而驚惶
[00:05:28.880 --> 00:05:32.360]  祢將我們的罪孽擺在祢的面前
[00:05:32.360 --> 00:05:36.200]  將我們的隱惡擺在祢的面光之中
[00:05:36.200 --> 00:05:37.880]  我們經過的日子
[00:05:37.880 --> 00:05:39.800]  都在祢震怒之下
[00:05:39.800 --> 00:05:41.680]  我們到盡的年歲
[00:05:41.680 --> 00:05:43.640]  好像一聲嘆息
[00:05:43.640 --> 00:05:46.040]  我們一生的年日是七十歲
[00:05:46.040 --> 00:05:48.720]  若果強壯可到八十歲
[00:05:48.720 --> 00:05:50.920]  但其中所驚誇的
[00:05:50.920 --> 00:05:52.960]  不過是勞苦愁煩
[00:05:52.960 --> 00:05:54.560]  轉眼成空
[00:05:54.560 --> 00:05:57.280]  我們便如飛而去
[00:05:57.280 --> 00:06:00.200]  誰曉得祢怒氣的權勢
[00:06:00.200 --> 00:06:02.560]  誰安著祢該受的敬畏
[00:06:02.560 --> 00:06:04.880]  曉得祢的憤怒呢
[00:06:04.880 --> 00:06:08.720]  求祢指教我們怎樣數算自己的日子
[00:06:08.720 --> 00:06:11.480]  好叫我們得著智慧的心
[00:06:11.480 --> 00:06:13.080]  第十三節
[00:06:13.080 --> 00:06:14.440]  耶和華說
[00:06:14.440 --> 00:06:16.800]  我們要等到何時呢
[00:06:16.800 --> 00:06:18.360]  求祢轉回
[00:06:18.360 --> 00:06:19.360]  「轉回」這個字
[00:06:19.360 --> 00:06:21.640]  就是上面「世人歸回」
[00:06:21.640 --> 00:06:24.000]  「塵土歸回」這個字
[00:06:24.000 --> 00:06:26.320]  求神祢轉回
[00:06:26.320 --> 00:06:28.440]  為祢的僕人後悔
[00:06:28.440 --> 00:06:30.080]  這些字是很特殊的
[00:06:30.080 --> 00:06:32.520]  是叫「神後悔」
[00:06:32.520 --> 00:06:36.600]  求祢使我們早早飽得祢的慈愛
[00:06:36.600 --> 00:06:39.720]  好叫我們一生一世歡呼喜樂
[00:06:39.720 --> 00:06:43.560]  求祢照著祢使我們受苦的日子
[00:06:43.560 --> 00:06:45.760]  我們遭難的年歲
[00:06:45.760 --> 00:06:47.520]  叫我們喜樂
[00:06:47.520 --> 00:06:48.920]  願祢的作為
[00:06:48.920 --> 00:06:50.960]  向祢的僕人顯現
[00:06:50.960 --> 00:06:52.520]  願祢的榮耀
[00:06:52.520 --> 00:06:55.120]  向他們子孫顯明
[00:06:55.120 --> 00:06:56.400]  願主
[00:06:56.400 --> 00:06:58.400]  我們神的榮美
[00:06:58.400 --> 00:07:00.560]  歸於我們身上
