
[00:00:00.000 --> 00:00:07.040]  讀兩節的聖經在創世紀第一章第27節跟第二章第24節
[00:00:07.040 --> 00:00:09.460]  好,兩節的聖經我們一同來念,好不好?
[00:00:09.460 --> 00:00:17.260]  來,神就造自己的形象造人,乃是造的他的形象造男造女。
[00:00:17.260 --> 00:00:25.160]  因此,人要離開父母,與妻子聯合,二人成為一體。
[00:00:25.160 --> 00:00:28.640]  我們就讀到這裡。
[00:00:28.640 --> 00:00:32.080]  在前一個禮拜五,我們所親愛的同宮黃光賢牧師
[00:00:32.080 --> 00:00:37.660]  因為心臟病突發而被主接回天家。
[00:00:37.660 --> 00:00:43.180]  黃牧師在我們生命和服飾超過了十五年之久,
[00:00:43.180 --> 00:00:49.240]  他的生命跟服飾都是我們眾同宮的好榜樣。
[00:00:49.240 --> 00:00:55.400]  他的忽然離去的確帶給我們很多依依的不捨。
[00:00:55.400 --> 00:00:59.260]  昨天有機會跟同宮們一同懷念黃牧師,
[00:00:59.260 --> 00:01:03.240]  我就想到他的七件事情。
[00:01:03.240 --> 00:01:08.660]  首先第一個,他是滿有生命的牧者。
[00:01:08.660 --> 00:01:11.160]  你怎麼看主的生命呢?
[00:01:11.160 --> 00:01:14.780]  那不就是看聖靈的果子嗎?
[00:01:14.780 --> 00:01:17.880]  當你讀到聖靈所結的九種果子
[00:01:17.880 --> 00:01:26.640]  人愛、喜樂、和平、忍耐、恩慈、良善、信實、溫柔、潔澈。
[00:01:26.640 --> 00:01:34.600]  哇,這難道不都是在黃牧師身上你可以看到的特質嗎?
[00:01:34.600 --> 00:01:38.000]  第二,他是愛家顧家的丈夫。
[00:01:38.000 --> 00:01:44.480]  我想黃牧師跟師母是我們教會公認最恩愛的夫妻。
[00:01:44.480 --> 00:01:50.400]  兩個孩子的家庭也都是熱心愛主的家庭。
[00:01:50.400 --> 00:01:54.960]  第三,他是忠心服侍的同宮。
[00:01:54.960 --> 00:02:00.040]  無論他做什麼,你永遠不會聽見他埋怨。
[00:02:00.040 --> 00:02:06.960]  他總是盡心竭力地做他所託付做的事情。
[00:02:06.960 --> 00:02:11.720]  第四,他是尋尋善誘的老師。
[00:02:11.720 --> 00:02:15.640]  他的恩賜真的就是教師的恩賜。
[00:02:15.640 --> 00:02:23.920]  每次聽他用那個娓娓道來的口吻來傳講神的話語的時候,
[00:02:23.920 --> 00:02:28.760]  總是叫人聽得津津有味,不是嗎?
[00:02:28.760 --> 00:02:34.080]  第五,他是一個喜樂流露的敬拜者。
[00:02:34.080 --> 00:02:41.480]  我告訴你看黃牧師在敬拜的本身就是一種享受。
