
[00:00:00.000 --> 00:00:02.000]  鼎姐妹
[00:00:02.000 --> 00:00:04.000]  現今的父母
[00:00:04.000 --> 00:00:07.000]  一般都很著緊自己的子女
[00:00:07.000 --> 00:00:11.000]  你問我 我都很著緊我三個女兒
[00:00:11.000 --> 00:00:15.000]  不過我未至於寸步不離
[00:00:15.000 --> 00:00:17.000]  在我們教會裏面
[00:00:17.000 --> 00:00:21.000]  我們的父母真的很疼愛他們的子女
[00:00:21.000 --> 00:00:24.000]  嬰兒房放不下
[00:00:24.000 --> 00:00:25.000]  都要陪在一起
[00:00:25.000 --> 00:00:28.000]  在嬰兒房裏面看著他們
[00:00:28.000 --> 00:00:31.000]  在幼稚級裏面寧願隔著板
[00:00:31.000 --> 00:00:33.000]  聽不到聲音都不緊要
[00:00:33.000 --> 00:00:35.000]  最緊要我知道我女兒在裏面
[00:00:35.000 --> 00:00:37.000]  我兒子在裏面
[00:00:37.000 --> 00:00:41.000]  雙人很能拿到父母那種的心
[00:00:41.000 --> 00:00:44.000]  凡是孩子或嬰兒的產品
[00:00:44.000 --> 00:00:46.000]  無論是食品用品
[00:00:46.000 --> 00:00:49.000]  價格永遠都不會下調
[00:00:49.000 --> 00:00:51.000]  只有高不會減價
[00:00:51.000 --> 00:00:56.000]  因為拿到父母那種為子女而願意付出任何代價
[00:00:56.000 --> 00:00:58.000]  那種的心理
[00:00:58.000 --> 00:01:02.000]  如果你想你的聚會活動爆棚
[00:01:02.000 --> 00:01:03.000]  多些人來
[00:01:03.000 --> 00:01:07.000]  請孩子表演或做任何一件事
[00:01:07.000 --> 00:01:08.000]  如果可以的話
[00:01:08.000 --> 00:01:10.000]  通常有七個人會參與
[00:01:10.000 --> 00:01:12.000]  七星伴月
[00:01:12.000 --> 00:01:16.000]  小朋友的父母 祖父母 外祖父母
[00:01:16.000 --> 00:01:18.000]  加上飛鴻姐姐
[00:01:18.000 --> 00:01:20.000]  七個人
[00:01:20.000 --> 00:01:24.000]  永無冷場
[00:01:24.000 --> 00:01:26.000]  為人父母的
[00:01:26.000 --> 00:01:30.000]  真的很樂意將最好的給自己的子女
[00:01:30.000 --> 00:01:33.000]  就算自己的子女很大都好
[00:01:33.000 --> 00:01:38.000]  作為父母都希望自己的子女有好日子過
[00:01:38.000 --> 00:01:41.000]  今天才有調查講到
[00:01:41.000 --> 00:01:46.000]  那些婦女很擔心自己的子女沒有樓住
[00:01:46.000 --> 00:01:48.000]  未能夠上車
[00:01:48.000 --> 00:01:50.000]  而心裏面很不安樂
[00:01:50.000 --> 00:01:54.000]  年少的時候怕她讀不成書
[00:01:54.000 --> 00:01:58.000]  青春期的時候怕她認識不到男女朋友
[00:01:58.000 --> 00:02:03.000]  拍拖又怕她找不到自己心愛的配偶
[00:02:03.000 --> 00:02:04.000]  即結不成婚
[00:02:04.000 --> 00:02:07.000]  結成婚又怕他們買不到樓
[00:02:07.000 --> 00:02:13.000]  總之做父母的就長憂九十九
[00:02:13.000 --> 00:02:18.000]  做父母的總是很希望將最好的給自己的子女
[00:02:18.000 --> 00:02:22.000]  相信這個都是普遍父母的心底的心聲
[00:02:22.000 --> 00:02:26.000]  所以在現在的小朋友裏面
[00:02:26.000 --> 00:02:29.000]  在他們心裏的字典裏面
[00:02:29.000 --> 00:02:31.000]  他不知道什麼叫缺乏
[00:02:31.000 --> 00:02:34.000]  在人生裏面要什麼有什麼
[00:02:34.000 --> 00:02:38.000]  因為父母寧願自己省一點
[00:02:38.000 --> 00:02:43.000]  都希望自己的子女有足夠有最好
[00:02:43.000 --> 00:02:45.000]  所謂的缺乏
