
[00:00:00.000 --> 00:00:03.500]  近來香港所發生的社會事件
[00:00:03.500 --> 00:00:07.500]  相信帶來香港人前所未有的衝擊
[00:00:07.500 --> 00:00:11.500]  更進一步將社會撕裂
[00:00:11.500 --> 00:00:13.500]  撕裂的範圍很廣
[00:00:13.500 --> 00:00:17.500]  甚至是包括一個原本很溫馨
[00:00:17.500 --> 00:00:20.500]  很親密的家庭裏面
[00:00:20.500 --> 00:00:22.000]  至於教會
[00:00:22.000 --> 00:00:25.500]  當然教會都不能夠置身事外
[00:00:25.500 --> 00:00:33.000]  所以其實教會本身都是一個很容易產生衝突的群體
[00:00:33.000 --> 00:00:41.000]  因為信徒往往都會以自己對真理的領袖各執一詞
[00:00:41.000 --> 00:00:43.000]  今日我們所看見的經文
[00:00:43.000 --> 00:00:48.000]  主耶穌基督刻意對他自己會預見到
[00:00:48.000 --> 00:00:52.000]  將會在信徒群體在教會裏面
[00:00:52.000 --> 00:00:57.000]  會有發生衝突而所說的話
[00:00:57.000 --> 00:01:01.000]  他預料到教會群體裏面的姐妹都會犯錯
[00:01:01.000 --> 00:01:06.000]  並且會造成彼此關係的緊張
[00:01:06.000 --> 00:01:09.000]  所以今日我就用一個題目叫做
[00:01:09.000 --> 00:01:12.000]  衝突的轉化
[00:01:12.000 --> 00:01:14.000]  叫調解之道
[00:01:14.000 --> 00:01:18.000]  是和大家去看這段經文
[00:01:18.000 --> 00:01:22.000]  裏面是包括講到信徒之間
[00:01:22.000 --> 00:01:26.000]  如何解決衝突的方法
[00:01:26.000 --> 00:01:32.000]  亦有講到邀請幾個見證人一起參與去解決
[00:01:32.000 --> 00:01:39.000]  第二方面亦講到教會群體本身一個解決衝突的方法
[00:01:39.000 --> 00:01:44.000]  包括邀請一些調解人來去參與
[00:01:44.000 --> 00:01:48.000]  所以馬太福音十八章是耶穌基督
[00:01:48.000 --> 00:01:52.000]  所關於教會這個群體裏面彼此相處
[00:01:52.000 --> 00:01:55.000]  他當中裏面講的內容
[00:01:55.000 --> 00:02:01.000]  很多的詞語都是關係到一些如何去實踐
[00:02:01.000 --> 00:02:03.000]  如何去一行
[00:02:03.000 --> 00:02:08.000]  所以有人會稱為這章的經文是教會的規則
[00:02:08.000 --> 00:02:10.000]  在這章裏面就能夠看到
[00:02:10.000 --> 00:02:15.000]  耶穌基督讓我們有詳細去解決不同衝突的方法
[00:02:15.000 --> 00:02:19.000]  這些神的話語能夠幫助我們
[00:02:19.000 --> 00:02:25.000]  藉著耶穌基督的精神教導去處理今天我們當中
[00:02:25.000 --> 00:02:28.000]  在教會可能會發生不同的衝突的方法
[00:02:28.000 --> 00:02:31.000]  今天是講到調解之道
[00:02:31.000 --> 00:02:36.000]  我相信之後還會講其他方法
[00:02:36.000 --> 00:02:41.000]  不過今天就會停在這十五到十七節裏面
[00:02:41.000 --> 00:02:46.000]  首先第一件事就是信徒之間如何去解決衝突的做法是怎樣呢
[00:02:46.000 --> 00:02:48.000]  第十五節那裏講
[00:02:48.000 --> 00:02:50.000]  我用和本修訂版裏面讀出來給大家聽
[00:02:50.000 --> 00:02:53.000]  若是你的弟兄得罪你,你要去
[00:02:53.000 --> 00:02:57.000]  趁著只有他和你在一起的時候
[00:02:57.000 --> 00:03:00.000]  指出他的錯來
[00:03:00.000 --> 00:03:05.000]  他若稱你,你就贏得了你的弟兄
