
[00:00:00.000 --> 00:00:07.000]  上半年會以「以塞下書」系列在大堂講道
[00:00:07.000 --> 00:00:11.000]  今天跟大家講第二講
[00:00:11.000 --> 00:00:14.000]  主題是「超越萬有的神」
[00:00:14.000 --> 00:00:22.000]  去年7月底,一場演唱會
[00:00:22.000 --> 00:00:27.000]  有一位青年的舞蹈員意外受傷
[00:00:27.000 --> 00:00:30.000]  現在仍然在醫院,他叫阿Mo
[00:00:30.000 --> 00:00:33.000]  阿Mo的爸爸就是李牧師
[00:00:33.000 --> 00:00:38.000]  在過去的聖誕節,李牧師在媒體上
[00:00:38.000 --> 00:00:41.000]  分享了一個題目
[00:00:41.000 --> 00:00:45.000]  「信仰的力量如何剋性危難」
[00:00:45.000 --> 00:00:48.000]  作為父親,很真實
[00:00:48.000 --> 00:00:52.000]  他說他感到震驚和愕然
[00:00:52.000 --> 00:00:56.000]  他承認背後有不少傷痛和眼淚
[00:00:57.000 --> 00:00:59.000]  李牧師已經信主五十多年
[00:00:59.000 --> 00:01:02.000]  雖然信主五十多年
[00:01:02.000 --> 00:01:07.000]  但他仍然面對在信仰上很多衝擊
[00:01:07.000 --> 00:01:12.000]  心靈的裏頭都有很多挑戰
[00:01:12.000 --> 00:01:15.000]  他在分享的裏面
[00:01:15.000 --> 00:01:19.000]  他講到他的兒子都是神所創造
[00:01:19.000 --> 00:01:22.000]  他引述詩篇139篇13節
[00:01:22.000 --> 00:01:25.000]  他說:「我的肺腑是你所造的
[00:01:25.000 --> 00:01:28.000]  我在母腹中,你已偏執我」
[00:01:28.000 --> 00:01:32.000]  他講到神是創造主
[00:01:32.000 --> 00:01:36.000]  他是有能力來幫助他的兒子
[00:01:36.000 --> 00:01:42.000]  另一位大家應該都很熟悉的
[00:01:42.000 --> 00:01:45.000]  一位基督教著名的學者
[00:01:45.000 --> 00:01:47.000]  溫偉耀博士
[00:01:47.000 --> 00:01:51.000]  在1984年的時間
[00:01:51.000 --> 00:01:56.000]  溫博士由牛津學成回港
[00:01:56.000 --> 00:01:59.000]  回來香港的時候
[00:01:59.000 --> 00:02:03.000]  他發現他的小女兒有嚴重的智障
[00:02:03.000 --> 00:02:09.000]  之後又發現他的太太得了末期癌症
[00:02:09.000 --> 00:02:13.000]  同期他的父親亦挪患失智症
[00:02:13.000 --> 00:02:19.000]  1987年短短半年的裏邊
[00:02:20.000 --> 00:02:25.000]  他的父親、太太相繼離世
[00:02:25.000 --> 00:02:29.000]  他的信仰瀕臨崩潰的時間
[00:02:29.000 --> 00:02:34.000]  他形容有一天的下午
[00:02:34.000 --> 00:02:38.000]  他去到尖沙咀一間咖啡室
[00:02:38.000 --> 00:02:42.000]  望著維多利亞海港
[00:02:42.000 --> 00:02:45.000]  他問了神一個問題
[00:02:46.000 --> 00:02:50.000]  神啊,如果我不做基督徒,改行做什麼呢?
[00:02:50.000 --> 00:02:55.000]  雖然在他的信仰裏面
[00:02:55.000 --> 00:02:58.000]  面臨一個極大極大的挑戰
[00:02:58.000 --> 00:03:04.000]  不過在他重整自己的信仰的期間
[00:03:04.000 --> 00:03:08.000]  他醒覺到原來這位好像躲起來了
[00:03:08.000 --> 00:03:11.000]  好像自隱的神,好像退隱了的神
[00:03:11.000 --> 00:03:14.000]  原來在過去、現在、將來
[00:03:14.000 --> 00:03:16.000]  原來他也在這裏
[00:03:16.000 --> 00:03:18.000]  他沒有離場,他在場
[00:03:18.000 --> 00:03:22.000]  而且像是有信心的勇氣和能力
[00:03:22.000 --> 00:03:24.000]  他就憑著這股力量
[00:03:24.000 --> 00:03:26.000]  繼續走前面的路
[00:03:26.000 --> 00:03:29.000]  至今已經接近四十年的時間
[00:03:29.000 --> 00:03:35.000]  在《倚菜下書》
[00:03:35.000 --> 00:03:41.000]  我們今天會說四十章的十二至二十六節
[00:03:41.000 --> 00:03:44.000]  其實在《上文》第三十九節
[00:03:44.000 --> 00:03:46.000]  三十九篇的裏篇
[00:03:46.000 --> 00:03:49.000]  先知來到預言
[00:03:49.000 --> 00:03:52.000]  那個國家是會滅亡
[00:03:52.000 --> 00:03:56.000]  人民是會被擄到去義邦超過半個世紀
[00:03:56.000 --> 00:04:00.000]  百姓的信仰同樣產生很多的困惑
[00:04:00.000 --> 00:04:02.000]  甚至面臨崩潰
[00:04:02.000 --> 00:04:06.000]  三十九章的六至七節
[00:04:06.000 --> 00:04:09.000]  同樣講到這個情況
[00:04:09.000 --> 00:04:13.000]  可能當時的百姓就去問很多的問題
[00:04:13.000 --> 00:04:16.000]  我的艱苦老神是否真的知道?
[00:04:16.000 --> 00:04:19.000]  我的冤屈是否真的理會?
[00:04:19.000 --> 00:04:21.000]  神是否真的在這裏?
[00:04:21.000 --> 00:04:23.000]  他真的信神?
[00:04:23.000 --> 00:04:25.000]  他真的能夠拯救?
[00:04:25.000 --> 00:04:27.000]  他更厲害?
[00:04:27.000 --> 00:04:30.000]  還是巴比倫的神明更厲害呢?
[00:04:30.000 --> 00:04:33.000]  如果他這麼有能力
[00:04:33.000 --> 00:04:36.000]  為甚麼他不能夠保護我們呢?
[00:04:36.000 --> 00:04:39.000]  我們還要等多久呢?
[00:04:39.000 --> 00:04:46.000]  你又說回國可以回到國家復興
[00:04:46.000 --> 00:04:48.000]  回國的應許
[00:04:48.000 --> 00:04:50.000]  似乎有石沉大海
[00:04:50.000 --> 00:04:52.000]  一粒聲也沒有
[00:04:52.000 --> 00:04:54.000]  究竟是怎樣的呢?
[00:04:54.000 --> 00:04:58.000]  在信仰瀕臨崩潰的時候
[00:04:58.000 --> 00:05:01.000]  全能的神向在艱苦
[00:05:01.000 --> 00:05:04.000]  在絕望的子民說話
[00:05:04.000 --> 00:05:08.000]  所以在《已創下書》的四十至五十五章
[00:05:08.000 --> 00:05:11.000]  這個稱為《以色列安慰書》
[00:05:11.000 --> 00:05:14.000]  神就一連串的安慰
[00:05:14.000 --> 00:05:16.000]  一些鼓舞的信息
[00:05:16.000 --> 00:05:19.000]  就是在這幾章的聖經
[00:05:19.000 --> 00:05:20.000]  十幾章的聖經
[00:05:20.000 --> 00:05:22.000]  十六章的聖經裏面講到
[00:05:22.000 --> 00:05:25.000]  上個星期梁牧師跟我們分享了
[00:05:25.000 --> 00:05:29.000]  仰望賜我們盼望的神
[00:05:29.000 --> 00:05:33.000]  是《安慰書》這個序言的第一個段落
[00:05:33.000 --> 00:05:36.000]  四十章的一至十一節
[00:05:36.000 --> 00:05:37.000]  處理第一個問題就是
[00:05:37.000 --> 00:05:39.000]  神是不是想拯救我們
[00:05:39.000 --> 00:05:42.000]  而先知就斬釘截鐵的宣告
[00:05:42.000 --> 00:05:45.000]  神的救贖即將來到
[00:05:45.000 --> 00:05:47.000]  即將臨到
[00:05:47.000 --> 00:05:51.000]  我們要仰望賜我們盼望的神
[00:05:51.000 --> 00:05:53.000]  神必定的拯救
[00:05:53.000 --> 00:05:55.000]  而且祂的百姓終必
[00:05:55.000 --> 00:05:58.000]  定能夠向世人宣揚神的救恩
[00:05:58.000 --> 00:06:02.000]  接著在十二節至到二十六節
[00:06:02.000 --> 00:06:05.000]  就處理另外一個問題
[00:06:05.000 --> 00:06:07.000]  這個問題就是說
[00:06:07.000 --> 00:06:13.000]  神是不是真的有能力拯救我們呢
[00:06:13.000 --> 00:06:16.000]  先知預言這班百姓
[00:06:16.000 --> 00:06:18.000]  將會被擄到巴比倫
[00:06:18.000 --> 00:06:23.000]  這樣究竟神是不是真的有能力
[00:06:23.000 --> 00:06:25.000]  來拯救我們
[00:06:25.000 --> 00:06:28.000]  同樣這些問題
[00:06:28.000 --> 00:06:31.000]  一直都在這班百姓的心裏面
[00:06:31.000 --> 00:06:33.000]  所以先知以賽亞
[00:06:33.000 --> 00:06:36.000]  就來到去答覆他們的問題
[00:06:36.000 --> 00:06:40.000]  並且來到講到神是有能力的
[00:06:40.000 --> 00:06:42.000]  在這一段經文的裏面
[00:06:42.000 --> 00:06:45.000]  或者是有一個這樣的平衡結構
[00:06:45.000 --> 00:06:47.000]  又或者叫交叉結構
[00:06:47.000 --> 00:06:51.000]  ABCD然後A'B'C'D'
[00:06:51.000 --> 00:06:53.000]  那麼這一段經文
[00:06:53.000 --> 00:06:55.000]  就好像一堆一堆一樣
[00:06:55.000 --> 00:06:56.000]  ABCD
[00:06:56.000 --> 00:06:59.000]  A和A'的經文
[00:06:59.000 --> 00:07:01.000]  內容是差不多
[00:07:01.000 --> 00:07:03.000]  甚至一樣
[00:07:03.000 --> 00:07:06.000]  當然不是讀這裏
[00:07:06.000 --> 00:07:08.000]  大家的眼界
[00:07:08.000 --> 00:07:10.000]  眼睛都不會說
[00:07:10.000 --> 00:07:12.000]  如果讀到就很厲害了
[00:07:12.000 --> 00:07:14.000]  看到吧
[00:07:14.000 --> 00:07:16.000]  所以我們就由十二節
[00:07:16.000 --> 00:07:18.000]  至到二十六節我們一起讀
[00:07:18.000 --> 00:07:21.000]  誰曾用手心涼珠水
[00:07:21.000 --> 00:07:23.000]  用手撫口涼蒼天
[00:07:23.000 --> 00:07:26.000]  用星斗盛大地的塵土
[00:07:26.000 --> 00:07:30.000]  用平稱山嶺用天平稱江陵
[00:07:30.000 --> 00:07:33.000]  誰曾測度搖滑的靈
[00:07:33.000 --> 00:07:35.000]  或作他的謀士指教他
[00:07:35.000 --> 00:07:39.000]  他誰相耳誰教導他
[00:07:39.000 --> 00:07:41.000]  以公平的路指示他
[00:07:41.000 --> 00:07:43.000]  將知識傳授予他
[00:07:43.000 --> 00:07:46.000]  由將通達的道指教他
[00:07:46.000 --> 00:07:49.000]  看啊列角都像水桶裏的一滴
[00:07:49.000 --> 00:07:52.000]  猶如天平上的微塵
[00:07:52.000 --> 00:07:55.000]  看啊他舉起眾海島
[00:07:55.000 --> 00:07:58.000]  可像舉起極微小之物
[00:07:58.000 --> 00:08:01.000]  泥巴亂不夠當柴燒
[00:08:01.000 --> 00:08:04.000]  其中的走獸也不夠作繁濟
[00:08:04.000 --> 00:08:08.000]  列角在他面前如同不存在
[00:08:08.000 --> 00:08:11.000]  在他看來微不足道
[00:08:11.000 --> 00:08:13.000]  只是虛空
[00:08:13.000 --> 00:08:15.000]  你們究竟將誰比神
[00:08:15.000 --> 00:08:18.000]  用什麼形象與他相教呢
[00:08:18.000 --> 00:08:20.000]  至於偶像
[00:08:20.000 --> 00:08:22.000]  匠人鑄造他
[00:08:22.000 --> 00:08:24.000]  銀匠用金紙包裹他
[00:08:24.000 --> 00:08:26.000]  又為他鑄造銀面
[00:08:26.000 --> 00:08:28.000]  沒有能力捐獻的人
[00:08:28.000 --> 00:08:31.000]  就挑選不易扭壞的木頭
[00:08:31.000 --> 00:08:34.000]  為自己尋找考象
[00:08:34.000 --> 00:08:36.000]  樹立不會倒的偶像
[00:08:36.000 --> 00:08:38.000]  你們豈不知道嗎
[00:08:38.000 --> 00:08:40.000]  豈未曾聽見嗎
[00:08:40.000 --> 00:08:44.000]  難道沒有人從起頭就告訴你們嗎
[00:08:44.000 --> 00:08:47.000]  自從地的根基立定
