
[00:00:00.000 --> 00:00:05.820]  弟兄姐妹們,有一次我在幾個家庭的聚會當中,
[00:00:05.820 --> 00:00:10.360]  我聽見有一位姐妹分享,兩個兒子,
[00:00:10.360 --> 00:00:14.440]  有一個說,他想在美國那邊結婚,
[00:00:14.440 --> 00:00:17.740]  要不認識那個女孩子,非常好。
[00:00:17.740 --> 00:00:21.040]  但那個女孩子呢,父母都沒有見過。
[00:00:21.040 --> 00:00:23.880]  他們說,爸爸媽媽,你喜歡來你就過來,
[00:00:23.880 --> 00:00:25.840]  你不來我們就旅行結婚。
[00:00:25.840 --> 00:00:31.760]  所以呢,非常簡單,我們不想搞太多太複雜的東西,
[00:00:31.760 --> 00:00:34.280]  你不要理會我們。
[00:00:34.280 --> 00:00:37.840]  這個媽媽氣得要命。
[00:00:37.840 --> 00:00:42.240]  那麼辛苦,供這個孩子到外國去練書,練完了,畢業了,
[00:00:42.240 --> 00:00:44.280]  結果他又在那邊結婚。
[00:00:44.280 --> 00:00:49.080]  然後只是知會父母,連問他們的意見都沒有,
[00:00:49.080 --> 00:00:54.320]  帶他們來看看他們未來這個媳婦是怎麼樣的一個媳婦,都沒有。
[00:00:54.320 --> 00:00:57.840]  非常氣。然後接下來又講到另外一個兒子,
[00:00:57.840 --> 00:01:01.000]  又氣得要命,這個是大哥。
[00:01:01.000 --> 00:01:08.200]  這個大哥年紀已經三十幾了,來來去去還是光棍一條,
[00:01:08.200 --> 00:01:10.000]  什麼女孩子都沒有。
[00:01:10.000 --> 00:01:13.920]  然後接下來問他,有沒有女朋友啊?
[00:01:13.920 --> 00:01:20.880]  然後他就說,這個不敢你死,你小擔心,我不想結婚。
[00:01:20.880 --> 00:01:25.120]  結果呢,老大三十幾歲,不要結婚,
[00:01:25.120 --> 00:01:31.280]  老二一大學畢業,要結婚,但是隻是知會老人家。
[00:01:31.280 --> 00:01:38.400]  所以他兩夫婦爲了這個事情,非常非常氣憤,很不高興。
[00:01:38.400 --> 00:01:41.440]  結果有個非常熟他們的一個人對他們說,
[00:01:41.440 --> 00:01:48.600]  哎,老唐啊,算了吧,要結婚了,就隨便他結婚,
[00:01:48.600 --> 00:01:51.680]  不結婚了就不要勉強他結婚,
[00:01:51.680 --> 00:01:57.720]  因爲到頭來他們都會後悔的。
[00:01:57.720 --> 00:02:00.520]  聽了以後,哇,其他人在拍掌啊,
[00:02:00.520 --> 00:02:03.200]  然後接下來有個人問我的意見,
[00:02:03.200 --> 00:02:08.040]  我得對他說,有一樣東西是對的,
[00:02:08.040 --> 00:02:12.240]  今天這個世界越來越多人後悔,
[00:02:12.240 --> 00:02:16.800]  不結婚了就因爲自己不把握機會後悔,
[00:02:16.800 --> 00:02:22.920]  結了婚了又因爲嫁錯了,嫁錯了一個郎,
[00:02:22.920 --> 00:02:28.800]  或是娶錯了一個娘,他們又後悔,那這個是個事實。
[00:02:28.800 --> 00:02:34.040]  但我跟他下來我得對他說,最重要不是在乎結不結婚,
[00:02:34.040 --> 00:02:42.360]  而是在乎你怎麼樣來進行戀愛結婚這回事。
[00:02:42.360 --> 00:02:45.160]  那次本來我要查試另外一些的東西,
[00:02:45.160 --> 00:02:51.440]  結果因爲他們這些的問題就跟他們查到有關聖經的婚姻。
