
[00:00:00.000 --> 00:00:03.600]  今天我們看一段經文是《尼西米記》
[00:00:03.600 --> 00:00:06.520]  我也是集中講經文的
[00:00:06.520 --> 00:00:09.840]  請各位電影節目在這個時間翻開你們的聖經
[00:00:09.840 --> 00:00:12.680]  無論是電子版也好 實體版也好
[00:00:12.680 --> 00:00:16.000]  翻開去《尼西米記》的第二章
[00:00:16.000 --> 00:00:21.680]  因為待會我們也會去第一章講一些前文後理
[00:00:21.680 --> 00:00:23.960]  有了這些前文後理的背景之下
[00:00:23.960 --> 00:00:26.200]  我們再繼續看這段經文
[00:00:26.200 --> 00:00:27.760]  是會深刻一點的
[00:00:27.760 --> 00:00:30.040]  在開始的時候我們先有一個禱告
[00:00:30.040 --> 00:00:31.240]  我們交給上帝
[00:00:31.240 --> 00:00:37.080]  主耶穌我們感謝祢
[00:00:37.080 --> 00:00:41.000]  在主日的清晨我們可以敬拜祢
[00:00:41.000 --> 00:00:42.720]  這是祢的恩典
[00:00:42.720 --> 00:00:44.640]  無論在實體 無論在網上
[00:00:44.640 --> 00:00:48.920]  我們知道我們都要專心如一的敬拜祢
[00:00:48.920 --> 00:00:51.960]  我們求主祢讓我們的心思和意念
[00:00:51.960 --> 00:00:54.240]  聚焦在上主祢的話語當中
[00:00:54.240 --> 00:00:55.840]  讓我們透過祢的說話
[00:00:55.840 --> 00:00:59.320]  我們既聆聽並且創造心態
[00:00:59.320 --> 00:01:01.920]  讓我們既有反省也有實踐
[00:01:01.920 --> 00:01:03.520]  求主祢的靈引導我們
[00:01:03.520 --> 00:01:04.560]  多謝耶穌
[00:01:04.560 --> 00:01:07.080]  聽我們祈禱靠耶穌基督的聖名
[00:01:07.080 --> 00:01:08.200]  阿們
[00:01:08.200 --> 00:01:09.880]  好 大家看一下第一章
[00:01:09.880 --> 00:01:11.720]  因為講第二章之前
[00:01:11.720 --> 00:01:13.320]  講第一章其實很困難的
[00:01:13.320 --> 00:01:17.600]  《尼西米記》第一和第二章其實都是一個很緊密的聯繫
[00:01:17.600 --> 00:01:20.520]  所以你看到第一章第二章一開頭的時候
[00:01:20.520 --> 00:01:23.680]  它都會講一下那個月份
[00:01:23.680 --> 00:01:25.360]  講一下是什麼時間發生
