
[00:00:00.000 --> 00:00:06.000]  今天講到的題目是屬靈眼睛
[00:00:06.000 --> 00:00:10.000]  如果上過教會的都知道我講什麼
[00:00:10.000 --> 00:00:19.000]  我們看看內容如何幫助我們深刻了解這個題目
[00:00:19.000 --> 00:00:25.000]  我選用的經文第一段是在哥林多後書
[00:00:25.000 --> 00:00:31.000]  大家可以翻開聖經或看頭影片
[00:00:31.000 --> 00:00:40.000]  四章十七至十八節 哥林多後書
[00:00:40.000 --> 00:00:43.000]  我們一起讀一次
[00:00:43.000 --> 00:01:07.000]  我們這至暫至輕的苦楚 為要成就極重無比永遠的榮耀 原來我們乃是顧念所不見的 因為所見的是暫時的 所不見的是永遠的
[00:01:07.000 --> 00:01:11.000]  哥林多後書四章十七至十八節
[00:01:11.000 --> 00:01:16.000]  是一段很經典的經文
[00:01:16.000 --> 00:01:21.000]  很多喜歡背金句的可以選擇來背
[00:01:21.000 --> 00:01:24.000]  因為很有提醒
[00:01:24.000 --> 00:01:33.000]  尤其是在我們基督徒面對很多世上的生活的苦楚
[00:01:33.000 --> 00:01:42.000]  這個苦楚不一定是上年紀才感覺到苦楚 讀書的學生們都常常感到苦楚
[00:01:42.000 --> 00:01:48.000]  坐在一起的時候又考試 剛剛考完沒多久
[00:01:48.000 --> 00:01:58.000]  這些在他們來說都是很實際的苦楚 都是需要有真正的理解才能夠經過
[00:01:58.000 --> 00:02:00.000]  人生很多的苦楚
[00:02:00.000 --> 00:02:05.000]  但是保羅這一書說 這些苦楚有什麼目的呢
[00:02:05.000 --> 00:02:07.000]  可以為我們成就什麼呢
[00:02:07.000 --> 00:02:13.000]  原來是為了成就一個極重無比永遠的榮耀
[00:02:13.000 --> 00:02:21.000]  一個重量上很重 一個時間上是直到永遠的榮耀
[00:02:21.000 --> 00:02:25.000]  我們好像都不太清楚是什麼
[00:02:25.000 --> 00:02:30.000]  淑玲的事物有時候真的說給你聽你都未必完全明白
[00:02:30.000 --> 00:02:37.000]  只能夠用一些語言讓你向某一個正確的方向去想像
[00:02:37.000 --> 00:02:42.000]  很大 很重 很榮耀
[00:02:42.000 --> 00:02:55.000]  接著他就說 我們要顧念 就是我們在世上要去關心 要去顧念 掛念 為了什麼來努力 這就叫做顧念
[00:02:55.000 --> 00:02:57.000]  顧念是什麼呢
[00:02:57.000 --> 00:03:05.000]  我們不是顧念那些看到的東西 而是顧念那些看不到的東西
[00:03:05.000 --> 00:03:11.000]  嘩 為什麼會這樣 眼前很現實看到的東西 保羅說不是顧念那些
[00:03:11.000 --> 00:03:13.000]  一會兒我會解釋一下
[00:03:13.000 --> 00:03:18.000]  而是要去顧念那些看不到的 看不到的又要去顧念
[00:03:18.000 --> 00:03:21.000]  看到在眼前那些 嘩 這麼實際的又不顧念
[00:03:21.000 --> 00:03:32.000]  什麼道理呢 原來保羅所說的不是真實與非真實的比較
[00:03:32.000 --> 00:03:37.000]  而是我們所見到的東西是很少 我們所看到的東西是一點點
[00:03:37.000 --> 00:03:42.000]  看不到真正有需要對我們好的東西 我們看不到
[00:03:42.000 --> 00:03:46.000]  那些是很多 那些是很大
[00:03:46.000 --> 00:03:51.000]  這個好像我們不太明白 待會兒給你一幅圖畫 希望你會明白一點
[00:03:51.000 --> 00:03:58.000]  他繼續解釋 我們所看到的東西 你覺得很現實 在你眼前那些 其實那些是暫時的
[00:03:58.000 --> 00:04:03.000]  你想一下 只是我們一生裡面能夠看到的東西
[00:04:03.000 --> 00:04:08.000]  所看不到的反而是永遠的 即是說我們看不到的東西是更多
[00:04:08.000 --> 00:04:11.000]  我們能夠看到的東西是很少
[00:04:11.000 --> 00:04:15.000]  這樣的說法大家明白嗎 可能會明白一點
[00:04:15.000 --> 00:04:22.000]  給你一幅圖畫看 雖然是一些科學上的資料 但都不難理解
[00:04:22.000 --> 00:04:27.000]  因為在現今這個世代 我們的事物都發展得很多
[00:04:27.000 --> 00:04:34.000]  我們也理解多一點 科學上的一些事情
[00:04:34.000 --> 00:04:41.000]  這幅圖畫叫做Electromagnetic Spectrum 誰知道是說什麼
[00:04:41.000 --> 00:04:44.000]  這些沒讀physics的 可能都聽過
[00:04:44.000 --> 00:04:51.000]  電磁波的頻譜 什麼叫做電磁波的頻譜呢
[00:04:51.000 --> 00:04:55.000]  電磁波 你好像不太明白 但其實是知道的
[00:04:55.000 --> 00:05:01.000]  我告訴你 空間這個世界 周圍有很多電波飛來飛去
[00:05:01.000 --> 00:05:06.000]  你現在是不是會明白 以前上一代都不明白 什麼意思
[00:05:06.000 --> 00:05:11.000]  現在你拿出手機就知道 去到哪裡都能收到訊號
