
[00:00:00.000 --> 00:00:09.000]  有一個丈夫在酒店房間很緊急地打電話給酒店的前台
[00:00:09.000 --> 00:00:12.000]  叫他快點派人上來我的房間
[00:00:12.000 --> 00:00:15.000]  因為我和我老婆剛剛吵完架
[00:00:15.000 --> 00:00:17.000]  我老婆說現在要跳進窗戶裡
[00:00:17.000 --> 00:00:19.000]  前台的職員就說
[00:00:19.000 --> 00:00:22.000]  先生,這是你們夫妻之間的糾紛
[00:00:22.000 --> 00:00:25.000]  酒店是不會介入的
[00:00:25.000 --> 00:00:30.000]  丈夫就說不是啊,我老婆開不了窗
[00:00:30.000 --> 00:00:33.000]  這個是維修的問題
[00:00:33.000 --> 00:00:37.000]  這個笑話就告訴我們一件事
[00:00:37.000 --> 00:00:40.000]  人總是因應我們自己的心境
[00:00:40.000 --> 00:00:45.000]  我們的價值觀來瞭解發生在我們周圍的事情
[00:00:45.000 --> 00:00:47.000]  也決定我們如何的回應
[00:00:47.000 --> 00:00:51.000]  用什麼行動來回應某一個處境
[00:00:51.000 --> 00:00:53.000]  從今天這個星期開始
[00:00:53.000 --> 00:00:58.000]  我們會提出一個蝦蓋書
[00:00:58.000 --> 00:01:02.000]  這個蝦蓋書
[00:01:02.000 --> 00:01:06.000]  我們會用三個星期去看
[00:01:06.000 --> 00:01:09.000]  從今天的經文,似乎我們可以理解到
[00:01:09.000 --> 00:01:14.000]  當時的以色列人是錯誤地理解當時的一個處境
[00:01:14.000 --> 00:01:17.000]  以致他們走在一個不正確的道路上
[00:01:17.000 --> 00:01:20.000]  神就差派蝦蓋先知
[00:01:20.000 --> 00:01:25.000]  提醒這班以色列人迴轉行在正道當中
[00:01:25.000 --> 00:01:29.000]  要更加深入地明白這段經文
[00:01:29.000 --> 00:01:33.000]  我們需要理解這段經文的歷史背景
[00:01:33.000 --> 00:01:41.000]  當時的以色列人可以說是在一個國破家亡的境況之中
[00:01:41.000 --> 00:01:46.000]  如果我們看看歷史事情的時間線
[00:01:46.000 --> 00:01:50.000]  我們都知道在主前的586年
