
[00:00:00.000 --> 00:00:02.340]  看完這段詩篇,有沒有什麼印象呢?
[00:00:02.340 --> 00:00:08.780]  剛才跟那群長者說,就很快,可能我們很快想起中國人的一些說話
[00:00:08.780 --> 00:00:12.060]  我們經常說的一些話,就是"若然不報"是怎樣的呢?
[00:00:12.060 --> 00:00:13.900]  時辰還沒到啊,是不是?
[00:00:13.900 --> 00:00:18.820]  但是另一方面有一個氣氛就是,人就是這樣的嘛,路見不平就應該怎樣呢?
[00:00:18.820 --> 00:00:22.040]  拔刀相助的嘛,那又要忍住?
[00:00:22.040 --> 00:00:26.160]  那可能似乎剛剛就是這段經文,在我們很中國的處境裡面
[00:00:26.160 --> 00:00:33.020]  看回一些類近的說話和對比,甚至有一點點掙扎的地方
[00:00:33.020 --> 00:00:36.480]  詩篇37篇,我們中文裡面,因為讀了這麼長
[00:00:36.480 --> 00:00:39.840]  除了覺得長之外,就沒什麼覺得過癮的
[00:00:39.840 --> 00:00:42.160]  但是無奈,因為我們用中文
[00:00:42.160 --> 00:00:47.040]  但是原文、希伯來文裡面,他們讀就很不同了
[00:00:47.040 --> 00:00:53.880]  因為不同語文,特別我們中國人的詩就講七言、五言
[00:00:53.880 --> 00:00:56.760]  還是古替詩啊,還是絕詩啊,律詩啊
[00:00:56.760 --> 00:00:59.700]  我們在緊張評則一大段的東西
[00:00:59.700 --> 00:01:03.260]  但是希伯來人他寫詩呢,他會玩另外一些事的
[00:01:03.260 --> 00:01:08.600]  拼音文字,就好像英文那樣,ABCDE這樣數的
[00:01:08.600 --> 00:01:13.520]  原來原文裡面,這首詩第一節就是他們第一個的
[00:01:13.520 --> 00:01:15.200]  就是A,用英文講法
[00:01:15.200 --> 00:01:19.180]  第二節就是拿B起頭的,第三節拿C起頭的,英文的
[00:01:19.180 --> 00:01:20.760]  他們不是,他們是希伯來文
[00:01:20.760 --> 00:01:24.600]  是這樣的東西,所以如果無語的希伯來文讀起來
[00:01:24.600 --> 00:01:26.440]  讀起來就很過癮了,很好玩的
[00:01:26.440 --> 00:01:30.880]  甚至有時候我們在英文裡面也會看到這樣做的
[00:01:30.880 --> 00:01:33.380]  不單止這樣有趣,這首詩歌呢
[00:01:33.380 --> 00:01:40.760]  還有另一件事,就是和我們平時敬拜唱的詩歌有點不同的
[00:01:40.760 --> 00:01:42.880]  詩歌是聖經的嘛,請留意
[00:01:42.880 --> 00:01:45.560]  這篇詩就是他們的詩集來的,可以嗎
[00:01:45.560 --> 00:01:48.400]  原本他們猶太人拿著這本詩集
[00:01:48.400 --> 00:01:53.040]  不過呢,無奈的就是現在只剩下一些詞,沒有了個譜
[00:01:53.040 --> 00:01:55.240]  只剩下一些詞,沒有了個譜
[00:01:55.240 --> 00:02:00.960]  我們可能未來也有機會撿到PowerPoint,只剩下一些字而已,沒有譜的
[00:02:00.960 --> 00:02:03.240]  就是我們只剩下一些字而已
