
[00:00:00.000 --> 00:00:05.000]  首先請同大家誦讀一段聖經,
[00:00:05.000 --> 00:00:09.000]  「肥立彼書」一章二十至二十六節。
[00:00:09.000 --> 00:00:12.000]  我哋先一齊嚟到誦讀呢段聖經,
[00:00:12.000 --> 00:00:15.000]  「肥立彼書」一章二十至二十六節。
[00:00:15.000 --> 00:00:16.000]  預備起!
[00:00:16.000 --> 00:00:20.000]  「照著我所切勿的,或忘的,
[00:00:20.000 --> 00:00:23.000]  沒有一事叫我羞愧,
[00:00:23.000 --> 00:00:25.000]  只要凡事放膽,
[00:00:25.000 --> 00:00:27.000]  無論是生是死,
[00:00:27.000 --> 00:00:31.000]  總叫基督在我身上曉若顯大。
[00:00:31.000 --> 00:00:34.000]  因我活著就是基督,
[00:00:34.000 --> 00:00:36.000]  我死了就有益處。
[00:00:36.000 --> 00:00:39.000]  但我在肉身活著,
[00:00:39.000 --> 00:00:42.000]  若成就我工作培養,
[00:00:42.000 --> 00:00:45.000]  我就不知道該挑選什麼。
[00:00:45.000 --> 00:00:48.000]  我正在兩難之間,
[00:00:48.000 --> 00:00:51.000]  情願離世與基督同在,
[00:00:51.000 --> 00:00:54.000]  因為這事好得無比。
[00:00:54.000 --> 00:00:57.000]  然而我在肉身活著,
[00:00:57.000 --> 00:01:00.000]  為你們更要緊的。
[00:01:00.000 --> 00:01:02.000]  既然這樣深信,
[00:01:02.000 --> 00:01:05.000]  就知道仍要住在世間,
[00:01:05.000 --> 00:01:08.000]  且與你們同住,
[00:01:08.000 --> 00:01:11.000]  使你們在所信的道上,
[00:01:11.000 --> 00:01:13.000]  又長進又喜樂。
[00:01:13.000 --> 00:01:17.000]  叫你們在基督耶穌裡的歡樂,
[00:01:17.000 --> 00:01:20.000]  因我再到你們那裡,
[00:01:20.000 --> 00:01:22.000]  就越發加珍。」
[00:01:22.000 --> 00:01:25.000]  早一個月的時間,
[00:01:25.000 --> 00:01:29.000]  比較多機會出席弟兄姊妹,
[00:01:29.000 --> 00:01:33.000]  或是家人離世的喪禮,
[00:01:33.000 --> 00:01:35.000]  或是駐領的康息禮拜。
[00:01:35.000 --> 00:01:38.000]  其中一位姊妹離世,
[00:01:38.000 --> 00:01:40.000]  令我們座當中的姊妹,
[00:01:40.000 --> 00:01:42.000]  感覺到一些情緒,
[00:01:42.000 --> 00:01:44.000]  尤其是阿琴,楊惠琴姊妹。
[00:01:44.000 --> 00:01:46.000]  當我收到這消息突然時,
[00:01:46.000 --> 00:01:48.000]  我心裡也起了一些感受,
[00:01:48.000 --> 00:01:52.000]  好像太快了。
[00:01:52.000 --> 00:01:54.000]  剩下的一段時間,
[00:01:54.000 --> 00:01:58.000]  有時也想浮現關於死亡的一件事。
[00:01:58.000 --> 00:02:00.000]  有一次看回聖經,
[00:02:00.000 --> 00:02:03.000]  肥納比書一章二十至二十六節,
[00:02:03.000 --> 00:02:05.000]  本來說這段話的時候,
[00:02:05.000 --> 00:02:08.000]  其實他當時在一個什麼樣的境況之下,
[00:02:08.000 --> 00:02:11.000]  在上文一章十二至十三節,
[00:02:11.000 --> 00:02:15.000]  他說當時他在被捉拿坐牢,
[00:02:15.000 --> 00:02:18.000]  他說我受的困所是在軍營裡,
[00:02:18.000 --> 00:02:20.000]  人們都知道,原因是什麼呢?
[00:02:20.000 --> 00:02:22.000]  是為了基督的緣故,
[00:02:22.000 --> 00:02:24.000]  因為他是信全福音,
[00:02:24.000 --> 00:02:26.000]  傳上帝的話的時候,
[00:02:26.000 --> 00:02:28.000]  當時人們不接受,
[00:02:28.000 --> 00:02:30.000]  於是就被捉拿坐牢。
[00:02:30.000 --> 00:02:32.000]  坐牢的時候裡面,
[00:02:32.000 --> 00:02:33.000]  最簡單的就是,
[00:02:33.000 --> 00:02:35.000]  究竟最終的結果是怎麼樣呢?
[00:02:35.000 --> 00:02:38.000]  這個是在外面的司法機關的判決,
[00:02:38.000 --> 00:02:40.000]  究竟他要放出來,
[00:02:40.000 --> 00:02:43.000]  還是最終判決是死。
[00:02:43.000 --> 00:02:47.000]  但保留在坐牢的時候裡面,
[00:02:47.000 --> 00:02:48.000]  他自己在心思,
[00:02:48.000 --> 00:02:51.000]  究竟我生存在地上好一點,
[00:02:51.000 --> 00:02:58.000]  還是離世,離開世界和基督一起好一點呢?
[00:02:58.000 --> 00:03:00.000]  似乎他不是思考到,
[00:03:00.000 --> 00:03:02.000]  究竟外面怎麼判他的情況,
[00:03:02.000 --> 00:03:03.000]  而是說,
[00:03:03.000 --> 00:03:05.000]  我覺得我留在這裡好一點,
[00:03:05.000 --> 00:03:07.000]  還是我離世好一點,
[00:03:07.000 --> 00:03:08.000]  當我作出這個決定的時候,
[00:03:08.000 --> 00:03:10.000]  我認為我自己會留在這裡,
[00:03:10.000 --> 00:03:12.000]  還是回去。
[00:03:12.000 --> 00:03:14.000]  他是這樣想的。
[00:03:14.000 --> 00:03:16.000]  在第一章的二十節裡面,
[00:03:16.000 --> 00:03:18.000]  他特別這樣說,
[00:03:18.000 --> 00:03:21.000]  「照著我所切勿的,所盼望的,
[00:03:21.000 --> 00:03:24.000]  沒有一事叫我羞愧,
[00:03:24.000 --> 00:03:25.000]  只要凡事放膽,
[00:03:25.000 --> 00:03:27.000]  無論是生是死,
[00:03:27.000 --> 00:03:32.000]  總叫基督在我身上照常顯大。」
[00:03:32.000 --> 00:03:33.000]  保留在思想上,
[00:03:33.000 --> 00:03:34.000]  究竟我留在這裡好,
[00:03:34.000 --> 00:03:36.000]  還是離開世界好的時候,
[00:03:36.000 --> 00:03:39.000]  他在這裡第一句就表達了一個信念,
[00:03:39.000 --> 00:03:41.000]  這個是他生存的信念,
[00:03:41.000 --> 00:03:43.000]  他有一個目標,
[00:03:43.000 --> 00:03:46.000]  無論是生還是死,
