
[00:00:00.000 --> 00:00:02.000]  (主席)風水明文,候定欣姐妹平安。
[00:00:02.000 --> 00:00:04.000]  (主席)風水文,候定欣姐妹平安。
[00:00:04.000 --> 00:00:11.000]  (主席)各位定欣姐妹,我們讀阿蝦的故事已經好幾個月了。
[00:00:11.000 --> 00:00:14.000]  (主席)我們讀阿蝦的故事已經好幾個月了。
[00:00:14.000 --> 00:00:17.000]  (主席)現在來到我這個題目就是上帝對阿蝦的報應,夏日了。
[00:00:17.000 --> 00:00:21.000]  (主席)我現在來的題目是,上帝對阿蝦的報應夏一。
[00:00:21.000 --> 00:00:23.000]  (主席)這個報應是28章。
[00:00:23.000 --> 00:00:26.000]  (主席)這個報應是28章。
[00:00:26.000 --> 00:00:28.000]  (主席)以王記起上的28章。
[00:00:28.000 --> 00:00:30.000]  (主席)以王記起上的28章。
[00:00:30.000 --> 00:00:32.000]  (主席)22章,對不起,講錯了。
[00:00:32.000 --> 00:00:37.000]  (主席)因為很長,一堂講不完,所以要分兩堂,所以是夏一。
[00:00:37.000 --> 00:00:40.000]  (主席)因為很長,所以要分兩次來講。
[00:00:40.000 --> 00:00:41.000]  (主席)因為很長,所以要分兩次來講。
[00:00:41.000 --> 00:00:42.000]  (主席)下次講夏二。
[00:00:42.000 --> 00:00:43.000]  (主席)下次講夏二。
[00:00:43.000 --> 00:00:45.000]  (主席)大家手上應該有大綱的。
[00:00:45.000 --> 00:00:46.000]  (主席)大家手上應該有大綱的。
[00:00:46.000 --> 00:00:47.000]  (主席)大家手上應該有大綱的。
[00:00:47.000 --> 00:00:48.000]  (主席)大家手上應該有大綱的。
[00:00:48.000 --> 00:00:49.000]  (主席)大家手上應該有大綱的。
[00:00:49.000 --> 00:00:54.000]  (主席)我有四點要和大家分享。
[00:00:54.000 --> 00:00:58.000]  (主席)阿哈這個家庭將會面臨上帝的審判。
[00:00:58.000 --> 00:01:03.000]  (主席)阿哈這個家庭將會面臨上帝的審判。
[00:01:03.000 --> 00:01:06.000]  (主席)其實先知的奏奏已經出現了。
[00:01:06.000 --> 00:01:07.000]  (主席)其實先知的奏奏已經出現了。
[00:01:07.000 --> 00:01:08.000]  (主席)先知的奏奏已經出現了。
[00:01:08.000 --> 00:01:09.000]  (主席)先知的奏奏已經出現了。
[00:01:09.000 --> 00:01:11.000]  (主席)21章的21到22節。
[00:01:11.000 --> 00:01:14.000]  (主席)21章的21到22節。
[00:01:14.000 --> 00:01:20.200]  但全面性的執行就要等到阿哈的兒子若蘭在位的時候才執行。
[00:01:20.200 --> 00:01:26.200]  所以這次執行要等到亞哈的兒子若蘭王在位的時候執行。
[00:01:26.200 --> 00:01:27.900]  為什麼會延遲呢?
[00:01:27.900 --> 00:01:29.300]  為什麼會延遲呢?
[00:01:29.300 --> 00:01:35.100]  上次我來的時候說了,就是因為阿哈聽了以利亞的責備之後,
[00:01:35.100 --> 00:01:42.100]  撕裂衣服、禁食、穿麻布、碎鵝也穿了麻布,並且緩緩而行。
[00:01:42.100 --> 00:01:45.100]  因為就是亞哈聽了以利亞的責備之後,
[00:01:45.100 --> 00:01:51.600]  撕裂衣服、禁食、穿麻布、碎鵝也穿了麻布,並且緩緩而行。
[00:01:51.600 --> 00:01:57.900]  所以在22章之前,阿哈要死的時候,有兩個先知已經說了。
[00:01:57.900 --> 00:02:02.400]  就是在亞哈在22章之前,他死之前有兩個先知已經講過了。
[00:02:02.400 --> 00:02:04.400]  那哪兩個呢?
[00:02:04.400 --> 00:02:05.400]  有哪兩個呢?
[00:02:05.400 --> 00:02:07.200]  第一個是20章的42節。
[00:02:07.200 --> 00:02:09.400]  第一個是20章的42節。
[00:02:09.400 --> 00:02:12.400]  他打贏仗贏了變哈達。
[00:02:12.400 --> 00:02:15.400]  他打贏仗贏了變哈達。
[00:02:15.400 --> 00:02:16.900]  他又放了變哈達走。
[00:02:16.900 --> 00:02:18.400]  他又放了變哈達走。
[00:02:18.400 --> 00:02:21.400]  所以先知門徒說,
[00:02:21.400 --> 00:02:25.900]  你放了那個人的命,你要代替他。
[00:02:25.900 --> 00:02:29.900]  如果你放了那個人的命的話,你要以你的命去代替他的命。
[00:02:29.900 --> 00:02:31.900]  第二個就是以利亞講了。
[00:02:31.900 --> 00:02:33.400]  第二個就是以利亞講了。
[00:02:33.400 --> 00:02:37.400]  就是拿八果園的事情之後,
[00:02:37.400 --> 00:02:39.400]  就是拿八果園的事情之後,
[00:02:39.400 --> 00:02:44.400]  就是以利亞傳上帝的話,
[00:02:44.400 --> 00:02:46.400]  就是以利亞傳上帝的話,
[00:02:46.400 --> 00:02:48.400]  狗在哪裡舔拿八的血,
[00:02:48.400 --> 00:02:50.400]  也不在哪裡舔你的血。
[00:02:50.400 --> 00:02:54.400]  狗在哪裡舔拿八的血,也不在哪裡舔你的血。
[00:02:54.400 --> 00:02:56.400]  這個就是21章19節的。
[00:02:56.400 --> 00:02:57.900]  這個就是21章19節的。
[00:02:57.900 --> 00:02:58.900]  來到22章,
[00:02:58.900 --> 00:02:59.900]  來到22章,
[00:02:59.900 --> 00:03:00.900]  有第三位先知,
[00:03:00.900 --> 00:03:02.400]  有第三位先知,
[00:03:02.400 --> 00:03:04.400]  就是欽拉的兒子米蓋亞,
[00:03:04.400 --> 00:03:06.400]  就是欽拉的兒子米蓋亞,
[00:03:06.400 --> 00:03:08.400]  更加具體的講這件事,
[00:03:08.400 --> 00:03:10.400]  更加具體的講這件事,
[00:03:10.400 --> 00:03:12.400]  就說阿哈會自動走上戰場,
[00:03:12.400 --> 00:03:15.400]  就說阿哈會自動走上戰場,
[00:03:15.400 --> 00:03:17.400]  死在亞蘭人的手裡面。
[00:03:17.400 --> 00:03:19.400]  死在亞蘭人的手裡面。
[00:03:19.400 --> 00:03:21.400]  米蓋亞講這句話的時候,
[00:03:21.400 --> 00:03:23.400]  是將自己的生命都賭上的。
[00:03:23.400 --> 00:03:25.400]  米蓋亞講這句話的時候,
[00:03:25.400 --> 00:03:27.400]  是將自己的生命都賭上的。
