
[00:00:00.000 --> 00:00:05.380]  《此圖行傳》第十八章一節到十一節
[00:00:05.380 --> 00:00:15.620]  在第九節講到保羅在夜間的時候見到異象
[00:00:15.620 --> 00:00:18.260]  主向他顯現
[00:00:18.260 --> 00:00:21.600]  保羅是主所重用的僕人
[00:00:21.600 --> 00:00:27.840]  他一生中間記載在身邊上的六次異象向他顯現
[00:00:27.840 --> 00:00:31.440]  這個是其中的一次在戈林多的時候
[00:00:31.440 --> 00:00:35.440]  這個地方的戈林多的異象就說
[00:00:35.440 --> 00:00:40.080]  在夜間主的異象中對保羅說
[00:00:40.080 --> 00:00:43.680]  不要怕 只管講 不要閉口
[00:00:43.680 --> 00:00:48.040]  有我與你同在 並沒有人下手害你
[00:00:48.040 --> 00:00:52.000]  因爲在這城裏我有許多的百姓
[00:00:52.000 --> 00:00:54.000]  這個話不但是對保羅說的
[00:00:54.000 --> 00:00:56.000]  也是對我們每個人說的
[00:00:56.000 --> 00:00:58.400]  當我們在任何環境中間
[00:00:58.400 --> 00:01:02.680]  可能我們按照自己的力量很害怕 擔當不了
[00:01:02.680 --> 00:01:05.000]  但是主也要對我們說
[00:01:05.000 --> 00:01:08.320]  不要怕 有我與你同在
[00:01:08.320 --> 00:01:12.120]  主的同在就是我們最最大的部分
[00:01:12.120 --> 00:01:14.120]  我們感謝主
[00:01:14.120 --> 00:01:19.800]  今天我們要從《此圖行傳》第十八章這段聖經裏頭
[00:01:19.800 --> 00:01:23.800]  來看到神要向我們說要說的
[00:01:23.800 --> 00:01:26.400]  在耶穌基督昇天以前
[00:01:26.400 --> 00:01:29.400]  祂給蒙徒的託布斯說
[00:01:29.400 --> 00:01:31.400]  聖靈要降在你們身上
[00:01:31.400 --> 00:01:33.400]  你們就必得到能力
[00:01:33.400 --> 00:01:39.400]  必要在耶路撒冷 猶太權地 撒瑪利亞
[00:01:39.400 --> 00:01:42.400]  直到地級做我的見證
[00:01:42.400 --> 00:01:46.400]  這是在《此圖行傳》第一章第八節
[00:01:46.400 --> 00:01:50.400]  耶穌基督昇天以前就跟蒙徒所說的
[00:01:50.400 --> 00:01:53.400]  那麼從《此圖行傳》裏頭
[00:01:53.400 --> 00:01:58.400]  我們就看見先開始不應是傳給猶太人
[00:01:58.400 --> 00:02:01.400]  後來就傳給外方人
[00:02:01.400 --> 00:02:05.400]  這是神所定規的次序
[00:02:05.400 --> 00:02:08.400]  《此圖行傳》第十三章開始
[00:02:08.400 --> 00:02:14.400]  就是蒙徒以敘利亞的安提亞爲基地
[00:02:14.400 --> 00:02:17.400]  爲那個地方爲開始點
[00:02:17.400 --> 00:02:19.400]  他們就一直地向外
[00:02:19.400 --> 00:02:26.400]  向外方人中間 向西邊傳福音
[00:02:26.400 --> 00:02:30.400]  那麼先傳到亞洲
[00:02:30.400 --> 00:02:33.400]  然後就傳到歐洲
[00:02:33.400 --> 00:02:38.400]  一直等到《此圖行傳》第28章結束的時候
[00:02:38.400 --> 00:02:41.400]  已經把福音傳到羅馬了
[00:02:41.400 --> 00:02:47.400]  所以它是蒙徒們沒有辜負主給他們的託布
[00:02:47.400 --> 00:02:50.400]  他們就是爲了主的緣故
[00:02:50.400 --> 00:02:53.400]  他們克服了很多的困難
[00:02:53.400 --> 00:02:56.400]  把福音往外傳
[00:02:56.400 --> 00:03:01.400]  從一路上開始已經到了羅馬了
[00:03:01.400 --> 00:03:03.400]  到今天我們已經看見了
[00:03:03.400 --> 00:03:06.400]  福音已經傳到全世界了
[00:03:06.400 --> 00:03:11.400]  中國雖然離開猶太人很遠
[00:03:11.400 --> 00:03:16.400]  但是近的幾百年福音也傳到了
[00:03:16.400 --> 00:03:20.400]  所以看見耶穌給蒙徒託布
[00:03:20.400 --> 00:03:27.400]  蒙徒他們遵照託布在世界上傳福音
[00:03:27.400 --> 00:03:33.400]  在13章以前重點是向猶太人傳福音
[00:03:33.400 --> 00:03:35.400]  從耶路撒冷猶太人傳福音
[00:03:35.400 --> 00:03:40.400]  後來到撒瑪利亞也是猶太人比重大一些
[00:03:40.400 --> 00:03:45.400]  到第13章開始重點就向外邦人了
[00:03:45.400 --> 00:03:49.400]  猶太人以外的不信猶太教的
[00:03:49.400 --> 00:03:54.400]  我們聖經都稱呼他們爲外邦人
[00:03:54.400 --> 00:04:00.400]  我們看見《使徒行傳》第28章的篇幅很多
[00:04:00.400 --> 00:04:02.400]  記載了傳福音的過程
[00:04:02.400 --> 00:04:05.400]  但是不是隻是傳福音的過程
[00:04:05.400 --> 00:04:08.400]  從什麼地方傳到什麼地方
[00:04:08.400 --> 00:04:10.400]  從什麼地方傳到什麼地方
[00:04:10.400 --> 00:04:18.400]  《使徒行傳》的重點是記載聖貧接着蒙徒
[00:04:18.400 --> 00:04:22.400]  接着保羅他們巴拿巴這些的蒙徒
[00:04:22.400 --> 00:04:24.400]  把福音傳開
[00:04:24.400 --> 00:04:27.400]  是怎樣做的 怎樣傳的
[00:04:27.400 --> 00:04:31.400]  他們是在主怎麼帶領他們
[00:04:31.400 --> 00:04:36.400]  所以重點記載的不是隻是記載這些事情
[00:04:36.400 --> 00:04:42.400]  那是記載聖貧怎麼接着他們蒙徒來做的
[00:04:42.400 --> 00:04:45.400]  所以我們在讀《使徒行傳》的時候
[00:04:45.400 --> 00:04:47.400]  不是往往讀地理
[00:04:47.400 --> 00:04:50.400]  從什麼地方到什麼地方
[00:04:50.400 --> 00:04:52.400]  最重要的就看看
[00:04:52.400 --> 00:04:57.400]  到底他記載這些在聖經上有什麼意思
[00:04:57.400 --> 00:05:02.400]  他不可能作爲一種歷史一樣把它記載下來
[00:05:02.400 --> 00:05:07.400]  他記載這些事情裏頭看到神的工作是怎樣的
[00:05:07.400 --> 00:05:09.400]  神是怎樣做的
[00:05:09.400 --> 00:05:15.400]  神怎樣接着聖靈來帶領這些蒙徒來做這個事情
[00:05:15.400 --> 00:05:19.400]  因爲這個裏面就講到很重要一些原則
[00:05:19.400 --> 00:05:23.400]  當時聖靈帶領蒙徒這麼傳福音的
[00:05:23.400 --> 00:05:29.400]  今天照樣聖靈也是帶領神的兒女們
[00:05:29.400 --> 00:05:34.400]  這些基督徒向世界上每個角落都傳福音
[00:05:34.400 --> 00:05:36.400]  所以我們讀《使徒行傳》
[00:05:36.400 --> 00:05:39.400]  就不單單是知道這些事實
[00:05:39.400 --> 00:05:43.400]  更重要的就知道其中神的做法是什麼
[00:05:43.400 --> 00:05:45.400]  神的心意是什麼
[00:05:45.400 --> 00:05:51.400]  這樣的話我們就能夠從這裏面得到一些教訓
[00:05:51.400 --> 00:05:55.400]  這些原則給我們今天在傳福音中間
[00:05:55.400 --> 00:05:59.400]  也是可以應用的
[00:05:59.400 --> 00:06:06.400]  隨着第15章就開始看到有個大的改變了
[00:06:06.400 --> 00:06:09.400]  第15章是講到耶路撒冷會議
[00:06:09.400 --> 00:06:12.400]  因爲當時有些猶太人的基督徒
[00:06:12.400 --> 00:06:14.400]  他們信了主以後
[00:06:14.400 --> 00:06:16.400]  他們就有一個偏向
[00:06:16.400 --> 00:06:18.400]  就認爲你外邦人要信主
[00:06:18.400 --> 00:06:21.400]  可以你先做猶太人
[00:06:21.400 --> 00:06:24.400]  跟我們一樣來守摩西的律法
[00:06:24.400 --> 00:06:26.400]  跟我們一樣來受割禮
[00:06:26.400 --> 00:06:29.400]  這樣的話你信主以後
[00:06:29.400 --> 00:06:31.400]  你就是要跟我們都一樣
[00:06:31.400 --> 00:06:34.400]  那麼纔可以做一個真正的基督徒
[00:06:34.400 --> 00:06:37.400]  這樣的話就影響就很大了
[00:06:37.400 --> 00:06:40.400]  猶太人在世界上還是一個少數
[00:06:40.400 --> 00:06:43.400]  很多人都不是猶太人
[00:06:43.400 --> 00:06:48.400]  這樣的福音只能夠給做猶太人的外邦人
[00:06:48.400 --> 00:06:51.400]  那些外邦人他不想做猶太人
[00:06:51.400 --> 00:06:53.400]  他就不能做基督徒
[00:06:53.400 --> 00:06:55.400]  這都是神的心意
[00:06:55.400 --> 00:06:58.400]  神的心意不是看猶太人還是外邦人
[00:06:58.400 --> 00:07:02.400]  但是隻要他願意接受耶穌做救助
[00:07:02.400 --> 00:07:05.400]  只要他願意承認自己的罪
[00:07:05.400 --> 00:07:08.400]  讓主耶穌的寶血洗淨他的罪
[00:07:08.400 --> 00:07:12.400]  這樣的因性稱義都是神的兒女
[00:07:12.400 --> 00:07:13.400]  都是基督徒
[00:07:13.400 --> 00:07:15.400]  神並沒有規定說
[00:07:15.400 --> 00:07:17.400]  一定要先守律法
[00:07:17.400 --> 00:07:20.400]  一定要守割禮纔可以做基督徒
[00:07:20.400 --> 00:07:21.400]  才能夠得救
[00:07:21.400 --> 00:07:23.400]  神並沒有這樣的規定
[00:07:23.400 --> 00:07:26.400]  所以在第15章的耶路撒冷會議
[00:07:26.400 --> 00:07:30.400]  是可以說基督教或者說教會里頭
[00:07:30.400 --> 00:07:32.400]  第一次重大的會議
[00:07:32.400 --> 00:07:36.400]  破除了外邦人信主的障礙
[00:07:36.400 --> 00:07:39.400]  所以最後他們開完會以後就說
[00:07:39.400 --> 00:07:43.400]  外邦人他們接受耶穌做救助
[00:07:43.400 --> 00:07:47.400]  他們就要去做四件事情
[00:07:47.400 --> 00:07:50.400]  要警戒拜偶像的物
[00:07:50.400 --> 00:07:54.400]  不要喫血
[00:07:54.400 --> 00:07:57.400]  不要監營等等
[00:07:57.400 --> 00:07:59.400]  就四件事情
[00:07:59.400 --> 00:08:02.400]  這樣的話他們就可以不受割禮
[00:08:02.400 --> 00:08:04.400]  他們不需要受割禮
[00:08:04.400 --> 00:08:06.400]  就可以當基督徒
[00:08:06.400 --> 00:08:11.400]  這樣的話福音就除去了這些障礙
[00:08:11.400 --> 00:08:15.400]  所以今天我們能夠也做
[00:08:15.400 --> 00:08:18.400]  沒有守猶太人的律法
[00:08:18.400 --> 00:08:20.400]  我們沒有受割禮
[00:08:20.400 --> 00:08:22.400]  我們照樣得信主
[00:08:22.400 --> 00:08:24.400]  可以照樣得到神的恩典
[00:08:24.400 --> 00:08:26.400]  照樣做神的兒女
[00:08:26.400 --> 00:08:30.400]  就是可以回顧到15章所說的
[00:08:30.400 --> 00:08:33.400]  那麼到了第16章我們就看見
[00:08:33.400 --> 00:08:38.400]  福音就從亞洲進到歐洲了
[00:08:38.400 --> 00:08:42.400]  第16章保羅他們在夜間的話
[00:08:42.400 --> 00:08:44.400]  看見異象
[00:08:44.400 --> 00:08:46.400]  有一個馬其中任站着說
[00:08:46.400 --> 00:08:48.400]  你們過來幫助我
[00:08:48.400 --> 00:08:51.400]  那麼他們已經經過一些攔阻了
[00:08:51.400 --> 00:08:56.400]  他們要往東去傳福音
[00:08:56.400 --> 00:08:58.400]  聖靈不許
[00:08:58.400 --> 00:09:00.400]  他們要往北傳福音
[00:09:00.400 --> 00:09:03.400]  耶穌的靈不許
