
[00:00:00.000 --> 00:00:00.880]  很感恩
[00:00:00.880 --> 00:00:02.120]  今天是八月一日
[00:00:02.120 --> 00:00:06.080]  又可以和大家一起聆聽神的話語
[00:00:06.080 --> 00:00:10.160]  如果還看到題目「真誠群體四欣賞」
[00:00:10.160 --> 00:00:14.720]  我都希望可以很快講完五個系列給大家聽
[00:00:14.720 --> 00:00:19.400]  今天都很想用「欣賞」這個題目去思想
[00:00:19.400 --> 00:00:23.600]  我們怎樣建立一個上帝所愛的真誠群體
[00:00:23.600 --> 00:00:25.800]  這些不說了
[00:00:25.800 --> 00:00:26.960]  這些大家都知道了
[00:00:26.960 --> 00:00:27.880]  重溫一點
[00:00:27.880 --> 00:00:31.320]  我們有五個很重要的環
[00:00:31.320 --> 00:00:32.240]  環環相扣
[00:00:32.240 --> 00:00:34.040]  好像奧運會那五環一樣
[00:00:34.040 --> 00:00:35.040]  第一個是合一
[00:00:35.040 --> 00:00:36.480]  我們有合一的基礎
[00:00:36.480 --> 00:00:41.280]  在一身體、一性靈、一指望、一主、一信、一浸、一神之下
[00:00:41.280 --> 00:00:43.960]  我們竭力追求一個合一的基礎裡面
[00:00:43.960 --> 00:00:46.800]  我們慢慢學習彼此聆聽
[00:00:46.800 --> 00:00:50.280]  聆聽性靈的聲音
[00:00:50.280 --> 00:00:51.560]  聆聽別人的聲音
[00:00:51.560 --> 00:00:52.960]  聆聽自己的聲音
[00:00:52.960 --> 00:00:55.120]  如果還記得上次
[00:00:55.120 --> 00:00:56.960]  最近那一次是講信任
[00:00:56.960 --> 00:00:59.800]  這個信任我覺得是要用愛去出發的
[00:00:59.800 --> 00:01:02.840]  好像剛才阿丙帶領我們第三首詩歌
[00:01:02.840 --> 00:01:03.960]  信就有希望
[00:01:03.960 --> 00:01:07.240]  我們信背後更加有一份愛的信念
[00:01:07.240 --> 00:01:10.680]  我們要自己先成為一個值得信任的人
[00:01:10.680 --> 00:01:12.440]  讓我們去信任別人
[00:01:12.440 --> 00:01:13.640]  別人就會信任你
[00:01:13.640 --> 00:01:15.000]  背後是因為愛
[00:01:15.000 --> 00:01:16.720]  信任的基礎就是愛
[00:01:16.720 --> 00:01:21.240]  今天我們會講欣賞
[00:01:21.240 --> 00:01:22.520]  講欣賞之前
[00:01:22.520 --> 00:01:24.040]  我們先再有一個祈禱
[00:01:24.040 --> 00:01:26.160]  求主帶領我們去聆聽上帝的話語
[00:01:26.160 --> 00:01:29.040]  親愛的主,我求祢幫助我們
[00:01:29.040 --> 00:01:32.360]  讓我們進入上帝的話語當中
[00:01:32.360 --> 00:01:33.440]  聖人,祢帶領我們
[00:01:33.440 --> 00:01:35.360]  打開我們的耳朵
[00:01:35.360 --> 00:01:40.080]  讓我們願意被祢的話語去塑造我們的生命
[00:01:40.080 --> 00:01:42.400]  而不是去評祢的道
[00:01:42.400 --> 00:01:44.000]  評祢的話語
[00:01:44.000 --> 00:01:47.680]  因為祢的話語就是道路、真理、生命
[00:01:47.680 --> 00:01:51.640]  祢的話語就是塑造我們生命品格的最重要
[00:01:51.640 --> 00:01:55.440]  讓今日孩子也將祢的話語擺在我身上
[00:01:55.440 --> 00:01:56.480]  以致我知道
[00:01:56.480 --> 00:01:58.240]  我是專祢的話語而講
[00:01:58.240 --> 00:01:59.920]  專祢的話語而行
[00:01:59.920 --> 00:02:02.320]  求主祢聖靈帶領我們此時此刻
[00:02:02.320 --> 00:02:04.480]  讓我們一起被聖靈帶領之下
[00:02:04.480 --> 00:02:07.160]  讓祢的話語在我們生命當中彰顯
[00:02:07.160 --> 00:02:09.160]  禱告奉耶穌基督名求
[00:02:09.160 --> 00:02:10.000]  阿們
[00:02:10.000 --> 00:02:14.400]  我最近看了一本書
[00:02:14.400 --> 00:02:17.640]  是由一位在美國洛杉磯默會了很多年的
[00:02:17.640 --> 00:02:19.960]  一位韓國的牧師
[00:02:19.960 --> 00:02:22.360]  姓姜的,叫姜仲文牧師
[00:02:22.360 --> 00:02:27.880]  他有一本書叫做《如果膚淺的關係讓你感到厭倦》
[00:02:27.880 --> 00:02:31.520]  這本書裡面提出了一個稱讚法則
[00:02:31.520 --> 00:02:34.400]  背後講了一個叫做苦勤的哲學
[00:02:34.400 --> 00:02:37.160]  幫助我們如何去建立關係
[00:02:37.160 --> 00:02:40.320]  有一天他看到在海洋館裡面
[00:02:40.320 --> 00:02:42.920]  有一隻鯨魚好像跳舞一樣
[00:02:42.920 --> 00:02:45.480]  飛起在水上面下來
[00:02:45.480 --> 00:02:47.880]  然後是跟著音樂節奏跳的
[00:02:47.880 --> 00:02:49.200]  揮動尾巴
[00:02:49.200 --> 00:02:50.320]  就很好奇了
[00:02:50.320 --> 00:02:53.840]  鯨魚為什麼可以跳舞跳得這麼好呢?
[00:02:53.840 --> 00:02:58.840]  於是就去訪問海洋世界的首席訓練員
[00:02:58.840 --> 00:03:01.120]  原來答案很簡單
[00:03:01.120 --> 00:03:02.720]  就是稱讚
[00:03:02.720 --> 00:03:04.640]  當你懂得欣賞
[00:03:04.640 --> 00:03:07.720]  你可以跟鯨魚感受到你欣賞的時候
[00:03:07.720 --> 00:03:09.240]  鯨魚也會為你跳舞
[00:03:09.240 --> 00:03:10.840]  多厲害,鯨魚也會跳舞
[00:03:10.840 --> 00:03:13.680]  原來欣賞就是一個苦勤法則
[00:03:13.680 --> 00:03:14.880]  苦勤哲學
[00:03:15.400 --> 00:03:21.840]  欣賞的方法就是建立人際關係最正面和最好的方法
[00:03:21.840 --> 00:03:25.840]  我們也要糾正別人的錯誤
[00:03:25.840 --> 00:03:28.040]  但是糾正別人的錯誤可能需要時間
[00:03:28.040 --> 00:03:30.960]  糾正別人的錯誤可能也會費了很多心力
[00:03:30.960 --> 00:03:32.160]  費了很多心機
[00:03:32.160 --> 00:03:35.040]  甚至可能浪費了很多時間也糾正不了
[00:03:35.040 --> 00:03:38.720]  但是如果我們循著稱讚、欣賞的方向
[00:03:38.720 --> 00:03:42.520]  將焦點放在對方的優點上
[00:03:42.520 --> 00:03:44.520]  就能夠改變生命
[00:03:44.520 --> 00:03:46.640]  就能夠強化他的動機
