
[00:00:00.000 --> 00:00:03.320]  我今日想同各位一齊思想的題目就是
[00:00:03.320 --> 00:00:07.520]  「當愛來敲門的時候第五講」
[00:00:07.520 --> 00:00:10.600]  今日和各位一齊思想的是教會論
[00:00:10.600 --> 00:00:13.240]  是講到愛的呼喚
[00:00:13.240 --> 00:00:17.160]  哥倫多前書第十三章一至七節
[00:00:17.160 --> 00:00:20.400]  就是我們今日想和各位思想的經文
[00:00:20.400 --> 00:00:21.840]  我們已經上幾…
[00:00:21.840 --> 00:00:23.680]  我想是三、四次
[00:00:23.680 --> 00:00:25.720]  我們已經讀過這個經文了
[00:00:25.720 --> 00:00:29.680]  所以今日我最後才和各位讀這個經文
[00:00:29.680 --> 00:00:31.960]  我想和各位分享怎樣去讀
[00:00:31.960 --> 00:00:33.560]  所以我現在不讀經字
[00:00:33.560 --> 00:00:38.720]  我即刻和各位思想今日聖經的意義
[00:00:38.720 --> 00:00:39.920]  我們準備好之後
[00:00:39.920 --> 00:00:41.520]  我們一起祈禱
[00:00:41.520 --> 00:00:44.280]  網上的弟兄姊妹和我們一起祈禱
[00:00:44.280 --> 00:00:47.600]  準備今日我們看看聖經裏面怎樣教導我們
[00:00:47.600 --> 00:00:51.280]  天父上帝我感謝你讓我們有這個機會
[00:00:51.280 --> 00:00:53.240]  在這裏一起敬拜
[00:00:53.240 --> 00:00:55.640]  亦要一起讀你自己的話
[00:00:55.640 --> 00:00:58.440]  讓你的話讓我們能夠醒悟過來
[00:00:58.440 --> 00:01:00.520]  發覺你自己的話的奇妙
[00:01:00.520 --> 00:01:03.120]  你的愛的心願
[00:01:03.120 --> 00:01:04.680]  我們願意今日在這裏
[00:01:04.680 --> 00:01:06.440]  降伏在你面前
[00:01:06.440 --> 00:01:09.400]  接受聖靈你自己的幫助
[00:01:09.400 --> 00:01:11.320]  教導和鼓勵
[00:01:11.320 --> 00:01:12.280]  聽我們的禱告
[00:01:12.280 --> 00:01:13.720]  奉耶穌的名而求
[00:01:13.720 --> 00:01:14.520]  阿們
[00:01:14.520 --> 00:01:19.440]  很多年前在大戰結束
[00:01:19.440 --> 00:01:20.880]  德勝之後
[00:01:20.880 --> 00:01:24.240]  很多士兵回到自己的家
[00:01:24.240 --> 00:01:26.320]  花了一段很長的時間才安排到
[00:01:26.320 --> 00:01:28.480]  個個能夠回歸
[00:01:28.480 --> 00:01:32.840]  有一艘船載著很多大兵
[00:01:32.840 --> 00:01:36.240]  然後回到他們自己的家
[00:01:36.240 --> 00:01:37.880]  去到港口的時候
[00:01:37.880 --> 00:01:40.000]  當他們看見原來碼頭裏面
[00:01:40.000 --> 00:01:43.320]  已經擠滿了很多人
[00:01:43.320 --> 00:01:45.920]  那些大兵個個都上了甲板
[00:01:45.920 --> 00:01:47.440]  一致的排開
[00:01:47.440 --> 00:01:49.920]  當船一路接近碼頭的時候
[00:01:49.920 --> 00:01:52.520]  開始歡呼的聲音就出來了
[00:01:52.520 --> 00:01:53.920]  然後越走越近
[00:01:53.920 --> 00:01:56.160]  越來越靠近岸的時候
[00:01:56.160 --> 00:01:59.680]  他們發覺原來有很多人在那裏等待
[00:01:59.680 --> 00:02:01.040]  當然有爸爸媽媽
[00:02:01.040 --> 00:02:03.840]  但很多是婦女和嬰兒
[00:02:03.840 --> 00:02:06.440]  就是那些大兵的妻子
[00:02:06.440 --> 00:02:09.040]  他的兒女或者他的女朋友
[00:02:09.040 --> 00:02:12.680]  個個都在岸上呼喊
[00:02:12.680 --> 00:02:16.440]  在船上的兵個個都在尋找
[00:02:16.440 --> 00:02:18.520]  都在注視著
[00:02:18.520 --> 00:02:20.040]  究竟我的太太在哪裏
[00:02:20.040 --> 00:02:22.480]  究竟我的女朋友在哪裏
[00:02:22.480 --> 00:02:25.800]  而在岸上的人又在看
[00:02:25.800 --> 00:02:27.400]  因為他們站在甲板上
[00:02:27.400 --> 00:02:28.920]  一層一層站在那裏
[00:02:28.920 --> 00:02:31.760]  我所愛的我丈夫在哪裏呢
[00:02:31.760 --> 00:02:33.000]  個個都在看
[00:02:33.000 --> 00:02:35.640]  有些人看到的時候大叫他的名字
[00:02:35.640 --> 00:02:37.800]  然後在船上大叫他的名字
[00:02:37.800 --> 00:02:39.240]  吵到不得了
[00:02:39.240 --> 00:02:44.000]  個個都找到在那裏等候他所愛的人
[00:02:44.000 --> 00:02:46.400]  當然一落船的時候
[00:02:46.400 --> 00:02:47.640]  大家就擁抱
[00:02:47.640 --> 00:02:50.960]  因為打仗能夠回來
[00:02:50.960 --> 00:02:53.240]  然後健康平安的回來
[00:02:53.240 --> 00:02:55.920]  這個是何等喜樂的事
[00:02:55.920 --> 00:02:57.720]  但當中有一個大兵
[00:02:57.720 --> 00:03:00.720]  他站在船上甲板上尋找的時候
[00:03:00.720 --> 00:03:03.600]  找來找去都找不到自己的太太
[00:03:03.600 --> 00:03:05.360]  找不到自己的兒女
[00:03:05.360 --> 00:03:07.840]  當他落船的時候或者看不清楚
[00:03:07.840 --> 00:03:11.040]  落到船上去到碼頭上面
[00:03:11.040 --> 00:03:15.840]  找來找去都找不到自己的太太
[00:03:15.840 --> 00:03:18.120]  找不到自己的兒女
[00:03:18.120 --> 00:03:21.200]  人人都歡呼他很失望
[00:03:21.200 --> 00:03:23.000]  後來當他回到家的時候
[00:03:23.000 --> 00:03:24.480]  一按門鈴的時候
[00:03:24.480 --> 00:03:28.000]  開門的竟然是他的太太和他的兒女
[00:03:28.000 --> 00:03:29.720]  他的太太扮得很漂亮
[00:03:29.720 --> 00:03:31.440]  衣服穿得很漂亮
[00:03:31.440 --> 00:03:34.200]  他在屋裏面是張燈結彩的
[00:03:34.200 --> 00:03:35.680]  真的很高興
[00:03:35.680 --> 00:03:37.760]  歡迎你回來
[00:03:37.760 --> 00:03:39.640]  他也聞到他最喜歡吃的東西
[00:03:39.640 --> 00:03:41.040]  太太已經煮好了
[00:03:41.040 --> 00:03:43.240]  很高興
[00:03:43.240 --> 00:03:45.360]  但他跟他太太說
[00:03:45.360 --> 00:03:48.240]  他說我很感激你
[00:03:48.240 --> 00:03:52.600]  我很感激你為我準備這一切等我回來
[00:03:52.600 --> 00:03:56.640]  不過我寧可你在碼頭那裏等我
[00:03:56.640 --> 00:04:00.200]  我希望你不是就這樣在那裏做這樣做那樣
[00:04:00.200 --> 00:04:02.080]  等候我等候我
[00:04:02.080 --> 00:04:04.480]  我希望你真的在碼頭那裏
[00:04:04.480 --> 00:04:06.640]  我希望你能夠注目的
[00:04:06.640 --> 00:04:11.040]  好像其他的婦女一樣
[00:04:11.040 --> 00:04:14.160]  去注目的找我究竟在哪裏
[00:04:14.160 --> 00:04:16.760]  我站在哪層的甲板那裏
[00:04:16.760 --> 00:04:18.600]  他說我也是注目的找
[00:04:18.600 --> 00:04:21.760]  你知不知道我找不到你
[00:04:21.760 --> 00:04:25.000]  太太說我很欣賞你所做的一切
[00:04:25.000 --> 00:04:29.920]  但我寧可你在那裏等候我
[00:04:29.920 --> 00:04:34.120]  他說我欣賞你等候我
[00:04:34.120 --> 00:04:39.000]  但我寧可你在碼頭那裏注目
[00:04:39.000 --> 00:04:41.640]  我寧可你在那裏注目的
[00:04:41.640 --> 00:04:43.960]  在那裏找我在碼頭那裏
[00:04:43.960 --> 00:04:46.680]  而不是就這樣在那裏等我
[00:04:46.680 --> 00:04:53.040]  原來等待和觀看是有這麼大分別的
[00:04:53.040 --> 00:04:55.840]  今天我們主席Pastor Virginia也說得很好
[00:04:55.840 --> 00:04:57.760]  我們來到這裏在聖誕
[00:04:57.760 --> 00:05:00.920]  我們是去注目看我們的上帝
[00:05:00.920 --> 00:05:02.720]  看我們的主的來臨
[00:05:02.720 --> 00:05:04.800]  紀念祂的來臨
[00:05:04.800 --> 00:05:07.560]  而不是我們忙忙碌碌地做很多事情
[00:05:07.560 --> 00:05:09.680]  這些都是上帝的歡喜
[00:05:09.680 --> 00:05:12.200]  但我們所上帝渴望我們的
[00:05:12.200 --> 00:05:16.000]  就是不單單在那裏做很多事情去等候
[00:05:16.000 --> 00:05:19.920]  而是真正注目的去看祂
[00:05:19.920 --> 00:05:24.840]  每一個好的教會都會做一些事情
[00:05:24.840 --> 00:05:26.000]  是甚麼呢?
[00:05:26.000 --> 00:05:29.920]  每一個好的教會都會願意
[00:05:29.920 --> 00:05:34.360]  我們說可以忙忙碌碌地一起去做一些事情
[00:05:34.360 --> 00:05:35.680]  是為了甚麼呢?
[00:05:35.680 --> 00:05:40.160]  是為了能夠討神自己的歡喜
