
[00:00:00.000 --> 00:00:03.200]  我們過往在四堂課中講過
[00:00:03.200 --> 00:00:06.100]  在學習試探的來源
[00:00:06.100 --> 00:00:09.240]  學習試探的後果
[00:00:09.240 --> 00:00:11.120]  以及防備的方法
[00:00:11.120 --> 00:00:13.560]  但我們講講這些都是頭腦上的知識
[00:00:13.560 --> 00:00:15.080]  會不會當中有一個人
[00:00:15.080 --> 00:00:17.800]  或者有些人我們可以在當中去學習
[00:00:17.800 --> 00:00:19.280]  在他的身上
[00:00:19.280 --> 00:00:23.200]  我們能夠看到一個真實能夠防禦試探的
[00:00:23.200 --> 00:00:28.880]  以致我們不會跌入試探的犯罪裏面
[00:00:28.880 --> 00:00:30.000]  自己一個人做不到的
[00:00:30.000 --> 00:00:32.960]  所以第四 最後這一堂我們講這個乘
[00:00:32.960 --> 00:00:33.920]  就是乘數的乘
[00:00:33.920 --> 00:00:35.440]  乘數的意思就是multiply
[00:00:35.440 --> 00:00:41.520]  我們要一起去面對試探帶來的那種犯罪感
[00:00:41.520 --> 00:00:44.280]  以致我們一羣人不是孤軍作戰的
[00:00:44.280 --> 00:00:47.160]  是有朋友跟你一起去傾訴的
[00:00:47.160 --> 00:00:49.400]  今天我想介紹一位朋友
[00:00:49.400 --> 00:00:51.000]  這位弟兄
[00:00:51.000 --> 00:00:53.960]  他分享他自己在這個經歷裏面
[00:00:53.960 --> 00:00:56.360]  一個很震撼的經歷
[00:00:56.360 --> 00:00:58.240]  他自己有血有肉
[00:00:58.240 --> 00:01:00.280]  在痛苦在掙扎裏面
[00:01:00.280 --> 00:01:04.560]  怎麼曾經忍受不住這些試探帶來的煎熬
[00:01:04.560 --> 00:01:07.440]  他差不多其實可以說他毫無顧忌
[00:01:07.440 --> 00:01:10.720]  可以進入他裏面爲所欲爲
[00:01:10.720 --> 00:01:12.160]  但是怎樣在最終的時候
[00:01:12.160 --> 00:01:15.480]  他能夠可以控制得住
[00:01:15.480 --> 00:01:16.880]  站在神那邊呢
[00:01:16.880 --> 00:01:21.080]  將時間就交給這位弟兄
[00:01:21.080 --> 00:01:22.520]  有一個訪問
[00:01:22.520 --> 00:01:27.200]  這個時間就請大家去看看他
[00:01:27.200 --> 00:01:29.800]  我們說到這個守龍門這個講道系列
[00:01:29.800 --> 00:01:32.680]  來到最後他們就是講這個承
[00:01:32.680 --> 00:01:35.200]  承就是說我們怎麼共享
[00:01:35.200 --> 00:01:40.000]  一羣弟兄姐妹一起去面對這個試探
[00:01:40.000 --> 00:01:41.480]  比一個人單打獨鬥好
[00:01:41.480 --> 00:01:44.240]  今天我就請了Vincent來幫忙
[00:01:44.240 --> 00:01:47.560]  因爲他都經歷過在試探裏面
[00:01:47.560 --> 00:01:51.160]  帶給他的那種困難、痛苦、掙扎等等
[00:01:51.160 --> 00:01:53.400]  但是他在當中是勝過的
[00:01:53.400 --> 00:01:56.240]  所以很想聽他的分享
[00:01:56.240 --> 00:01:58.360]  Vincent 我想問你一個問題
[00:01:58.360 --> 00:02:01.080]  就是我都知道你面對過很多試探
[00:02:01.080 --> 00:02:04.320]  你覺得你認爲你自己最大
[00:02:04.320 --> 00:02:06.160]  最難面對的試探是什麼呢
[00:02:06.160 --> 00:02:08.800]  我最難面對的試探就是
[00:02:08.800 --> 00:02:10.760]  婚姻前的性行爲
[00:02:10.760 --> 00:02:14.800]  由我大學到現在做事的時候
[00:02:14.800 --> 00:02:17.920]  根本會接觸到很多人
