
[00:00:00.000 --> 00:00:01.880]  讓我一同讀兩段經文
[00:00:01.880 --> 00:00:05.880]  第一處是在哥倫多後書8章12節
[00:00:05.880 --> 00:00:07.680]  我們一起來唸來
[00:00:07.680 --> 00:00:11.780]  因爲人若有願做的心必蒙悅納
[00:00:11.780 --> 00:00:13.580]  乃是照他所有的
[00:00:13.580 --> 00:00:15.620]  不是照他所無的
[00:00:15.620 --> 00:00:19.460]  第二段經文是在以塞亞書6章8節
[00:00:19.460 --> 00:00:21.000]  我們也一起來唸來
[00:00:21.000 --> 00:00:25.340]  我又聽見主的聲音說我可以拆遣誰呢
[00:00:25.340 --> 00:00:27.400]  誰肯爲我們去呢
[00:00:27.640 --> 00:00:30.720]  我說我在這裏請拆遣我
[00:00:30.720 --> 00:00:34.040]  上週剛從臺灣回來
[00:00:34.040 --> 00:00:35.840]  有機會回臺灣探親
[00:00:35.840 --> 00:00:39.160]  也去拜訪一些宣教上面的夥伴
[00:00:39.160 --> 00:00:42.740]  就經歷了臺灣現在三加四的隔離
[00:00:42.740 --> 00:00:47.860]  其實還蠻不錯的因爲三天之後時差調過來去辦事情
[00:00:47.860 --> 00:00:49.140]  挺好的
[00:00:49.140 --> 00:00:50.420]  不過說真的
[00:00:50.420 --> 00:00:52.220]  真希望
[00:00:52.220 --> 00:00:56.820]  這個亞洲的各個國家都能夠趕快重新開啓
[00:00:57.080 --> 00:00:59.120]  因爲真的能夠見到家人
[00:00:59.120 --> 00:01:02.460]  能夠再去做一些神託付我們的事情
[00:01:02.460 --> 00:01:03.480]  或是工作
[00:01:03.480 --> 00:01:08.340]  是非常需要我們一起來爲這件事情來帶導希望能夠快快的有突破
[00:01:08.340 --> 00:01:09.880]  那這次
[00:01:09.880 --> 00:01:13.200]  回臺灣也有一件非常重要的事情就是
[00:01:13.200 --> 00:01:16.020]  今年的7月7號呢
[00:01:16.020 --> 00:01:19.100]  是我跟我太太結婚的15週年
[00:01:19.100 --> 00:01:20.900]  謝謝
[00:01:20.900 --> 00:01:23.700]  容許我放閃一下
[00:01:23.960 --> 00:01:30.100]  這就是我們亞洲版的美女與野獸的劇照
[00:01:30.100 --> 00:01:36.500]  這是我們在淡水的情人橋的一個紀念照
[00:01:36.500 --> 00:01:38.800]  你看上帝打光多漂亮
