
[00:00:00.000 --> 00:00:02.000]  (主席)各位大英姐妹早晨
[00:00:02.000 --> 00:00:07.000]  我們今天是張林奇的第一個主日
[00:00:07.000 --> 00:00:10.000]  也就是說教會年的第一日
[00:00:10.000 --> 00:00:16.000]  我們去思考馬太福音這段經文
[00:00:16.000 --> 00:00:19.000]  事實上是根據三代經課
[00:00:19.000 --> 00:00:22.000]  我們現在是進入馬太年
[00:00:22.000 --> 00:00:27.000]  不知道大家對於未來有什麼看法
[00:00:27.000 --> 00:00:33.000]  有些人可能對於未來是感覺到是樂觀的
[00:00:33.000 --> 00:00:36.000]  或者用廣東話說是好友
[00:00:36.000 --> 00:00:39.000]  他們會覺得明天會更好
[00:00:39.000 --> 00:00:43.000]  也有一些人是比較悲觀的
[00:00:43.000 --> 00:00:46.000]  就是通常叫淡友
[00:00:46.000 --> 00:00:49.000]  覺得明天會更差的
[00:00:49.000 --> 00:00:52.000]  香港基督教協進會
[00:00:52.000 --> 00:00:55.000]  和香港中文大學崇基學院神學院
[00:00:55.000 --> 00:01:00.000]  合作去年進行了一項主題
[00:01:00.000 --> 00:01:05.000]  關心香港市民對基督教觀感的研究
[00:01:05.000 --> 00:01:10.000]  我們委託了中大的香港亞太研究所
[00:01:10.000 --> 00:01:14.000]  進行了一項全港的電話調查
[00:01:14.000 --> 00:01:20.000]  其中一條問題是問香港市民對前景的看法
[00:01:20.000 --> 00:01:28.000]  簡單說是多麼樂觀加上非常樂觀的有23%
[00:01:28.000 --> 00:01:34.000]  一般的對前景覺得一般的有27%
[00:01:34.000 --> 00:01:42.000]  多麼不樂觀加上非常不樂觀的加起來大約是一半
[00:01:42.000 --> 00:01:46.000]  就是說比較樂觀的比較少一點
[00:01:46.000 --> 00:01:52.000]  一般的中間覺得不樂觀的是最多的
[00:01:52.000 --> 00:01:57.000]  而當中學歷收入較高的人士是傾向於不樂觀
[00:01:57.000 --> 00:02:01.000]  而基督徒也傾向於不樂觀
[00:02:01.000 --> 00:02:05.000]  當然沒有信仰的也傾向於不樂觀
[00:02:05.000 --> 00:02:08.000]  我們不是說這個調查
[00:02:08.000 --> 00:02:12.000]  而是說我們身處這個城市
[00:02:12.000 --> 00:02:20.000]  我們在這裡的市民對前景其實不太看好
[00:02:20.000 --> 00:02:23.000]  其實不只是這個城市
[00:02:23.000 --> 00:02:27.000]  我相信在世界各地很多地方的人
[00:02:27.000 --> 00:02:32.000]  對於前景都未必是可以很樂觀
[00:02:32.000 --> 00:02:37.000]  全球氣候暖化加上就快三年的新冠疫情
[00:02:37.000 --> 00:02:41.000]  再加上俄羅斯發動對烏克蘭的戰爭
[00:02:41.000 --> 00:02:46.000]  導致了糧食能源價格的飆升通貨膨脹
[00:02:46.000 --> 00:02:51.000]  但是不少地方就因為這些原因引致經濟倒退
[00:02:51.000 --> 00:02:54.000]  甚至是引發滯脹的危機
[00:02:54.000 --> 00:02:58.000]  而晶片供應的短缺和大國博弈等等
[00:02:58.000 --> 00:03:02.000]  又反過來去強化了這個經濟的危機
[00:03:02.000 --> 00:03:04.000]  在社會政治方面
[00:03:04.000 --> 00:03:07.000]  有些地方的政局是混亂的
[00:03:07.000 --> 00:03:09.000]  人民惶恐不安
[00:03:09.000 --> 00:03:15.000]  有些地方是一個威權甚至是極權統治的
[00:03:15.000 --> 00:03:19.000]  人民常常受到監控壓制等等
[00:03:19.000 --> 00:03:22.000]  或者無論遠近
[00:03:22.000 --> 00:03:27.000]  無論哪個地方每天都有荒謬的事情
[00:03:27.000 --> 00:03:31.000]  有些人覺得我們現在身處的世界是一個禮崩樂壞
[00:03:31.000 --> 00:03:34.000]  有很多扭曲人性的事情
[00:03:34.000 --> 00:03:36.000]  有很多違反公義
[00:03:36.000 --> 00:03:42.000]  恥強凌弱 顛倒是非 指鹿為馬的狀況
[00:03:42.000 --> 00:03:47.000]  我們覺得現在是在一個黑夜的當中
[00:03:47.000 --> 00:03:52.000]  相信其實馬太福音的作者和讀者
[00:03:52.000 --> 00:03:56.000]  他們對於前景 對於當時的看法
[00:03:56.000 --> 00:03:59.000]  也都不是太過好的
[00:03:59.000 --> 00:04:03.000]  甚至可能比我們來得更加黑
[00:04:03.000 --> 00:04:06.000]  更加灰色 更加悲觀
[00:04:06.000 --> 00:04:10.000]  在公元六十六年至到七十年之間
[00:04:10.000 --> 00:04:15.000]  因為猶太人發起的起義和羅馬人去戰鬥
[00:04:15.000 --> 00:04:19.000]  最後在公元七十年 耶路撒冷城被圍
[00:04:19.000 --> 00:04:21.000]  數十萬人死亡
[00:04:21.000 --> 00:04:24.000]  全城是破壞聖殿
[00:04:24.000 --> 00:04:29.000]  猶太人最緊張 覺得最神聖的地方
[00:04:29.000 --> 00:04:31.000]  是被夷為平地
[00:04:31.000 --> 00:04:37.000]  猶太人經歷他們民族和宗教的浩劫
[00:04:37.000 --> 00:04:40.000]  而馬太福音這個群體
[00:04:40.000 --> 00:04:44.000]  相信是在安提拉 即是敘利亞安提拉的地方
[00:04:44.000 --> 00:04:48.000]  他們這一班人 他們面對的狀況
[00:04:48.000 --> 00:04:50.000]  可以說是雙重的危險
[00:04:50.000 --> 00:04:56.000]  一方面 他們基督徒當然是跟隨耶穌基督的人
[00:04:56.000 --> 00:04:57.000]  而跟隨耶穌基督
[00:04:57.000 --> 00:05:01.000]  並不是好像今天覺得做基督徒也不錯
[00:05:01.000 --> 00:05:03.000]  我們攬上十字架
[00:05:03.000 --> 00:05:07.000]  我們告訴別人 我們是信基督的
[00:05:07.000 --> 00:05:10.000]  在當時的情況 跟隨耶穌基督
[00:05:10.000 --> 00:05:17.000]  即是跟隨那位被羅馬帝國用十字架這個酷刑
[00:05:17.000 --> 00:05:23.000]  去對待對於帝國來說覺得危險的人物
[00:05:23.000 --> 00:05:26.000]  所以基督徒的情況並不會好受
[00:05:26.000 --> 00:05:29.000]  間中 雖然不是時常
[00:05:29.000 --> 00:05:34.000]  間中亦都會有很嚴重的 逼迫的情況
[00:05:34.000 --> 00:05:37.000]  至於在基督徒群體裏面
[00:05:37.000 --> 00:05:43.000]  由於猶太人 即是其他的猶太人都遷怒基督徒的
[00:05:43.000 --> 00:05:46.000]  所以在基督教群體裏面的猶太人
[00:05:46.000 --> 00:05:51.000]  他們跟其他外邦人基督徒的關係
[00:05:51.000 --> 00:05:53.000]  是非常非常之緊張
[00:05:53.000 --> 00:05:57.000]  兩方面有很多的矛盾和衝突
[00:05:57.000 --> 00:06:01.000]  這是一個混亂不安的情況
[00:06:01.000 --> 00:06:04.000]  亦都看不到有明顯的將來
[00:06:04.000 --> 00:06:07.000]  因為羅馬帝國是穩如泰山
[00:06:07.000 --> 00:06:10.000]  整個的帝國
[00:06:10.000 --> 00:06:15.000]  無論是之前怎樣的猶太人奮勇的去反抗
[00:06:15.000 --> 00:06:20.000]  最後都是被非常之大力的去鎮壓
