
[00:00:00.000 --> 00:00:01.380]  今天我們在崇拜的時間
[00:00:01.380 --> 00:00:04.100]  我們會繼續來看《馬克福音》第十三章
[00:00:04.100 --> 00:00:05.640]  如果大家還有印象
[00:00:05.640 --> 00:00:08.240]  其實在我們兩個星期前
[00:00:08.240 --> 00:00:12.420]  我們說了《馬克福音》第十三章的一到二十三節
[00:00:12.420 --> 00:00:15.520]  今天我很想和大家繼續看這一段經文
[00:00:15.520 --> 00:00:20.000]  這段經文其實在《馬克福音》書裡面也算挺特別
[00:00:20.000 --> 00:00:23.120]  如果大家今年我們主要看《馬克福音》的時候
[00:00:23.120 --> 00:00:25.860]  你會發覺在整個《馬克福音》書裡面
[00:00:25.860 --> 00:00:30.620]  耶穌講道或者耶穌的教導的記載其實不多
[00:00:30.620 --> 00:00:34.300]  很多時候都是講到耶穌的工作
[00:00:34.300 --> 00:00:35.660]  耶穌的侍奉
[00:00:35.660 --> 00:00:37.020]  做過什麼事情
[00:00:37.020 --> 00:00:39.100]  所以《馬克福音》第十三章其實挺特別
[00:00:39.100 --> 00:00:40.340]  放在《馬克福音》裡面
[00:00:40.340 --> 00:00:44.900]  也讓我們能夠從耶穌對門徒一個比較長的教導
[00:00:44.900 --> 00:00:47.700]  來領受神給我們的訊息
[00:00:47.700 --> 00:00:50.360]  我想和大家一起讀這段經文
[00:00:50.360 --> 00:00:52.440]  《馬克福音》第十三章二十四到三十七節
[00:00:52.440 --> 00:00:56.880]  讓我們能夠多一點了解和去認識
[00:00:56.880 --> 00:00:59.180]  可以看你手上的聖經或者看螢光幕
[00:00:59.180 --> 00:01:01.180]  我們一起讀完這段經文
[00:01:01.180 --> 00:01:02.560]  預備起
[00:01:02.560 --> 00:01:04.480]  在那些日子
[00:01:04.480 --> 00:01:06.280]  那災難以後
[00:01:06.280 --> 00:01:08.560]  日頭要變黑了
[00:01:08.560 --> 00:01:10.920]  月亮也不放光
[00:01:10.920 --> 00:01:13.880]  眾星要從天上墜落
[00:01:13.880 --> 00:01:16.240]  天勢都要震動
[00:01:16.240 --> 00:01:20.720]  那時他們要看見人子有大能力
[00:01:20.720 --> 00:01:23.880]  大榮耀駕雲降臨
[00:01:23.880 --> 00:01:26.480]  他要猜險天時
[00:01:26.480 --> 00:01:28.280]  把他的選民
[00:01:28.280 --> 00:01:32.320]  從四方從地極直到天邊
[00:01:32.320 --> 00:01:34.440]  都焦聚了來
[00:01:34.440 --> 00:01:38.920]  你們可以從無花果樹學過比方
[00:01:38.920 --> 00:01:42.480]  當樹枝發亂長葉的時候
[00:01:42.480 --> 00:01:45.840]  你們就知道夏天近了
[00:01:45.840 --> 00:01:50.520]  這樣你們何時看見這些事成就
[00:01:50.520 --> 00:01:53.480]  也該知道人子近了
[00:01:53.480 --> 00:01:55.480]  正在門口了
[00:01:55.480 --> 00:01:57.720]  我實在告訴你們
[00:01:57.720 --> 00:02:00.440]  這世代還沒有過去
[00:02:00.440 --> 00:02:03.200]  這些事都要成就
[00:02:03.200 --> 00:02:05.200]  天地要廢去
[00:02:05.200 --> 00:02:08.320]  我的話卻不能廢去
[00:02:08.320 --> 00:02:11.200]  但那日子那時辰
[00:02:11.200 --> 00:02:12.920]  沒有人知道
[00:02:12.920 --> 00:02:16.320]  連天上的使者也不知道
[00:02:16.320 --> 00:02:18.120]  子也不知道
[00:02:18.120 --> 00:02:20.320]  唯有父知道
[00:02:20.320 --> 00:02:22.120]  你們要謹慎
[00:02:22.120 --> 00:02:23.920]  警醒祈禱
[00:02:23.920 --> 00:02:28.720]  因為你們不曉得那日期何時來到
[00:02:28.720 --> 00:02:32.520]  這是正如一個人離開本家
[00:02:32.520 --> 00:02:34.320]  寄居外邦
[00:02:34.320 --> 00:02:36.720]  把權並交給服人
[00:02:36.720 --> 00:02:39.520]  分派各人當做的工
[00:02:39.520 --> 00:02:42.520]  又吩咐看門的警醒
[00:02:42.520 --> 00:02:45.120]  所以你們要警醒
[00:02:45.120 --> 00:02:49.320]  因為你們不知道家主什麼時候來
[00:02:49.320 --> 00:02:51.920]  或晚上或半夜
[00:02:51.920 --> 00:02:54.720]  或雞叫或早晨
[00:02:54.720 --> 00:02:57.320]  恐怕祂忽然來到
[00:02:57.320 --> 00:02:59.920]  看見你們睡著了
[00:02:59.920 --> 00:03:02.520]  我對你們所說的話
[00:03:02.520 --> 00:03:04.720]  也是對眾人說
[00:03:04.720 --> 00:03:06.720]  要警醒
[00:03:06.720 --> 00:03:11.720]  這段經文我們很容易有印象
[00:03:11.720 --> 00:03:15.120]  或者在其他方書記載得比較詳細的時候
[00:03:15.120 --> 00:03:20.120]  可能我們也會想想耶穌說到「再來」
[00:03:20.120 --> 00:03:22.120]  什麼時候是耶穌的「再來」呢?
[00:03:22.120 --> 00:03:25.120]  耶穌的「再來」通常在聖經裡提醒
[00:03:25.120 --> 00:03:27.720]  就是一個世界的末日
[00:03:27.720 --> 00:03:31.320]  所以有時在一些不同的人想法
[00:03:31.320 --> 00:03:35.720]  都會對這個世界末日有些關注
[00:03:35.720 --> 00:03:37.920]  但是我們很想在這裡提醒
[00:03:37.920 --> 00:03:41.520]  不要猜或亂猜
[00:03:41.520 --> 00:03:44.320]  這個末日什麼時候會來
[00:03:44.320 --> 00:03:48.520]  我們最重要是要看清、看準
[00:03:48.520 --> 00:03:51.920]  以至我們能夠去面對未來的日子
[00:03:51.920 --> 00:03:54.120]  所以在這段經文當中
[00:03:54.120 --> 00:03:57.320]  我很想跟大家一起去領受訊息
[00:03:57.320 --> 00:03:58.920]  馬克福的十三章
[00:03:58.920 --> 00:04:01.920]  其實從第一節到最後三十七節
[00:04:01.920 --> 00:04:06.120]  有幾個很重要的用詞我們都要留意
[00:04:06.120 --> 00:04:07.920]  第一個就是謹慎
[00:04:07.920 --> 00:04:09.720]  第二個就是看見
[00:04:09.720 --> 00:04:13.520]  其實謹慎和看見是類似帶出一個很重要的意思
[00:04:13.520 --> 00:04:16.920]  就是提醒我們要看得清楚
[00:04:16.920 --> 00:04:19.320]  要看得準確
[00:04:19.320 --> 00:04:21.520]  千萬不要看錯
[00:04:21.520 --> 00:04:25.720]  否則我們就會帶出一些錯誤的信靠
[00:04:25.720 --> 00:04:28.520]  所以這個除了不要亂猜
[00:04:28.520 --> 00:04:30.520]  整個末日更加提醒我們
[00:04:30.520 --> 00:04:33.320]  就是我們要看得清楚
[00:04:33.320 --> 00:04:36.120]  更加要看得準確
[00:04:36.120 --> 00:04:37.920]  這個其實有一點分別
[00:04:37.920 --> 00:04:38.720]  你看得清楚
[00:04:38.720 --> 00:04:40.920]  其實可能在現代人我們都會覺得
[00:04:40.920 --> 00:04:43.720]  我對某些事件發生的時候
[00:04:43.720 --> 00:04:47.920]  其實我們可以在這個網絡資訊世界裏面
[00:04:47.920 --> 00:04:49.320]  可以找到很多資料
[00:04:49.320 --> 00:04:50.320]  所以有時候我們會覺得
[00:04:50.320 --> 00:04:52.120]  我其實掌握得挺好
[00:04:52.120 --> 00:04:54.320]  我都看得不少的資料
[00:04:54.320 --> 00:04:55.920]  做足功課準備好
[00:04:55.920 --> 00:04:58.520]  其實我都挺清楚發生什麼事
[00:04:58.520 --> 00:05:00.320]  這個都會是
[00:05:00.320 --> 00:05:01.120]  但我們更加要小心
[00:05:01.120 --> 00:05:05.120]  當我們認為自己都掌握了不同的資訊
[00:05:05.120 --> 00:05:06.520]  我們很清楚
[00:05:06.520 --> 00:05:09.520]  但其實我們有沒有看準呢
[00:05:09.520 --> 00:05:12.520]  看清楚不代表你一定看得準確
[00:05:12.520 --> 00:05:15.520]  有時候我們說太多資訊就等於什麼
[00:05:15.520 --> 00:05:16.920]  沒有資訊
