
[00:00:00.000 --> 00:00:03.660]  講到開始不如我先問你們一個問題
[00:00:03.660 --> 00:00:04.200]  好嗎
[00:00:04.200 --> 00:00:06.980]  你好嗎
[00:00:06.980 --> 00:00:09.800]  嘩 不得了
[00:00:09.800 --> 00:00:12.040]  最近過得都幾好嗎
[00:00:12.040 --> 00:00:14.780]  好 很肯定
[00:00:14.780 --> 00:00:15.880]  給掌聲大家
[00:00:15.880 --> 00:00:17.280]  亦都給掌聲我們上帝
[00:00:17.280 --> 00:00:18.840]  在基督圖裏面
[00:00:18.840 --> 00:00:20.060]  我們在上帝裏面
[00:00:20.060 --> 00:00:22.220]  其實環體 店體
[00:00:22.220 --> 00:00:23.260]  我們都是感恩
[00:00:23.260 --> 00:00:24.820]  都是過得好好 很豐盛
[00:00:24.820 --> 00:00:26.920]  其實我都想講
[00:00:26.920 --> 00:00:28.860]  我最近這半年度
[00:00:28.860 --> 00:00:32.840]  我認識了一個13、14歲左右的小弟兄
[00:00:32.840 --> 00:00:34.840]  他很特別 很可愛
[00:00:34.840 --> 00:00:38.340]  他過去被診斷有些社交障礙
[00:00:38.340 --> 00:00:39.740]  SEN的兒童
[00:00:39.740 --> 00:00:41.580]  你們知道是甚麼吧
[00:00:41.580 --> 00:00:43.740]  他不太懂得跟人相處
[00:00:43.740 --> 00:00:46.340]  比較活在自己的世界裏面
[00:00:46.340 --> 00:00:49.180]  不過近這半年他就有一個口頭禪
[00:00:49.180 --> 00:00:52.620]  他見到人就會問我剛才那兩句
[00:00:52.620 --> 00:00:54.320]  你好嗎
[00:00:54.320 --> 00:00:56.860]  你今日過得怎樣
[00:00:56.860 --> 00:00:58.860]  我問完之後你不回答他
[00:00:58.860 --> 00:01:00.820]  他眼睛睜睜地看著你
[00:01:00.820 --> 00:01:04.160]  很認真地等你回答他
[00:01:04.160 --> 00:01:07.040]  不要以為這個舉動是一件很小的事
[00:01:07.040 --> 00:01:08.700]  因著他這個改變
[00:01:08.700 --> 00:01:13.140]  令到他整個家庭有翻天覆地的轉變
[00:01:13.140 --> 00:01:16.440]  之前他的父母為了這個小朋友很煩惱
[00:01:16.440 --> 00:01:21.280]  經常帶他去找不同的社工 專家 牧師
[00:01:21.280 --> 00:01:23.380]  看看可以怎樣解決他的學業問題
[00:01:23.380 --> 00:01:25.160]  社交問題等等
[00:01:25.160 --> 00:01:27.880]  但這個小朋友不知道怎樣學了一句
[00:01:27.880 --> 00:01:31.020]  你好嗎 你今日過得怎樣
[00:01:31.020 --> 00:01:33.460]  之後就逼他每一個家人
[00:01:33.460 --> 00:01:35.960]  一個放工 一放學回家
[00:01:35.960 --> 00:01:36.800]  就跟他說
[00:01:36.800 --> 00:01:39.160]  我在公司發生了甚麼事
