
[00:00:00.000 --> 00:00:06.000]  我有一個朋友,很多年前他喜歡用一隻手機的牌子叫做Samsung
[00:00:06.000 --> 00:00:13.000]  他總是覺得,不知道什麼原因,三叔公的手機的電池特別快玩完
[00:00:13.000 --> 00:00:15.000]  不知道你有沒有同感,每一個人不同
[00:00:15.000 --> 00:00:20.000]  所以他對於三叔的牌子,這個牌子打了折扣
[00:00:20.000 --> 00:00:25.000]  於是沒多久他就轉用了另一隻水果牌子的手機
[00:00:25.000 --> 00:00:29.000]  就發現他的電池質素就明顯改善了很多
[00:00:30.000 --> 00:00:34.000]  所以從此之後就轉換了,不再用三叔這個牌子
[00:00:34.000 --> 00:00:36.000]  就轉用了水果這個牌子
[00:00:36.000 --> 00:00:39.000]  當你相信那個產品的時候
[00:00:39.000 --> 00:00:42.000]  往往是因為你曾經用過那個產品
[00:00:42.000 --> 00:00:44.000]  所以你投他信心的一票
[00:00:44.000 --> 00:00:47.000]  大家不知道有沒有試過肚痛
[00:00:47.000 --> 00:00:49.000]  大家都知道Benny是最容易肚痛的一個人
[00:00:49.000 --> 00:00:52.000]  有人經常介紹我不吃不同的東西
[00:00:52.000 --> 00:00:54.000]  譬如補交叉丸
[00:00:55.000 --> 00:01:00.000]  又或者有些人就介紹,不如你試試日本那隻大什麼牌子的紫蛇丸
[00:01:00.000 --> 00:01:01.000]  有沒有試過?
[00:01:01.000 --> 00:01:04.000]  你沒聽過?這隻聽聞是挺好的東西
[00:01:04.000 --> 00:01:10.000]  有些人就說,不好呀,你試試那隻臭到不分軒那隻什麼樂器牌那隻東西
[00:01:10.000 --> 00:01:13.000]  那你就會更加快些痊癒
[00:01:13.000 --> 00:01:19.000]  這種信心是建基於別人用過,推介給你的
[00:01:21.000 --> 00:01:26.000]  又或者我們很怕被人放飛機
[00:01:26.000 --> 00:01:29.000]  又或者很怕被人背後捅你兩刀
[00:01:29.000 --> 00:01:34.000]  我們對一個人的信心往往是建立在兩件事上
[00:01:34.000 --> 00:01:37.000]  第一,他有沒有曾經承諾過一些東西
[00:01:37.000 --> 00:01:39.000]  做不做到他的承諾
[00:01:39.000 --> 00:01:43.000]  第二,他有沒有實力去兌現
[00:01:43.000 --> 00:01:45.000]  而今天讀的這個經文
[00:01:45.000 --> 00:01:48.000]  這個大神,我們待會讀的這個經文裡面
[00:01:48.000 --> 00:01:50.000]  有個官,有個大神所面對的
[00:01:51.000 --> 00:01:55.000]  正是一個關於承諾和實力的東西
[00:01:55.000 --> 00:02:00.000]  我們來看看約翰福音第四章46到54節
[00:02:00.000 --> 00:02:02.000]  找到的時候我們一起讀出來,請讀
[00:02:02.000 --> 00:02:06.000]  耶穌又到了加利利的加拿
[00:02:06.000 --> 00:02:09.000]  就是他從前變水為酒的地方
[00:02:09.000 --> 00:02:14.000]  大神,他的兒子在加伯隆患病
[00:02:14.000 --> 00:02:18.000]  他聽見耶穌從猶太到了加利利
[00:02:18.000 --> 00:02:23.000]  就來見他,求他下去醫治他的兒子
[00:02:23.000 --> 00:02:26.000]  因為他兒子快要死了
[00:02:26.000 --> 00:02:28.000]  耶穌就對他說
[00:02:28.000 --> 00:02:33.000]  若不看見神即其事,你們總是不信
[00:02:33.000 --> 00:02:35.000]  那大神說
[00:02:35.000 --> 00:02:40.000]  先生,求你趁著我的孩子還沒有死就下去
[00:02:40.000 --> 00:02:42.000]  耶穌就對他說
[00:02:42.000 --> 00:02:45.000]  回去吧,你的兒子活了
[00:02:46.000 --> 00:02:50.000]  那人信耶穌所說的話就回去了
[00:02:50.000 --> 00:02:52.000]  正下去的時候
[00:02:52.000 --> 00:02:55.000]  他的僕人說
[00:02:55.000 --> 00:02:57.000]  他的兒子活了
[00:02:57.000 --> 00:03:02.000]  他們說
[00:03:02.000 --> 00:03:05.000]  未時而就退了
[00:03:05.000 --> 00:03:09.000]  他便是耶穌對他所說
[00:03:09.000 --> 00:03:15.000]  今天想和大家看三樣東西
[00:03:15.000 --> 00:03:16.000]  第一樣東西就是
[00:03:16.000 --> 00:03:20.000]  信心通常都是經過痛苦來萌芽的
[00:03:20.000 --> 00:03:23.000]  特別想你留意第46和第47節
[00:03:23.000 --> 00:03:25.000]  經文告訴我們
[00:03:25.000 --> 00:03:27.000]  有一個人去到耶穌面前
[00:03:27.000 --> 00:03:31.000]  來求耶穌在他兒子還沒有死的時候
[00:03:31.000 --> 00:03:33.000]  趕快下去救他一條命
[00:03:33.000 --> 00:03:36.000]  這個來到耶穌面前的男人
[00:03:36.000 --> 00:03:38.000]  他是一個父親
[00:03:38.000 --> 00:03:40.000]  不止,聖文告訴我們
[00:03:40.000 --> 00:03:41.000]  他更加是一個大神
[00:03:41.000 --> 00:03:45.000]  很可能就是當時這個地區裡
[00:03:45.000 --> 00:03:48.000]  希律王的內閣的重臣
[00:03:48.000 --> 00:03:52.000]  因為當時加伯隆是一個邊界的重鎮
[00:03:52.000 --> 00:03:55.000]  有很多高官在那個地方駐守
[00:03:55.000 --> 00:03:57.000]  他可能就是其中的一個
[00:03:57.000 --> 00:04:00.000]  根據約翰福音第二章第十二節告訴我們
[00:04:00.000 --> 00:04:04.000]  耶穌其實原來在六到九個月之前
[00:04:04.000 --> 00:04:06.000]  曾經去過加伯隆這個地方
[00:04:06.000 --> 00:04:10.000]  而四章四十六節也告訴我們
[00:04:10.000 --> 00:04:15.000]  這個加伯隆的大神的兒子患病
[00:04:15.000 --> 00:04:17.000]  患病這個字,希律文這個字
[00:04:17.000 --> 00:04:19.000]  是一個未完成式
[00:04:19.000 --> 00:04:23.000]  換句話說,他是持續進行著患病
[00:04:23.000 --> 00:04:27.000]  意思就是說,這個兒子很有可能不是突然間病
[00:04:27.000 --> 00:04:30.000]  而是一直都在病
[00:04:30.000 --> 00:04:34.000]  只是現在面臨近死亡,瀕臨死亡的邊緣
[00:04:34.000 --> 00:04:38.000]  換句話說,當耶穌在六到九個月之前
[00:04:38.000 --> 00:04:40.000]  去到加伯隆這個地方
[00:04:40.000 --> 00:04:43.000]  這個兒子,這個官員的兒子
[00:04:43.000 --> 00:04:47.000]  其實可能正在病
[00:04:47.000 --> 00:04:49.000]  或者未去到垂危
[00:04:49.000 --> 00:04:52.000]  這樣當耶穌去到他家門口附近的時候
[00:04:52.000 --> 00:04:55.000]  這位的爸爸從來都沒有去找過他
[00:04:55.000 --> 00:04:58.000]  是不是沒有聽過耶穌這個名字呢?
[00:04:58.000 --> 00:05:02.000]  還是他太忙,太busy沒辦法去找到耶穌呢?
[00:05:02.000 --> 00:05:04.000]  還是他從來沒有想過
[00:05:04.000 --> 00:05:10.000]  他從來都沒有想過,他要找這個草根不過的猶太人的老師
[00:05:10.000 --> 00:05:13.000]  初出道,名氣是不是還沒有呢?
[00:05:13.000 --> 00:05:16.000]  到底值不值得去光顧他呢?
[00:05:16.000 --> 00:05:18.000]  更有可能的就是
[00:05:18.000 --> 00:05:20.000]  他身為一個高官
[00:05:20.000 --> 00:05:24.000]  已經有充足的醫療資源給他用
[00:05:24.000 --> 00:05:27.000]  例如,希臘羅馬的醫術當時非常之高
[00:05:27.000 --> 00:05:30.000]  還有猶太傳統又不同的醫術
[00:05:30.000 --> 00:05:34.000]  再加上當時在近東一帶埃及的醫術非常之有名
[00:05:34.000 --> 00:05:37.000]  而且是傳到街知巷聞的
[00:05:37.000 --> 00:05:39.000]  甚至更加有不同宗教的儀式
[00:05:39.000 --> 00:05:41.000]  他什麼都可以嘗試
[00:05:41.000 --> 00:05:44.000]  他有大把資源,有錢,有勢力
[00:05:44.000 --> 00:05:47.000]  甚至有所有的門路
[00:05:47.000 --> 00:05:49.000]  不過直到有一天
[00:05:49.000 --> 00:05:52.000]  他發現所有的辦法都不work
[00:05:52.000 --> 00:05:56.000]  耶穌已經離開了加伯隆
[00:05:56.000 --> 00:05:59.000]  他的兒子也撐不下去
[00:05:59.000 --> 00:06:03.000]  去到一個這樣絕境的地步
[00:06:03.000 --> 00:06:05.000]  無路可行的時候
[00:06:05.000 --> 00:06:11.000]  他就謙卑,親自去找耶穌
[00:06:11.000 --> 00:06:13.000]  一個這麼有身份的官員
[00:06:13.000 --> 00:06:15.000]  為了自己的兒子
[00:06:15.000 --> 00:06:19.000]  從加伯隆去到迦拿這個地方找耶穌
[00:06:19.000 --> 00:06:21.000]  兩個地方相隔多遠呢?
[00:06:21.000 --> 00:06:23.000]  大家知不知道我們今天是馬拉松嗎?
[00:06:23.000 --> 00:06:26.000]  馬拉松今天是半馬加全馬
[00:06:26.000 --> 00:06:30.000]  全馬大家知不知道有多少公里?
[00:06:30.000 --> 00:06:31.000]  多少?
[00:06:31.000 --> 00:06:33.000]  42公里是嗎?
[00:06:33.000 --> 00:06:37.000]  半馬,好像不止吧?
[00:06:37.000 --> 00:06:40.000]  全馬有40多公里?
[00:06:40.000 --> 00:06:46.000]  Dickson是跑過全馬的
[00:06:46.000 --> 00:06:48.000]  45公里,我猜的
[00:06:48.000 --> 00:06:50.000]  半馬應該是一半吧?
[00:06:50.000 --> 00:06:56.000]  一半的話應該是20-23公里左右
[00:06:56.000 --> 00:07:00.000]  其實23公里遠嗎?
[00:07:00.000 --> 00:07:04.000]  我經常問人們走10公里路
[00:07:04.000 --> 00:07:07.000]  不要玩了,10公里路走很久的
[00:07:07.000 --> 00:07:10.000]  現在這個世界有車,有巴士
[00:07:10.000 --> 00:07:13.000]  樣樣都可以,但腳就不可以走
[00:07:13.000 --> 00:07:15.000]  其實有多遠呢?
[00:07:15.000 --> 00:07:19.000]  加伯隆去到迦拿是足足35公里左右
[00:07:19.000 --> 00:07:21.000]  是35公里
[00:07:21.000 --> 00:07:24.000]  走路的話,我查過Google Map
[00:07:24.000 --> 00:07:27.000]  走得快的話都要七八個小時
[00:07:27.000 --> 00:07:29.000]  七到八個小時才走得遠
[00:07:29.000 --> 00:07:32.000]  大概你都知道他是高官
[00:07:32.000 --> 00:07:36.000]  你幾時會見到一個高官走這麼遠呢?
[00:07:36.000 --> 00:07:38.000]  不要玩了
[00:07:38.000 --> 00:07:41.000]  我經常聽到網上的人說他走路
[00:07:41.000 --> 00:07:43.000]  簡直浪費力氣,沒可能走路的
[00:07:43.000 --> 00:07:46.000]  他一定是坐交通工具
[00:07:46.000 --> 00:07:48.000]  就是一些馬或者駱駝
[00:07:48.000 --> 00:07:51.000]  但因為地形的緣故,極有可能是坐雷
[00:07:51.000 --> 00:07:55.000]  雷都要四到五個小時
[00:07:55.000 --> 00:07:58.000]  所以應該一大清早就出發了
[00:07:58.000 --> 00:08:01.000]  大家有沒有試過為了一件事
[00:08:01.000 --> 00:08:05.000]  拼到一個地步,完全放低了自己的身份
[00:08:05.000 --> 00:08:08.000]  這位大神放低了自己的官威
[00:08:08.000 --> 00:08:13.000]  親自去見一位在他眼中頂多都是一個木匠
[00:08:13.000 --> 00:08:16.000]  和民間老師的耶穌
[00:08:16.000 --> 00:08:18.000]  還要求祂
[00:08:18.000 --> 00:08:20.000]  換作是你呢?
[00:08:20.000 --> 00:08:26.000]  你可能放不放得下你心裏面最帥的那一面
[00:08:26.000 --> 00:08:29.000]  放下你的自尊,有沒有辦法呢?
[00:08:29.000 --> 00:08:34.000]  信心不是在冷氣房裏面想出來的
[00:08:34.000 --> 00:08:41.000]  是趕著那三十五公里的路上的汗水、眼淚
[00:08:41.000 --> 00:08:44.000]  這樣營造出來的
[00:08:44.000 --> 00:08:45.000]  磨練出來的
[00:08:45.000 --> 00:08:50.000]  我們一起看看第四章第四十七和第四十九節
[00:08:50.000 --> 00:08:52.000]  這兩節經文非常特別
[00:08:52.000 --> 00:08:53.000]  四十七節就說
[00:08:53.000 --> 00:08:57.000]  他聽見耶穌從猶太到加利利就來見他
[00:08:57.000 --> 00:09:00.000]  求他去醫治他的兒子
[00:09:00.000 --> 00:09:02.000]  四十九節那位大神就說
[00:09:02.000 --> 00:09:06.000]  先生求你趁著我的孩子還沒死的時候就下去
[00:09:06.000 --> 00:09:12.000]  你有沒有發現兩節經文兩次講到這個爸爸去求耶穌
[00:09:12.000 --> 00:09:16.000]  而且兩節都強調死
[00:09:16.000 --> 00:09:17.000]  非常明顯
[00:09:17.000 --> 00:09:22.000]  這個爸爸所承受的就是死亡快要親生他的兒子
[00:09:22.000 --> 00:09:26.000]  是極其恐懼、極其害怕、極其絕望的處境
[00:09:26.000 --> 00:09:29.000]  我絕對相信我們做父母
[00:09:29.000 --> 00:09:31.000]  這裏有很多人做父母
[00:09:31.000 --> 00:09:33.000]  如果可以選擇
[00:09:33.000 --> 00:09:36.000]  我們都寧願和他交換身份
[00:09:36.000 --> 00:09:39.000]  有問題的是我們,病的是我們
[00:09:39.000 --> 00:09:43.000]  這個爸爸,所以我們可以想象
[00:09:43.000 --> 00:09:47.000]  他多趕急去到耶穌的面前去求耶穌
[00:09:47.000 --> 00:09:49.000]  我認識一位太太
