
[00:00:00.000 --> 00:00:02.840]  各位電影姐妹 今天是一個特別的主日
[00:00:02.840 --> 00:00:05.340]  是神學教育主日
[00:00:05.340 --> 00:00:07.760]  在剛才大家聽到一班神學生
[00:00:07.760 --> 00:00:10.760]  他們在我們中間獻詩
[00:00:10.760 --> 00:00:16.800]  他們獻唱出他們內心那種毀身的心志
[00:00:16.800 --> 00:00:21.340]  福音的棒是需要有人來承接的
[00:00:21.340 --> 00:00:24.500]  我們都是主耶穌的門徒
[00:00:24.500 --> 00:00:27.200]  我相信今天主都會不斷在我們中間
[00:00:27.200 --> 00:00:29.000]  來呼喚我們
[00:00:29.000 --> 00:00:33.000]  有哪一個願意承接福音的棒
[00:00:33.000 --> 00:00:37.000]  願意來將耶穌基督的福音傳揚出去
[00:00:37.000 --> 00:00:40.000]  因此我們都是在神學教育主日
[00:00:40.000 --> 00:00:41.500]  鼓勵我們的電影姐妹
[00:00:41.500 --> 00:00:43.500]  我們內心開闖
[00:00:43.500 --> 00:00:46.500]  留心神對你的感動
[00:00:46.500 --> 00:00:50.500]  亦都自己再次鼓勵自己去接受裝備
[00:00:50.500 --> 00:00:53.000]  無論將來的崗位是什麼
[00:00:53.000 --> 00:00:55.000]  但是裝備好自己
[00:00:55.000 --> 00:00:57.500]  更多認識耶穌基督的道
[00:00:57.500 --> 00:01:01.000]  以致你能夠將主的道可以傳出去
[00:01:01.000 --> 00:01:03.500]  所以今天我們都是這樣來鼓勵電影姐妹
[00:01:03.500 --> 00:01:04.500]  鼓勵自己
[00:01:04.500 --> 00:01:07.000]  求主給我們有更大渴慕的心
[00:01:07.000 --> 00:01:09.500]  願意回應主給我們的感動
[00:01:09.500 --> 00:01:11.000]  去傳揚主的道
[00:01:11.000 --> 00:01:12.500]  我們大家再一起祈禱
[00:01:12.500 --> 00:01:14.500]  我們將時間再交託給主
[00:01:14.500 --> 00:01:21.000]  主我們感謝祢
[00:01:21.000 --> 00:01:25.000]  因為祢的道是靈 是生命
[00:01:25.000 --> 00:01:27.000]  是叫人得到真正的自由
[00:01:27.000 --> 00:01:30.500]  叫人領受生命平安
[00:01:30.500 --> 00:01:32.000]  主我們感謝祢
[00:01:32.000 --> 00:01:34.000]  將祢的道賜給我們
[00:01:34.000 --> 00:01:36.000]  我們祈求親愛的主
[00:01:36.000 --> 00:01:40.000]  祢幫助我們更知道去進深的認識
[00:01:40.000 --> 00:01:44.000]  不要讓我們停留在淺水之處
[00:01:44.000 --> 00:01:46.000]  讓我們真的知道進入
[00:01:46.000 --> 00:01:50.000]  祢自己要賜給我們豐盛生命的深處
[00:01:50.000 --> 00:01:53.500]  也讓我們心中有一種從祢而來的感動
[00:01:53.500 --> 00:01:55.000]  知道為了祢的道
[00:01:55.000 --> 00:01:58.500]  為了祢自己基督的福音的真道
[00:01:58.500 --> 00:02:01.000]  我們真的願意來到擺上自己
[00:02:01.000 --> 00:02:02.500]  奉獻自己
[00:02:02.500 --> 00:02:07.000]  讓人都能夠有機會聽聞祢自己的真道
[00:02:07.000 --> 00:02:11.000]  求主大靈讓我們今天一起思想祢的話的時候
