
[00:00:00.000 --> 00:00:02.000]  各位聽聽節目的朋友
[00:00:02.000 --> 00:00:06.720]  我們今天繼續來看傳言獻上的第二講
[00:00:06.720 --> 00:00:08.600]  首先我們再來重溫一下
[00:00:08.600 --> 00:00:12.440]  上次羅馬書第十二章一到第二節
[00:00:12.440 --> 00:00:15.420]  第一講的時候少少的主要內容
[00:00:15.420 --> 00:00:19.720]  我想給大家留意一下這兩節經文的特別結構
[00:00:19.720 --> 00:00:21.220]  如果我們記得的話
[00:00:21.220 --> 00:00:24.940]  將身體獻上當作一個祭
[00:00:24.940 --> 00:00:26.540]  這個祭是什麼祭?
[00:00:26.540 --> 00:00:28.040]  是活着的祭
[00:00:28.040 --> 00:00:29.240]  是聖潔的
[00:00:29.240 --> 00:00:31.740]  是上帝所喜悅的
[00:00:31.740 --> 00:00:36.720]  然後保羅就說你們如此侍奉或敬拜
[00:00:36.720 --> 00:00:40.500]  這就是等於作祭
[00:00:40.500 --> 00:00:41.840]  即是作這個祭
[00:00:41.840 --> 00:00:45.440]  爲了要明白到底這個侍奉是怎樣侍奉
[00:00:45.440 --> 00:00:47.560]  保羅又加多了一個形容的字眼
[00:00:47.560 --> 00:00:50.240]  就是理所當然的
[00:00:50.240 --> 00:00:51.640]  但是問題是
[00:00:51.640 --> 00:00:59.320]  如何令我們不能夠發出一個將自己生命作爲一個祭
[00:00:59.320 --> 00:01:01.980]  來好似一個敬拜獻上來去呢?
[00:01:01.980 --> 00:01:05.400]  是因爲我們被這個世界去搗舞
[00:01:05.400 --> 00:01:08.300]  所以保羅說我們要去被改變
[00:01:08.300 --> 00:01:09.480]  是什麼被改變呢?
[00:01:09.480 --> 00:01:12.400]  是在心意上來更新
[00:01:12.400 --> 00:01:19.760]  所以我們見到心意和身體是一個完全不同層面的字眼
[00:01:19.760 --> 00:01:21.020]  目的是什麼呢?
[00:01:21.020 --> 00:01:26.260]  目的就是我們能夠測驗到底上帝的旨意是怎樣
