
[00:00:00.000 --> 00:00:04.680]  世界上有很多事是意想不到的
[00:00:04.680 --> 00:00:07.560]  即是你覺得它是這樣
[00:00:07.560 --> 00:00:09.560]  其實它不是這樣
[00:00:09.560 --> 00:00:11.560]  我舉個例子
[00:00:11.560 --> 00:00:18.220]  你以為這張照片是一個文件夾
[00:00:18.220 --> 00:00:20.220]  看上去好像萬字夾
[00:00:20.220 --> 00:00:21.720]  但其實不是
[00:00:21.720 --> 00:00:23.720]  它是一個公事包
[00:00:23.720 --> 00:00:25.220]  第二張
[00:00:25.220 --> 00:00:27.720]  你以為它是一枝樹枝
[00:00:27.720 --> 00:00:30.720]  但其實不是 它是一座枱燈
[00:00:30.720 --> 00:00:32.720]  第三個
[00:00:32.720 --> 00:00:35.720]  為何沒有第三呢 因為意想不到
[00:00:35.720 --> 00:00:37.720]  第四
[00:00:37.720 --> 00:00:39.720]  你以為它是一本書
[00:00:39.720 --> 00:00:41.720]  但其實不是 它不是一本書
[00:00:41.720 --> 00:00:43.720]  它是一個枕頭
[00:00:43.720 --> 00:00:45.720]  一打開
[00:00:45.720 --> 00:00:47.720]  為何看不到
[00:00:47.720 --> 00:00:50.720]  一打開就睡著了
[00:00:50.720 --> 00:00:52.720]  第五
[00:00:52.720 --> 00:00:54.720]  你以為它是一塊豬肉
[00:00:54.720 --> 00:00:57.720]  但其實不是 它是一個手提行李箱
[00:00:57.720 --> 00:00:59.720]  你想要一個這樣的手提行李箱嗎
[00:00:59.720 --> 00:01:01.720]  我很想要一個
[00:01:01.720 --> 00:01:03.720]  拿著豬肉在街上走
[00:01:03.720 --> 00:01:05.720]  第六個
[00:01:05.720 --> 00:01:07.720]  很恐怖
[00:01:07.720 --> 00:01:09.720]  你以為它是手指
[00:01:09.720 --> 00:01:11.720]  但其實不是 它是肥皂
[00:01:11.720 --> 00:01:13.720]  拿著手指洗澡
[00:01:13.720 --> 00:01:16.720]  甚麼是意想不到呢
[00:01:16.720 --> 00:01:19.720]  因為你覺得事情一定會發生
[00:01:19.720 --> 00:01:21.720]  那些人一定是這樣
[00:01:21.720 --> 00:01:25.720]  其實結果是出乎你意料之外
[00:01:25.720 --> 00:01:27.720]  不知道大家有沒有看過一套戲
[00:01:27.720 --> 00:01:29.720]  叫做《食神》 周星馳的《食神》
[00:01:29.720 --> 00:01:30.720]  谷德超說
[00:01:30.720 --> 00:01:32.720]  真的猜不到
[00:01:32.720 --> 00:01:33.720]  就是這個意思
[00:01:33.720 --> 00:01:36.720]  不過可能你覺得《食神》太歐了
[00:01:36.720 --> 00:01:39.720]  現代有一個國家的領袖
[00:01:39.720 --> 00:01:42.720]  你真的猜不到
[00:01:42.720 --> 00:01:46.720]  意想不到有兩種意想不到
[00:01:46.720 --> 00:01:48.720]  第一是意想不到的壞事
[00:01:48.720 --> 00:01:52.720]  可能大家知道現在美國和伊朗打仗
[00:01:52.720 --> 00:01:54.720]  開頭你以為強弱完事
[00:01:54.720 --> 00:01:56.720]  很快就打完
[00:01:56.720 --> 00:01:57.720]  相距那麼遠
[00:01:57.720 --> 00:01:59.720]  誰知一打就打了兩個多月
[00:01:59.720 --> 00:02:01.720]  還不知道何時完
[00:02:01.720 --> 00:02:03.720]  搞到世界大亂
[00:02:03.720 --> 00:02:06.720]  真是意想不到的壞事
[00:02:06.720 --> 00:02:08.720]  也有意想不到的好事
[00:02:08.720 --> 00:02:10.720]  David今天生日
[00:02:10.720 --> 00:02:13.720]  但所有身邊的人
[00:02:13.720 --> 00:02:15.720]  無論是家人還是朋友
[00:02:15.720 --> 00:02:16.720]  全部都超忙
[00:02:16.720 --> 00:02:20.720]  他想著今晚自己過生日
[00:02:20.720 --> 00:02:21.720]  誰知回到家
[00:02:21.720 --> 00:02:23.720]  所有人都在
[00:02:23.720 --> 00:02:25.720]  還有一個驚喜的生日派對
[00:02:25.720 --> 00:02:28.720]  是意想不到的好事
[00:02:28.720 --> 00:02:30.720]  在《史詩記》第三章
[00:02:30.720 --> 00:02:33.720]  迦南地督發生了意想不到的大事
[00:02:33.720 --> 00:02:37.720]  話說迦南日報登頭條
[00:02:37.720 --> 00:02:38.720]  裡面說什麼呢
[00:02:38.720 --> 00:02:41.720]  摩訶王遇刺震撼全國
[00:02:41.720 --> 00:02:46.720]  以色列恐怖分子已乏成功逃脫
[00:02:46.720 --> 00:02:48.720]  是一個刺殺的行動
[00:02:48.720 --> 00:02:51.720]  是一個暗殺的行動
[00:02:51.720 --> 00:02:52.720]  這是頭條
[00:02:52.720 --> 00:02:55.720]  但當你看詳細的新聞報道
[00:02:55.720 --> 00:02:59.720]  你會發覺有三件都是意想不到的地方
[00:02:59.720 --> 00:03:01.720]  第一個意想不到的地方
[00:03:01.720 --> 00:03:05.720]  就是欺壓以色列人的摩訶人
[00:03:05.720 --> 00:03:07.720]  竟然是這一班民族
[00:03:07.720 --> 00:03:09.720]  為什麼我這樣說呢
[00:03:09.720 --> 00:03:11.720]  因為從以色列人的角度來說
[00:03:11.720 --> 00:03:13.720]  這個摩訶人是弱小的民族
