
[00:00:00.000 --> 00:00:12.540]  所以今天早上我要跟大家分享的信息是神恩轉化的心心
[00:00:12.540 --> 00:00:18.280]  神恩轉化的心心
[00:00:18.280 --> 00:00:38.000]  有一次有一個機械工他在修理一個摩托車,把一個引擎蓋要拿掉的時候,看到有一個很有名的心臟科醫師
[00:00:38.000 --> 00:00:55.320]  當這個心臟科醫師他事實上來是要找他們這裡面看看他自己的車子,這個時候這個機械工遠遠就向他來叫
[00:00:55.320 --> 00:01:15.120]  要不要過來看看這個,那這個心臟科醫師有點驚奇,就過去到他那邊去了
[00:01:15.120 --> 00:01:39.880]  那麼這個機械工他就把手擦了乾淨,過去跟這個醫生說,他說醫生你看看這個引擎,你看看我把他這個心打開了,把這裡面的所有東西修好了,把這個東西全部放好了以後,現在他像一個新的心
[00:01:39.880 --> 00:01:56.980]  那到底怎麼回事呢,我一年才賺個差不多四萬塊錢,你好像賺了好幾百萬,這個到底是怎麼回事啊
[00:01:56.980 --> 00:02:23.140]  那這個心臟科醫師就停下來,就想了一下,就過去跟這個機械工說,你試試看當引擎還在轉動的時候,你去做你的做的事情吧
[00:02:23.140 --> 00:02:37.680]  當然要修復人的心,要比修這個汽車的這個引擎要難多了
[00:02:37.680 --> 00:02:56.360]  那更難的呢,還不是這裡,更難的是什麼呢,是如果你要修復人的心,而且講的是一個樹林的心
[00:02:56.360 --> 00:03:08.120]  這個修復人的心,只有神能夠做得到,只有靠著神的恩典能夠轉化人的心
[00:03:08.120 --> 00:03:29.880]  當我們開始一個新的年,我們教會開始各種新的施工
[00:03:29.880 --> 00:03:39.040]  我們這個時候,我們巴不得我們求神能夠轉化我們的心,讓我們跟我們的教會在這新的一年中間能夠有一個新的心
[00:03:39.040 --> 00:03:46.000]  這就是神在聖經中間應許的
[00:03:46.000 --> 00:04:03.820]  我們現在講的是英文跟中文翻譯,那我們大家一起來看
[00:04:03.820 --> 00:04:11.280]  讀經的時候,現在要公平起見,我們只念粵語,因為今天講到的是有英文跟中文翻譯
[00:04:11.280 --> 00:04:16.600]  我們大家一起來念
[00:04:42.280 --> 00:05:01.600]  所以神在這個地方,他應許我們是要給我們一個新的靈,讓我們能夠怎麼樣去尊崇他
[00:05:01.600 --> 00:05:13.600]  那麼第一點,我們要怎麼樣呢?我們要瞭解人心的實況
[00:05:13.600 --> 00:05:21.600]  我們的心事實上是代表我們是誰的一個核心
[00:05:21.600 --> 00:05:33.600]  就包括我們自己的價值觀,我們的觀念,我們的各方面的想法
[00:05:33.600 --> 00:05:46.600]  以及我們的感受,我們的信仰,或者我們做出各種行為的一個前提的決定
[00:05:46.600 --> 00:05:57.600]  這一個真實的狀況是,舊的心充滿了邪惡
[00:05:57.600 --> 00:06:09.600]  耶和華看見人在地上的罪惡很大,終日心裡思念的盡都是惡
[00:06:09.600 --> 00:06:19.600]  所以你在這段經文中,你認為人的心本質上是好的嗎?
[00:06:19.600 --> 00:06:31.600]  如果你是這樣子思想的話,也許你並不了解我們人性的一個真實
[00:06:31.600 --> 00:06:38.600]  你也許不知道什麼是一個真實的
[00:06:38.600 --> 00:06:46.600]  聖經說人的心是充滿了邪惡
[00:06:46.600 --> 00:06:54.600]  那麼也許你認為那只是發生在舊約的時代
[00:06:54.600 --> 00:07:03.600]  那麼我們在羅馬書的第一章看看新約怎麼講
