
[00:00:00.000 --> 00:00:03.700]  喺英姊妹早晨,我哋同心禱告
[00:00:03.700 --> 00:00:10.900]  天父我哋嚟到你面前,我哋知道我哋嘅自我都仍然喺度
[00:00:10.900 --> 00:00:15.100]  教我哋點樣不愛己,專一愛你
[00:00:15.100 --> 00:00:20.000]  因為呢,只有你嘅恩典,你嘅大愛可以融化我哋
[00:00:20.000 --> 00:00:22.700]  讓我哋願意去回應你
[00:00:22.700 --> 00:00:25.400]  當我哋翻開你嘅話語嘅時候
[00:00:25.400 --> 00:00:27.500]  求你與我哋同在
[00:00:27.500 --> 00:00:30.500]  觸動我哋每一個,向我哋每一個人說話
[00:00:30.500 --> 00:00:35.700]  以致到我哋能夠回應你嘅話語,回應你嘅恩典
[00:00:35.700 --> 00:00:40.100]  我哋禱告奉耶穌基督得勝嘅命求,阿們
[00:00:40.100 --> 00:00:47.300]  如果我問你,喺你嘅生活裏面有咩難忘嘅回憶
[00:00:47.300 --> 00:00:50.400]  我唔知道你會諗起啲乜嘢
[00:00:50.400 --> 00:00:53.300]  難忘嘅回憶
[00:00:53.300 --> 00:00:57.200]  我就諗回憶可能有唔同嘅層面嘅
[00:00:57.200 --> 00:00:59.800]  我哋有啲社會性嘅回憶
[00:00:59.800 --> 00:01:03.200]  97回歸啦,我哋社會嘅變化啦
[00:01:03.200 --> 00:01:06.500]  我哋亦有啲群體嘅共同回憶
[00:01:06.500 --> 00:01:08.500]  教會嘅歷史
[00:01:08.500 --> 00:01:12.500]  一齊經歷過嘅培靈會呀,小組活動呀
[00:01:12.500 --> 00:01:14.500]  短孫呀等等
[00:01:14.500 --> 00:01:17.500]  堅島97號恩典樓
[00:01:17.500 --> 00:01:22.400]  就係我哋一齊建構緊嘅共同回憶
[00:01:22.400 --> 00:01:25.800]  喺個人層面,喺我哋嘅家庭層面
[00:01:25.800 --> 00:01:29.000]  我哋同上帝同其他人互動
[00:01:29.000 --> 00:01:31.000]  都成為重要嘅回憶
[00:01:31.000 --> 00:01:34.000]  成為我哋生命好重要嘅一部份
[00:01:34.000 --> 00:01:36.700]  你難忘嘅回憶係咩呢?
[00:01:36.700 --> 00:01:40.700]  會唔會記得第一次參加畢業禮
[00:01:40.700 --> 00:01:44.000]  第一次遇見你嘅太太或者丈夫
[00:01:44.000 --> 00:01:46.000]  第一次遇見耶穌
[00:01:46.000 --> 00:01:48.000]  或者被佢感動呢?
[00:01:48.000 --> 00:01:52.600]  其實點解呢啲經歷會令我哋難忘呢?
[00:01:52.600 --> 00:01:55.900]  通常呢就係因為呢啲經歷唔多唔少呢
[00:01:55.900 --> 00:01:57.400]  係改變咗我哋
[00:01:57.400 --> 00:02:00.900]  成為我哋人生裏面一啲嘅轉捩點
[00:02:00.900 --> 00:02:03.400]  我哋今日讀嘅經文呢
[00:02:03.400 --> 00:02:07.900]  記載喺《士徒行傳》21章39節
[00:02:07.900 --> 00:02:10.900]  至到22章29節
[00:02:10.900 --> 00:02:15.900]  嗰度呢係保羅向猶太人同埋羅馬人
[00:02:15.900 --> 00:02:18.900]  佢講自己整個嘅生命故事
[00:02:18.900 --> 00:02:22.400]  佢嘅生命歷程,佢嘅見證
[00:02:22.400 --> 00:02:24.400]  喺《士徒行傳》裏面呢
[00:02:24.400 --> 00:02:26.400]  除咗呢一度之外呢
[00:02:26.400 --> 00:02:31.400]  一共係仲有兩次記載保羅講個人見證
[00:02:31.400 --> 00:02:32.900]  第一次喺呢度啦
[00:02:32.900 --> 00:02:34.900]  第二次喺24章
[00:02:34.900 --> 00:02:37.400]  第三次喺26章
[00:02:37.400 --> 00:02:40.900]  三次見證嘅內容都係差唔多嘅
[00:02:40.900 --> 00:02:46.400]  保羅佢首先講出佢自己嗰個嘅狀況
[00:02:46.400 --> 00:02:49.400]  佢嘅出生同埋佢嘅背景
[00:02:49.400 --> 00:02:52.400]  同埋佢以前係一個點嘅人
[00:02:52.400 --> 00:02:54.400]  點樣逼迫基督徒
[00:02:54.400 --> 00:02:56.400]  然後第二個段落呢
[00:02:56.400 --> 00:02:58.400]  保羅講佢信主嘅經歷
[00:02:58.400 --> 00:03:00.400]  可能大家最熟悉㗎啦
[00:03:00.400 --> 00:03:02.400]  佢喺大馬式上面
[00:03:02.400 --> 00:03:05.400]  嗰個路上面遇見主耶穌
[00:03:05.400 --> 00:03:07.400]  最後嗰段落呢
[00:03:07.400 --> 00:03:11.400]  就講到保羅被主差遣
[00:03:11.400 --> 00:03:13.400]  喺呢段經文嘅裏面呢
[00:03:13.400 --> 00:03:15.400]  除咗保羅講佢嘅見證呢
[00:03:15.400 --> 00:03:20.400]  仲記載咗眾人群眾聽咗之後點樣去回應佢
[00:03:20.400 --> 00:03:23.400]  我哋先讀第一個分段
[00:03:23.400 --> 00:03:31.400]  喺《仕途行傳》21章38節至到22章5節
