
[00:00:00.000 --> 00:00:03.600]  (主席)在這短短幾節的經文當中
[00:00:03.600 --> 00:00:08.840]  今天我想通過三個看來好像是矛盾的地方
[00:00:08.840 --> 00:00:10.960]  來跟大家一起思考
[00:00:10.960 --> 00:00:15.040]  一起學習神的話語來彼此勉勵
[00:00:15.040 --> 00:00:18.080]  在進入今天的講道訊息之前
[00:00:18.080 --> 00:00:23.840]  我們需要一起了解這個故事的一些歷史背景
[00:00:23.840 --> 00:00:26.160]  我們需要知道特羅亞
[00:00:26.160 --> 00:00:30.720]  是位於亞西亞北部的海港
[00:00:30.720 --> 00:00:33.640]  是愛琴海半
[00:00:33.640 --> 00:00:36.800]  如果我們橫過愛琴海的時候
[00:00:36.800 --> 00:00:40.040]  就可以去到歐洲的馬其頓
[00:00:40.040 --> 00:00:43.160]  和阿該亞的省份
[00:00:43.160 --> 00:00:48.440]  特羅亞就位於今天土耳其的境內
[00:00:48.440 --> 00:00:53.160]  如果我們回到《史獨行傳》的十六章六到八節來看的時候
[00:00:53.160 --> 00:00:54.760]  那幾節的經文告訴我們
[00:00:54.760 --> 00:00:58.400]  保羅在他第二次的宣教旅程當中
[00:00:58.400 --> 00:01:01.600]  他曾經去過特羅亞的地方
[00:01:01.600 --> 00:01:03.520]  在特羅亞的時候
[00:01:03.520 --> 00:01:06.600]  神讓他看到一個異象
[00:01:06.600 --> 00:01:08.040]  在那個異象裡面
[00:01:08.040 --> 00:01:10.320]  保羅看到馬其頓人
[00:01:10.320 --> 00:01:13.680]  也是請求保羅去幫助他們
[00:01:13.680 --> 00:01:16.680]  於是保羅就啟程去馬其頓
[00:01:16.680 --> 00:01:17.800]  就是這樣
[00:01:17.800 --> 00:01:21.520]  保羅第一次將福音帶入歐洲
[00:01:21.520 --> 00:01:27.160]  有一般人都認為保羅曾經寫了一封信給哥倫多教會
[00:01:27.160 --> 00:01:29.080]  然後托提多
[00:01:29.080 --> 00:01:31.000]  他當時的一個同工
[00:01:31.000 --> 00:01:36.400]  將這封信帶到哥倫多的教會
