
[00:00:00.000 --> 00:00:02.000]  主持人:各位弟兄姊妹,平安!
[00:00:02.000 --> 00:00:04.500]  主持人:今日要和大家分享的題目是:
[00:00:04.500 --> 00:00:08.500]  「在神聖使命中,更生於信服」
[00:00:08.500 --> 00:00:13.500]  主持人:經文是記載在《約書亞記》的第五章一至五節
[00:00:13.500 --> 00:00:19.500]  主持人:不知道大家有沒有一些經歷,就是在一些很重要的時刻
[00:00:19.500 --> 00:00:27.500]  主持人:譬如說第二天,你要面對一個很重要的考試,或者是面試,或者是比賽
[00:00:27.500 --> 00:00:35.500]  主持人:在前一天,你不是很努力地去溫習、去練習、去預備
[00:00:35.500 --> 00:00:39.500]  主持人:而是去做了一些不是很相關的事情
[00:00:39.500 --> 00:00:45.500]  主持人:譬如說你去公園走走,又或者你約朋友去喝一杯咖啡
[00:00:45.500 --> 00:00:50.500]  主持人:又或者你是安靜下來,有一個很深度的祈禱
[00:00:50.500 --> 00:00:59.500]  主持人:這些事情,從結果上來看,是不會增加你對明天考試,或者面試,或者比賽的一些作用的
[00:00:59.500 --> 00:01:04.500]  主持人:因為你不會記多了一些東西,也不會練習熟習一點
[00:01:04.500 --> 00:01:09.500]  主持人:但是當你做完這些事情之後,你覺得很奇妙的就是
[00:01:09.500 --> 00:01:13.500]  主持人:你很焦躁的心能夠平靜下來
[00:01:13.500 --> 00:01:17.500]  主持人:你混亂的思緒也能夠開始變得清晰
[00:01:17.500 --> 00:01:21.500]  主持人:你就好像得到了一種很全新的內在的力量
[00:01:21.500 --> 00:01:25.500]  主持人:去面對明天那個很巨大的挑戰
[00:01:25.500 --> 00:01:29.500]  主持人:今天要分享的經文是約書雅記第五章
[00:01:29.500 --> 00:01:35.500]  主持人:在當中記載的就是這樣一個在大戰之前的奇特的準備
[00:01:35.500 --> 00:01:38.500]  主持人:他們要做什麼大戰呢?
[00:01:38.500 --> 00:01:43.500]  主持人:因為他們要準備進入迦南地的時候
[00:01:43.500 --> 00:01:47.500]  主持人:要面對第一場的戰爭,就是攻打耶利哥城
[00:01:47.500 --> 00:01:51.500]  主持人:大戰在即,他們有什麼的預備呢?
[00:01:51.500 --> 00:01:56.500]  主持人:本身要迎接戰爭的話,要做些什麼的?
[00:01:56.500 --> 00:02:00.500]  主持人:是不是應該很緊張?可能要部署很多東西,是不是?
[00:02:00.500 --> 00:02:07.500]  主持人:也可能要派一些人去偵察敵情,又或者我們要排兵佈陣
[00:02:07.500 --> 00:02:13.500]  主持人:又或者我們要多些的武器,去預備一些武器準備打仗
[00:02:13.500 --> 00:02:15.500]  主持人:但是神的命令是很奇怪的
[00:02:15.500 --> 00:02:20.500]  主持人:神是讓全軍停止前進
[00:02:20.500 --> 00:02:28.500]  主持人:讓所有的南丁接受一個可能令他們接下來幾天都走不了路的一個割禮的手術
[00:02:28.500 --> 00:02:34.500]  主持人:之後又不是馬上再去攻打耶利哥城
[00:02:34.500 --> 00:02:38.500]  主持人:而是集體去過一個如月節,好像吃大餐那樣
[00:02:38.500 --> 00:02:42.500]  主持人:聽起來好像是自廢武功,是不是?
[00:02:42.500 --> 00:02:47.500]  主持人:打仗之前還行割禮?可不可以打仗之後先行割禮?
[00:02:47.500 --> 00:02:51.500]  主持人:可能身體軟弱,不太方便打仗
[00:02:51.500 --> 00:02:58.500]  主持人:但是為什麼要搞到自己最虛弱的時候來迎戰呢?
[00:02:58.500 --> 00:03:09.500]  主持人:今天我們一起去看一看,在這麼緊張的時刻,神為什麼要祂的子民做這些看起來不太合時宜的準備呢?
[00:03:09.500 --> 00:03:16.500]  主持人:其實這個背後可能揭示一個道理,就是所有神聖使命得以成功
[00:03:16.500 --> 00:03:25.500]  主持人:最核心,卻是最容易被人忽略的一個秘訣,就是不是我們為神能夠做些什麼
[00:03:25.500 --> 00:03:29.500]  主持人:而是神在我們裡面做了些什麼
[00:03:55.500 --> 00:04:03.500]  主持人:他們的身份,並且預備他們信服的心,以迎接神聖使命的挑戰
[00:04:03.500 --> 00:04:05.500]  主持人:他們有什麼神聖的使命呢?
[00:04:05.500 --> 00:04:14.500]  主持人:我們知道在出埃及的年代,摩西重臣領受了使命,就是要大以色列人離開埃及,出埃及
[00:04:14.500 --> 00:04:17.500]  主持人:到了約書亞這一代,新的一代起來了
[00:04:17.500 --> 00:04:26.500]  主持人:他們的神聖使命就是要在約書亞的帶領下,憑著信心去跨越若幹河,征服迦南地
[00:04:26.500 --> 00:04:34.500]  主持人:並且將其作為上帝的應許之地承受為業,這個就是他們新一代的神聖使命
[00:04:34.500 --> 00:04:44.500]  主持人:所以在這裡我們看到,以色列人他們停下來,其實是神對他們的特別要求
[00:04:44.500 --> 00:04:54.500]  主持人:有時這個停頓是很重要的,是為了我們內在的生命和神的關係上,可以做一個最徹底的預備
[00:04:54.500 --> 00:04:59.500]  主持人:所以我們常常都聽到一句說話就是,停下來是為了走得更遠
[00:04:59.500 --> 00:05:04.500]  主持人:有時我們真的需要停一停,以致我們能夠走得更遠
[00:05:04.500 --> 00:05:12.500]  主持人:這段經文裡面,我們一起來看一看,神怎樣去預備以色列人,怎樣要他們停一停
[00:05:12.500 --> 00:05:20.500]  主持人:有兩方面我想大家去思想,一方面就是更新,另一方面就是信服
[00:05:20.500 --> 00:05:28.500]  主持人:我們先看看更新,首先就是更新的身份,以葛禮重建聖若群體
[00:05:28.500 --> 00:05:37.500]  主持人:在第一節到第九節是說他們透過葛禮來更新他們的身份,以確立他們是屬神的子民
[00:05:37.500 --> 00:05:48.500]  主持人:第一節是說,約旦河西阿摩利人的諸王和靠海迦南人的諸王,聽見耶和華在以色列人前面使約旦河的水乾了
[00:05:48.500 --> 00:05:55.500]  主持人:等到我們過去,他們的心因以色列人的緣故就消化了,不再有膽氣
[00:05:55.500 --> 00:06:06.500]  主持人:這節經文很厲害,它描述一個很厲害的場景,就是以色列人所向披靡,阿摩利人和迦南人聞風喪膽
[00:06:06.500 --> 00:06:15.500]  主持人:這裡也提到,那些敵人的心因以色列人的緣故就消化了,不再有膽氣
[00:06:15.500 --> 00:06:27.500]  主持人:這句經文在和合本修訂版是這樣翻譯的,眾王因以色列人的緣故都膽戰心驚,勇氣全失
[00:06:27.500 --> 00:06:34.500]  主持人:也就是說,以色列人靠氣勢就已經贏了,令到敵人聞風喪膽
[00:06:34.500 --> 00:06:44.500]  主持人:是不是以色列人很厲害?當然不是,厲害的是神,而不是以色列人
[00:06:44.500 --> 00:06:53.500]  主持人:因為是神令到他們可以過到約旦河,是神在背後承受這個神蹟
[00:06:53.500 --> 00:07:03.500]  主持人:所以在經文裏面提到,聽見耶和華,就是說耶和華才是成功的關鍵
[00:07:03.500 --> 00:07:08.500]  主持人:是他們戰勝的關鍵,而不是以色列人厲害,而是耶和華厲害
