
[00:00:00.000 --> 00:00:06.000]  也歡迎網路上的弟兄姊妹跟我們一同金牌詐媒組一同來分享神的話語。
[00:00:06.000 --> 00:00:11.000]  再過11天,就是一年一度的感恩節。
[00:00:11.000 --> 00:00:16.000]  其實11月,其實每天都是感恩的季節。
[00:00:16.000 --> 00:00:23.000]  我非常喜歡感恩節,因為感恩節提醒我們要數算神的恩典,凡事謝恩。
[00:00:23.000 --> 00:00:26.000]  想想在你生命中,神放在你生命中,
[00:00:26.000 --> 00:00:31.000]  祝福你的人,來感謝他們,來欣賞他們。
[00:00:31.000 --> 00:00:34.000]  也感謝神過去一年當中,
[00:00:34.000 --> 00:00:39.000]  神在你的生命中帶給你許許多多寶貴的恩典。
[00:00:39.000 --> 00:00:44.000]  因為一個懂得感恩的人,他也是神所喜悅的人。
[00:00:44.000 --> 00:00:51.000]  夫妻關係也是如此,要彼此感恩,彼此欣賞,彼此喜悅。
[00:00:51.000 --> 00:00:56.000]  所以在提撒羅尼加前書第5章第18節告訴我們說,
[00:00:56.000 --> 00:01:02.000]  凡事謝恩,因為這是神在基督耶穌裡向我們所定的旨意。
[00:01:02.000 --> 00:01:03.000]  阿們。
[00:01:03.000 --> 00:01:07.000]  有一天,老張的太太向他抱怨說,
[00:01:07.000 --> 00:01:12.000]  老頭子,你越來越不浪漫了。
[00:01:12.000 --> 00:01:18.000]  你不再跟我說我是全世界上最美的女人,
[00:01:18.000 --> 00:01:21.000]  當你送花給我的時候。
[00:01:21.000 --> 00:01:25.000]  這個老張就放下手機,望著她笑著說,
[00:01:25.000 --> 00:01:29.000]  親愛的,我還是會這樣對你說啊。
[00:01:29.000 --> 00:01:32.000]  只不過現在多了一個問題。
[00:01:32.000 --> 00:01:36.000]  他太太就問說,到底是什麼問題呢?
[00:01:36.000 --> 00:01:40.000]  老張就笑著回答說,
[00:01:40.000 --> 00:01:50.000]  其實我現在已經不太記得我過去曾經送給第二美人,
[00:01:50.000 --> 00:01:54.000]  第三美人的那些女人到底是誰了。
[00:01:54.000 --> 00:01:58.000]  搞得我還沒有人說,要凡事謝恩。
[00:01:58.000 --> 00:02:02.000]  是的,主要我們常常來數算神的恩典,
[00:02:02.000 --> 00:02:07.000]  因為一個懂得數算神恩典的人,也是神所喜悅的人。
[00:02:07.000 --> 00:02:11.000]  特別是我們每一位蒙恩得救的人,都是蒙受了神極大的恩典。
[00:02:11.000 --> 00:02:16.000]  因此我們從感恩的心來到神的面前,我們就是神所喜悅的人。
[00:02:16.000 --> 00:02:21.000]  告訴旁邊的人說,你是神所喜悅的人。
[00:02:21.000 --> 00:02:25.000]  神所喜悅的人有兩個特別的祝福在他們身上。
[00:02:25.000 --> 00:02:29.000]  首先,一個神所喜悅的人是充滿神同在的人。
[00:02:29.000 --> 00:02:32.000]  告訴旁邊的人說,你是充滿神同在的人。
[00:02:32.000 --> 00:02:36.000]  神所喜悅的人是充滿神同在的人。
[00:02:36.000 --> 00:02:39.000]  不論在什麼環境底下,當有神與你同在的時候,
[00:02:39.000 --> 00:02:42.000]  你凡事所做的竟都順利。
[00:02:42.000 --> 00:02:44.000]  記得月色的故事嗎?
[00:02:44.000 --> 00:02:46.000]  月神被賣到埃及去的時候,
[00:02:46.000 --> 00:02:49.000]  不論他是在護衛長波提法的家中做奴隸,
