
[00:00:00.000 --> 00:00:07.000]  上個禮拜開始,我跟大家思想聖經中信心人物的事蹟
[00:00:07.000 --> 00:00:12.000]  第一位聖經記載信心人物是阿伯
[00:00:12.000 --> 00:00:19.000]  他不是很長命,但他永遠被人紀念
[00:00:19.000 --> 00:00:24.000]  因為他的事蹟被記載在聖經裏
[00:00:24.000 --> 00:00:29.000]  也得到新約聖經的肯定
[00:00:29.000 --> 00:00:35.000]  很多時有作家說人的生命不在乎長短
[00:00:35.000 --> 00:00:39.000]  只在乎是否活得有意義
[00:00:39.000 --> 00:00:47.000]  我們要問,怎樣的人生才算是有意義的人生呢?
[00:00:47.000 --> 00:00:53.000]  我相信假如我們得到上帝的肯定
[00:00:53.000 --> 00:00:57.000]  又能夠對人類有貢獻的話
[00:00:57.000 --> 00:01:03.000]  我們的人生應該算是有意義的人生
[00:01:03.000 --> 00:01:06.000]  多一個人能夠被上帝肯定
[00:01:06.000 --> 00:01:10.000]  他就可以永遠跟上帝一同活著
[00:01:10.000 --> 00:01:13.000]  已經不枉此生
[00:01:13.000 --> 00:01:15.000]  相反一個長命的人
[00:01:15.000 --> 00:01:17.000]  無論他有多長命
[00:01:17.000 --> 00:01:21.000]  終於都會有一天離開世界
[00:01:21.000 --> 00:01:24.000]  他在世界上一切的成就
[00:01:24.000 --> 00:01:27.000]  也會隨風飄去
[00:01:27.000 --> 00:01:30.000]  他的靈魂又不能回到天家
[00:01:30.000 --> 00:01:35.000]  他就要去到地獄繼續受苦
[00:01:35.000 --> 00:01:39.000]  他的人生就沒有意義
[00:01:39.000 --> 00:01:43.000]  阿伯雖然短命,但他得到上主的肯定
[00:01:43.000 --> 00:01:48.000]  一早可以回到天家享受永恆生命的福氣
[00:01:48.000 --> 00:01:52.000]  也為人類留下了一個信心的榜樣
[00:01:52.000 --> 00:01:56.000]  幫助後人懂得去求告上主
[00:01:56.000 --> 00:02:03.000]  有時我都思考一下為何上帝要讓我們出生在這個地球
[00:02:03.000 --> 00:02:05.000]  沒有什麼答案
[00:02:05.000 --> 00:02:07.000]  不過從聖經中知道
[00:02:07.000 --> 00:02:11.000]  上帝是要人在地球上活一次
[00:02:11.000 --> 00:02:14.000]  只有一次,沒有輪迴
[00:02:14.000 --> 00:02:18.000]  沒有下一世,不能再從頭再來過
[00:02:18.000 --> 00:02:24.000]  假如我們在世上活著的時候能夠活得合乎上帝的心意
[00:02:24.000 --> 00:02:27.000]  我們就可以回到天家
[00:02:27.000 --> 00:02:30.000]  否則我們就要去地獄
[00:02:30.000 --> 00:02:35.000]  有時我都覺得我們的人生有點像一位演員
[00:02:35.000 --> 00:02:38.000]  上帝就是編劇兼導演
[00:02:38.000 --> 00:02:41.000]  假如我們演出一場好戲
[00:02:41.000 --> 00:02:43.000]  合乎導演的心意
[00:02:43.000 --> 00:02:46.000]  我們就可以回到天堂領獎
[00:02:46.000 --> 00:02:48.000]  不是領奧斯卡金像獎
[00:02:48.000 --> 00:02:52.000]  而是領上帝所賜的永恆生命獎
[00:02:52.000 --> 00:02:58.000]  那些不願意按照編劇或導演指示的人
[00:02:58.000 --> 00:03:02.000]  就可能提早出場,並且不會得獎
[00:03:02.000 --> 00:03:04.000]  就好像戈癮一樣
[00:03:04.000 --> 00:03:08.000]  他被上帝奏助,不能夠繼續做農夫
[00:03:08.000 --> 00:03:11.000]  上帝就任由他自生自滅
[00:03:11.000 --> 00:03:16.000]  根據四章十七至二十四節的記載
[00:03:16.000 --> 00:03:20.000]  戈癮的後裔就發展一些世俗文化
[00:03:20.000 --> 00:03:25.000]  包括彈琴、吹笛、鑄造銅器、鐵器
[00:03:25.000 --> 00:03:29.000]  但是那些都是著重物質的生活
[00:03:29.000 --> 00:03:32.000]  都是很自我中心
[00:03:32.000 --> 00:03:34.000]  要自己做王
[00:03:34.000 --> 00:03:37.000]  是拒絕上帝做他們的王
[00:03:37.000 --> 00:03:41.000]  戈癮的第五代孫子叫拉麥
[00:03:41.000 --> 00:03:44.000]  他說什麼呢?
[00:03:44.000 --> 00:03:47.000]  我殺害那傷害我的人
[00:03:47.000 --> 00:03:49.000]  我殺死那擊傷我的少年
[00:03:49.000 --> 00:03:52.000]  殺害戈癮的人要賠上七條命
[00:03:52.000 --> 00:03:56.000]  殺死我的人必賠上七十七條命
[00:03:56.000 --> 00:04:01.000]  四句話裡面全部都是殺殺殺殺
[00:04:01.000 --> 00:04:04.000]  充滿暴戾兇殺的情感
