
[00:00:00.000 --> 00:00:07.080]  「末日寓言」這個題目很特別,你們很少見
[00:00:07.080 --> 00:00:12.480]  大部分弟兄姊妹都知道,復活祖日
[00:00:12.480 --> 00:00:16.720]  每個禮拜天都是祭奠祖的復活
[00:00:16.720 --> 00:00:21.040]  祖第幾天復活呢?第三天復活
[00:00:21.040 --> 00:00:27.040]  但是復活之後呢,發生了很多事情
[00:00:28.840 --> 00:00:31.080]  這些事情是非常重要
[00:00:31.080 --> 00:00:36.080]  我們必須要用一點心思去思考
[00:00:36.080 --> 00:00:44.440]  末日的寓言,在耶穌什麼時候講的呢?
[00:00:44.440 --> 00:00:46.560]  感染山上
[00:00:46.560 --> 00:00:51.760]  因為祂離世的日子快到了
[00:00:51.760 --> 00:00:56.120]  下了山就要受審判
[00:00:56.960 --> 00:00:59.840]  經過剋星瑪尼園的禱告
[00:00:59.840 --> 00:01:06.080]  然後就面對猶太人的捉拿
[00:01:06.080 --> 00:01:11.720]  然後羅馬丁丁的鞭打
[00:01:11.720 --> 00:01:14.800]  耶穌就釘在死屍架上
[00:01:14.800 --> 00:01:20.760]  在感染山上,耶穌講到
[00:01:21.840 --> 00:01:29.040]  這個殿,不久以後,將會沒有一個石頭落在一個石頭上
[00:01:29.040 --> 00:01:30.520]  記得嗎?
[00:01:30.520 --> 00:01:36.000]  然後耶穌講了很多末日的寓言
[00:01:36.000 --> 00:01:43.080]  然後耶穌說,那日子那時辰,子也不知道
[00:01:43.080 --> 00:01:46.480]  唯獨父知道,對不對?
[00:01:49.840 --> 00:01:52.960]  然後耶穌又用無花果樹做個比喻
[00:01:52.960 --> 00:02:00.560]  講到的,你們看到無花果樹長嫩葉的時候
[00:02:00.560 --> 00:02:04.080]  人子就在門口了
[00:02:04.080 --> 00:02:07.720]  大家都很熟這些經文的
[00:02:07.720 --> 00:02:14.920]  最難解的就是這個世代還沒有過去,這一切事情都要成就
[00:02:17.320 --> 00:02:20.920]  你看,我們大家都很熟聖經啊,很好啊
[00:02:20.920 --> 00:02:27.200]  大家知不知道,這些經文是在什麼時候寫的?
[00:02:27.200 --> 00:02:34.240]  是在耶穌復活之前寫的,還是耶穌復活之後寫的?
[00:02:34.240 --> 00:02:41.560]  在耶穌復活之前,耶穌所發生的事
[00:02:42.040 --> 00:02:48.520]  但這一切的事的記載,是在耶穌復活之後跟門徒討論
[00:02:48.520 --> 00:02:51.200]  門徒寫下的筆記
[00:02:51.200 --> 00:02:55.200]  然後到耶穌升天之前
[00:02:55.200 --> 00:02:58.760]  以色列人,門徒來問耶穌
[00:02:58.760 --> 00:03:02.720]  你德國,以色列要復興的時候,是不是在這時候啦?
[00:03:02.720 --> 00:03:07.280]  耶穌有沒有說,子也不知道,唯獨父知道,有沒有?
[00:03:07.280 --> 00:03:08.320]  沒有
[00:03:11.480 --> 00:03:13.000]  耶穌不再說,為什麼?
[00:03:13.000 --> 00:03:17.320]  大家想一想,耶穌復活之後見了父的面
[00:03:17.320 --> 00:03:23.080]  耶穌復活之後,還會什麼都不知道嗎?
[00:03:23.080 --> 00:03:30.640]  保羅說什麼?我們如今對著鏡子觀看,模糊不清
[00:03:30.640 --> 00:03:34.920]  但是到那日怎麼樣?一切都清楚了
[00:03:34.920 --> 00:03:37.600]  是不是?
[00:03:37.600 --> 00:03:40.520]  所以耶穌復活以後
[00:03:41.480 --> 00:03:44.360]  全都知道了
[00:03:44.360 --> 00:03:48.120]  只是耶穌對門徒說
[00:03:48.120 --> 00:03:53.600]  這個以色列復國的事情,不是你們可以知道的
[00:03:53.600 --> 00:03:56.480]  是你們現在這一代人不可以知道
[00:03:56.480 --> 00:03:59.720]  明白了嗎?
