
[00:00:00.000 --> 00:00:04.700]  剛才主席的禱告裡面也提到我們人生有高和低
[00:00:04.700 --> 00:00:07.900]  我也不知道明年會有多少高和低
[00:00:07.900 --> 00:00:10.800]  但我願上帝與你同行
[00:00:10.800 --> 00:00:13.000]  叫你更深的經歷基督
[00:00:13.000 --> 00:00:15.600]  更加有力的去生活
[00:00:15.600 --> 00:00:19.700]  而你的生命更加燦爛和光輝
[00:00:19.700 --> 00:00:21.900]  說起燦爛光輝
[00:00:21.900 --> 00:00:23.400]  我想問問大家
[00:00:23.400 --> 00:00:27.900]  昨晚有沒有看過煙花會宴?
[00:00:27.900 --> 00:00:30.100]  有沒有人在電視看過
[00:00:30.100 --> 00:00:32.100]  或者去到海邊看過呢?
[00:00:32.100 --> 00:00:35.900]  你會感受到那種燈火璀璨
[00:00:35.900 --> 00:00:38.400]  閃耀整個維多利亞港
[00:00:38.400 --> 00:00:42.400]  今天我要跟你說一個更加燦爛的故事
[00:00:42.400 --> 00:00:44.400]  一個真實的故事
[00:00:44.400 --> 00:00:48.900]  就是耶穌登山變像這個故事
[00:00:48.900 --> 00:00:56.700]  很多基督徒都看過這段經文的故事
[00:00:56.700 --> 00:01:01.900]  其實四幅音裡面有三卷福音書記載了這件事
[00:01:01.900 --> 00:01:05.200]  就是馬太、馬可和路加
[00:01:05.200 --> 00:01:08.100]  有些基督徒看聖經相當詳細
[00:01:08.100 --> 00:01:10.100]  他又會問牧師
[00:01:10.100 --> 00:01:13.300]  登山變像這件事很有趣
[00:01:13.300 --> 00:01:18.700]  無端端的好像在聖經的馬可福音書裡面
[00:01:18.700 --> 00:01:22.100]  跟其他聖人文夏里好像沒有什麼關係
[00:01:22.100 --> 00:01:24.600]  就好像一個平原有一座山
[00:01:24.600 --> 00:01:26.100]  為什麼這麼有趣呢?
[00:01:26.100 --> 00:01:29.100]  突然間講了登山變像
[00:01:29.100 --> 00:01:33.600]  有一些弟兄姐妹又會問我
[00:01:33.600 --> 00:01:38.100]  上帝設立這個登山變像是為誰定的呢?
[00:01:38.100 --> 00:01:40.300]  是為耶穌基督而設立嗎?
[00:01:40.300 --> 00:01:42.500]  還是為摩西爾利亞?
[00:01:42.500 --> 00:01:44.300]  還是為門徒?
[00:01:44.300 --> 00:01:48.100]  今天我們會去思想這個問題
[00:01:48.100 --> 00:01:52.900]  其實這個登山變像是非常榮耀燦爛
[00:01:52.900 --> 00:01:55.900]  如果你細心去思考的話
[00:01:55.900 --> 00:02:00.900]  更好看過維港的煙花會宴
[00:02:00.900 --> 00:02:05.700]  而且裡面有很多屬靈的真理和教訓
[00:02:05.700 --> 00:02:07.400]  叫你受益不盡
[00:02:07.400 --> 00:02:09.900]  所以今天我們來到神的面前
[00:02:09.900 --> 00:02:12.100]  我們躺開自己的心懷
[00:02:12.100 --> 00:02:15.900]  用謙卑的心來看看上帝
[00:02:15.900 --> 00:02:17.700]  今天在大年初三
[00:02:17.700 --> 00:02:21.400]  要跟你講一些什麼話
[00:02:21.400 --> 00:02:25.200]  其實這個登山變像這個故事
[00:02:25.200 --> 00:02:30.400]  跟上文下理是有關係的
[00:02:30.400 --> 00:02:34.400]  聖經記載耶穌過了六天就跟他們登山
[00:02:34.400 --> 00:02:36.700]  六天前發生什麼事呢?
[00:02:36.700 --> 00:02:38.200]  原來在六天前
[00:02:38.200 --> 00:02:42.900]  是耶穌基督向門徒講了一個重要的啟示
[00:02:42.900 --> 00:02:47.600]  又給他們一個嚴厲的教訓
[00:02:47.600 --> 00:02:52.400]  令到門徒心裡有點疑問、有點忐忑
[00:02:52.400 --> 00:02:55.500]  但是六天後耶穌基督就跟進
[00:02:55.500 --> 00:03:00.600]  我們看看六天前耶穌講的啟示是什麼啟示
[00:03:00.600 --> 00:03:03.200]  如果你轉到前一章
[00:03:03.200 --> 00:03:05.800]  第八章二十七節那裡
[00:03:05.800 --> 00:03:07.300]  就要講了
[00:03:07.300 --> 00:03:09.600]  耶穌就問門徒
[00:03:09.600 --> 00:03:13.400]  外面的人說我是誰呢?
[00:03:13.400 --> 00:03:14.100]  門徒說
[00:03:14.100 --> 00:03:16.300]  他們有人說你是施洗一項
[00:03:16.300 --> 00:03:19.800]  就是被希露王殺了的施洗一項復活
[00:03:19.800 --> 00:03:23.600]  有人說你是先知
[00:03:23.600 --> 00:03:25.300]  或者是以利亞
[00:03:25.300 --> 00:03:27.000]  耶穌基督就問他們
[00:03:27.000 --> 00:03:31.100]  你們說我是誰?
[00:03:31.100 --> 00:03:34.900]  在那個時候彼得突然間很厲害
[00:03:34.900 --> 00:03:36.200]  精靈起來
[00:03:36.200 --> 00:03:39.400]  他說你是基督是永生神的兒子
[00:03:39.400 --> 00:03:41.400]  就是說你就是上帝
[00:03:41.400 --> 00:03:44.400]  彼得平時說話又錯多過對的
[00:03:44.400 --> 00:03:46.000]  這次就很厲害
[00:03:46.000 --> 00:03:50.800]  彼得就想起我小時候跟家人出去拜年
[00:03:50.800 --> 00:03:53.600]  我爸爸也有點害怕
[00:03:53.600 --> 00:03:57.700]  他害怕我新年來不該說的話
[00:03:57.700 --> 00:03:58.800]  說錯話
[00:03:58.800 --> 00:04:00.800]  但是彼得這次就沒有錯
[00:04:00.800 --> 00:04:01.700]  很對
[00:04:01.700 --> 00:04:03.100]  耶穌稱讚他
[00:04:03.100 --> 00:04:05.700]  《馬可福音》沒有說耶穌怎樣稱讚他
[00:04:05.700 --> 00:04:08.400]  但是如果看《馬太福音》就厲害了
[00:04:08.400 --> 00:04:10.600]  耶穌說你是有福的
[00:04:10.600 --> 00:04:15.300]  你所說的是上帝指示你的
[00:04:15.300 --> 00:04:16.700]  我要叫你做彼得
[00:04:16.700 --> 00:04:17.900]  更改了他的名字
[00:04:17.900 --> 00:04:20.000]  因為說一句話而有一個新的名字
[00:04:20.000 --> 00:04:20.600]  彼得
[00:04:20.600 --> 00:04:23.500]  彼得就是盤石一個很大的石
[00:04:23.500 --> 00:04:26.700]  我要將教會建立在這個盤石上
[00:04:26.700 --> 00:04:31.000]  陰間的權勢不能勝過他
[00:04:31.000 --> 00:04:33.300]  如果你是彼得就很厲害了
[00:04:33.300 --> 00:04:36.400]  無緣無故傻傻說一句對的話
[00:04:36.400 --> 00:04:38.400]  原來有這麼大的祝福
[00:04:38.400 --> 00:04:39.700]  彼得很開心
[00:04:39.700 --> 00:04:42.200]  誰知道說話還沒完就闖禍了
[00:04:42.200 --> 00:04:46.700]  因為耶穌接著說我要到耶路撒冷
[00:04:46.700 --> 00:04:49.700]  受很多苦
[00:04:49.700 --> 00:04:50.800]  被殺
[00:04:50.800 --> 00:04:52.500]  然後復活
[00:04:52.500 --> 00:04:55.100]  彼得見義勇為
[00:04:55.100 --> 00:04:56.500]  他就馬上說
[00:04:56.500 --> 00:05:00.700]  耶穌千萬不要做這樣的事
[00:05:00.700 --> 00:05:02.600]  主啊!萬不可如此
[00:05:02.600 --> 00:05:05.300]  這事必不臨到你身上
[00:05:05.300 --> 00:05:06.700]  那麼耶穌怎樣回答他?
[00:05:06.700 --> 00:05:07.600]  耶穌回答他
[00:05:07.600 --> 00:05:08.400]  撒旦
[00:05:08.400 --> 00:05:09.800]  退我後面去吧
[00:05:09.800 --> 00:05:12.300]  因為你不體貼人的意思
[00:05:12.300 --> 00:05:13.600]  只體貼人
[00:05:13.600 --> 00:05:15.600]  不體貼神的意思
[00:05:15.600 --> 00:05:17.500]  只體貼人的意思
[00:05:17.500 --> 00:05:19.800]  耶穌很少這麼嚴厲罵人
[00:05:19.800 --> 00:05:21.700]  還罵我自己的門徒
[00:05:21.700 --> 00:05:24.600]  還罵我剛剛稱讚過他的門徒
[00:05:24.600 --> 00:05:25.800]  如果你是彼得
[00:05:25.800 --> 00:05:29.800]  你就好像從天堂掉到地獄一樣
[00:05:29.800 --> 00:05:31.800]  彼得當然不是撒旦
[00:05:31.800 --> 00:05:34.100]  不過彼得所說這句話
[00:05:34.100 --> 00:05:39.000]  他背後的心意是從撒旦而來
[00:05:39.000 --> 00:05:43.300]  你知不知道魔鬼通常誘惑我們
[00:05:43.300 --> 00:05:48.200]  他最想我們不體貼神的意思
[00:05:48.200 --> 00:05:50.100]  只體貼人的意思
[00:05:50.100 --> 00:05:52.200]  很多時候我們的心思意念
[00:05:52.200 --> 00:05:54.900]  是從人的方面出發
