
[00:00:00.000 --> 00:00:04.600]  最近一年裡面就開始陸陸續續的有人就會住到我們家裡頭來
[00:00:04.600 --> 00:00:08.960]  然後這個月特別的忽然間的就很熱鬧
[00:00:08.960 --> 00:00:14.600]  那這個熱鬧的情況每一幕都是上帝的恩典
[00:00:14.600 --> 00:00:16.900]  祂的豐盛的祝福
[00:00:16.900 --> 00:00:20.740]  所以我實在是非常的感恩
[00:00:20.740 --> 00:00:26.880]  而且我也體會到在我們基督徒的生命中實在是非常的有趣
[00:00:26.880 --> 00:00:28.920]  而且是充滿喜樂的
[00:00:30.200 --> 00:00:34.560]  但是我們基督徒生命中還有一個事情是很重要的
[00:00:34.560 --> 00:00:39.680]  就是我們要常常的自我來省察來思考
[00:00:39.680 --> 00:00:42.760]  藉著禱告我們來到主的面前
[00:00:42.760 --> 00:00:44.800]  讓聖靈來光照我們
[00:00:44.800 --> 00:00:46.840]  上個主日
[00:00:46.840 --> 00:00:49.660]  我們在教會裡面慶祝猶太新年
[00:00:49.660 --> 00:00:51.440]  大家都很喜樂
[00:00:51.440 --> 00:00:55.800]  牧師讓我們用希伯來語說
[00:00:57.080 --> 00:01:02.960]  Shana Toba就是彼此來問候
[00:01:02.960 --> 00:01:08.080]  其實在之前的禮拜六晚上我也發信息鼓勵弟兄姊妹
[00:01:08.080 --> 00:01:12.180]  大家要用一個敬虔的心來領受上帝的祝福
[00:01:12.180 --> 00:01:17.300]  所以主日那天大家其實都是很高高興興的在參與
[00:01:17.300 --> 00:01:21.140]  那除了我們吃以旺的那個麵包是一個
[00:01:21.140 --> 00:01:25.240]  一個highlight大家都很興奮喔越吃越高興那個highlight
[00:01:25.500 --> 00:01:29.080]  之外我不曉得你們有沒有思考過
[00:01:29.080 --> 00:01:31.380]  在那個整個步驟裡面
[00:01:31.380 --> 00:01:36.500]  哪一樣是最吸引你心的
[00:01:36.500 --> 00:01:39.060]  我們在整個步驟裡面
[00:01:39.060 --> 00:01:44.440]  在這個禮拜裡面呢我自己呢就一直在主的面前求神幫助我
[00:01:44.440 --> 00:01:47.760]  怎麼樣來處理我生命中的軟弱
[00:01:47.760 --> 00:01:52.880]  就是我丟到那個黃色的小紙桶裡面去
[00:01:53.140 --> 00:01:59.540]  那紙上面的嘴感謝主上個禮拜我們慶祝了5776年的
[00:01:59.540 --> 00:02:01.080]  猶太新年
[00:02:01.080 --> 00:02:04.140]  然後到下個禮拜三
[00:02:04.140 --> 00:02:06.200]  就是23號那天
[00:02:06.200 --> 00:02:09.020]  就是長達10天的贖罪日
[00:02:09.020 --> 00:02:12.080]  叫做Yom Kippur
[00:02:12.080 --> 00:02:17.720]  這10天呢叫做敬畏的日子
[00:02:17.720 --> 00:02:21.040]  猶太人呢以色列人呢在這段時間裡面
[00:02:21.040 --> 00:02:22.840]  他們就特別安靜的
[00:02:23.100 --> 00:02:25.140]  在神的面前
