
[00:00:00.000 --> 00:00:02.920]  格林多前書第四章第二節
[00:00:02.920 --> 00:00:05.240]  這一節的聖經我們一同來唸來
[00:00:05.240 --> 00:00:08.840]  所求於管家的是要他有忠心
[00:00:08.840 --> 00:00:09.840]  我們再讀一遍來
[00:00:09.840 --> 00:00:13.800]  所求於管家的是要他有忠心
[00:00:13.800 --> 00:00:15.200]  好,我們就讀到這裡
[00:00:15.200 --> 00:00:17.000]  我想今天來到教會
[00:00:17.000 --> 00:00:19.480]  一定注意到很不一樣的景象
[00:00:19.480 --> 00:00:21.000]  上禮拜三
[00:00:21.000 --> 00:00:23.560]  Shakina Glory 聖殿的牆壁
[00:00:23.560 --> 00:00:25.280]  已經第一部分的牆壁
[00:00:25.280 --> 00:00:26.480]  已經被樹立起來
[00:00:26.480 --> 00:00:27.280]  Amen
[00:00:27.280 --> 00:00:28.280]  Hallelujah
[00:00:31.000 --> 00:00:36.000]  這十二片牆每片都是一百一十噸
[00:00:36.000 --> 00:00:39.000]  超過二十萬磅
[00:00:39.000 --> 00:00:41.000]  我們必須要租用灣區
[00:00:41.000 --> 00:00:44.000]  最大的一個吊車
[00:00:44.000 --> 00:00:47.000]  才能把每一片牆吊起來
[00:00:47.000 --> 00:00:50.000]  然後把它們安插在正確的位置上
[00:00:50.000 --> 00:00:54.000]  然後一片一片把它連結在一起
[00:00:54.000 --> 00:00:56.000]  那個影片我看只有幾秒鐘
[00:00:56.000 --> 00:00:58.000]  事實上禮拜三中早上七點
[00:00:58.000 --> 00:01:00.000]  一直到下午五點
[00:01:00.000 --> 00:01:03.000]  最後一片才安裝好
[00:01:03.000 --> 00:01:06.000]  那天當我們看了這一片一片牆
[00:01:06.000 --> 00:01:08.000]  被連結在一起的時候
[00:01:08.000 --> 00:01:10.000]  心中真的很激動
[00:01:10.000 --> 00:01:13.000]  嘿,神所應許Shakina Glory 聖殿
[00:01:13.000 --> 00:01:15.000]  就要被建造起來了
[00:01:15.000 --> 00:01:18.000]  Hallelujah, Amen
[00:01:18.000 --> 00:01:21.000]  特別是當你第一次看見
[00:01:21.000 --> 00:01:23.000]  這些牆被樹立起來的時候
[00:01:23.000 --> 00:01:24.000]  哇,我告訴你
[00:01:24.000 --> 00:01:27.000]  每一片都這麼高大
[00:01:27.000 --> 00:01:29.000]  哇,我沒想到這麼高大
[00:01:29.000 --> 00:01:32.000]  有一種直衝雲霄的感覺
[00:01:32.000 --> 00:01:33.000]  我第一個反應說
[00:01:33.000 --> 00:01:38.000]  哇,This is the Great Wall, you know
[00:01:38.000 --> 00:01:40.000]  你要去哪裡找Great Wall
[00:01:40.000 --> 00:01:41.000]  這就是Great Wall
[00:01:41.000 --> 00:01:44.000]  一看見你不能夠不心存敬畏
[00:01:44.000 --> 00:01:48.000]  我們真的偉大奇妙的真神,Amen
[00:01:48.000 --> 00:01:51.000]  第二點,每一次當你看見這一片牆壁的時候
