
[00:00:00.000 --> 00:00:05.000]  弟兄姐妹朋友們 早安
[00:00:05.000 --> 00:00:07.000]  今天真是好棒
[00:00:07.000 --> 00:00:09.000]  不光是耶穌復活了
[00:00:09.000 --> 00:00:12.000]  我們都復活了 是不是
[00:00:12.000 --> 00:00:13.000]  哈勒路亞 是
[00:00:13.000 --> 00:00:16.000]  今天呢 我們要來
[00:00:16.000 --> 00:00:21.000]  再一次來經歷 耶穌復活的盼望
[00:00:21.000 --> 00:00:24.000]  您知道嗎 我們過去啊
[00:00:24.000 --> 00:00:27.000]  講過許許多多的
[00:00:27.000 --> 00:00:30.000]  譬如說我們上禮拜
[00:00:30.000 --> 00:00:32.000]  我們講中宿節
[00:00:32.000 --> 00:00:34.000]  我們講月節
[00:00:34.000 --> 00:00:36.000]  我們講受難日
[00:00:36.000 --> 00:00:38.000]  甚至我們還在這裡吃
[00:00:38.000 --> 00:00:41.000]  月節的晚餐 是不是
[00:00:41.000 --> 00:00:46.000]  這都是在那一個禮拜發生的事情
[00:00:46.000 --> 00:00:50.000]  在中宿節就是上個禮拜天
[00:00:50.000 --> 00:00:54.000]  耶穌騎著毛驢 小驢居進聖城
[00:00:54.000 --> 00:00:57.000]  老百姓手拿中宿之口唱和善
[00:00:57.000 --> 00:01:01.000]  那歡迎耶穌基督 是不是
[00:01:01.000 --> 00:01:04.000]  那麼到了禮拜四
[00:01:04.000 --> 00:01:06.000]  就是月節
[00:01:06.000 --> 00:01:08.000]  他就吃月節的晚餐
[00:01:08.000 --> 00:01:11.000]  他又為門徒洗腳
[00:01:11.000 --> 00:01:14.000]  他又再一次掰餅
[00:01:14.000 --> 00:01:18.000]  就好像我們禮拜五晚上做的
[00:01:18.000 --> 00:01:22.000]  然後他吃完了月節的晚餐
[00:01:22.000 --> 00:01:25.000]  他就轉到克西瑪黎原去禱告
[00:01:25.000 --> 00:01:28.000]  禱告過了半夜的時候
[00:01:28.000 --> 00:01:32.000]  就被大祭司還有柴派人來
[00:01:32.000 --> 00:01:34.000]  把他抓了
[00:01:34.000 --> 00:01:37.000]  他就一個晚上受審
[00:01:37.000 --> 00:01:41.000]  然後第二天就背著獅子架
[00:01:41.000 --> 00:01:44.000]  走獅架苦路
[00:01:44.000 --> 00:01:46.000]  然後一路到各個他
[00:01:46.000 --> 00:01:48.000]  然後被釘死
[00:01:48.000 --> 00:01:50.000]  當他死了
[00:01:50.000 --> 00:01:52.000]  人把他屍體拿下來
[00:01:52.000 --> 00:01:55.000]  葬在墓穴裡面去
[00:01:55.000 --> 00:01:59.000]  那是禮拜五的晚上
[00:01:59.000 --> 00:02:02.000]  他禮拜六墓穴靜默了一天
[00:02:02.000 --> 00:02:05.000]  禮拜天當婦女
[00:02:05.000 --> 00:02:08.000]  好幾個瑪利亞跑去墓穴
[00:02:08.000 --> 00:02:10.000]  因為他們想
[00:02:10.000 --> 00:02:13.000]  我們都沒有給耶穌好好的膏膜
[00:02:13.000 --> 00:02:16.000]  或者塗上乳香墨藥
[00:02:16.000 --> 00:02:20.000]  所以他們帶了香料要去給耶穌膏膜
[00:02:20.000 --> 00:02:24.000]  結果發現墓穴門是打開的
[00:02:24.000 --> 00:02:27.000]  耶穌已經復活了
[00:02:27.000 --> 00:02:29.000]  甚至聖經上面說
[00:02:29.000 --> 00:02:33.000]  幾個瑪利亞在那邊看不到耶穌
[00:02:33.000 --> 00:02:35.000]  忽然有一個天使說
[00:02:35.000 --> 00:02:37.000]  你們找什麼
[00:02:37.000 --> 00:02:38.000]  你們找誰
[00:02:38.000 --> 00:02:41.000]  他們說我們找耶穌
[00:02:41.000 --> 00:02:44.000]  然後天使說耶穌已經復活了
[00:02:44.000 --> 00:02:46.000]  哈利路亞 感謝神
[00:02:46.000 --> 00:02:49.000]  這是耶穌的復活
[00:02:49.000 --> 00:02:51.000]  那麼過去這一個週
[00:02:51.000 --> 00:02:55.000]  過去這麼多年來
[00:02:55.000 --> 00:02:59.000]  我們都會在月節這個週
[00:02:59.000 --> 00:03:01.000]  我們會辦許許多多的
[00:03:01.000 --> 00:03:05.000]  教導性的慶祝活動
[00:03:05.000 --> 00:03:08.000]  甚至於我們有講過
[00:03:08.000 --> 00:03:12.000]  譬如說十駕七言
[00:03:12.000 --> 00:03:14.000]  耶穌在十字架上
[00:03:14.000 --> 00:03:16.000]  他講過什麼哪七句話
[00:03:16.000 --> 00:03:17.000]  譬如說是
