
[00:00:00.000 --> 00:00:03.780]  我們昨晚看了打耶利哥城
[00:00:03.780 --> 00:00:06.540]  記不記得他們走了多少次?
[00:00:06.540 --> 00:00:08.180]  13次
[00:00:08.180 --> 00:00:10.180]  最難的是甚麼問題?
[00:00:10.180 --> 00:00:12.860]  就是不准出聲
[00:00:12.860 --> 00:00:15.900]  但我們不要輕忽
[00:00:15.900 --> 00:00:18.820]  他們打耶利哥城之前還要做甚麼?
[00:00:18.820 --> 00:00:20.860]  守禦節
[00:00:20.860 --> 00:00:22.860]  這是很重要的教導
[00:00:22.860 --> 00:00:25.900]  我希望大家會繼續理解
[00:00:25.900 --> 00:00:27.540]  我帶領大家祈禱之前
[00:00:27.540 --> 00:00:28.740]  我再想問一件事
[00:00:29.140 --> 00:00:30.980]  今晚在我們裏面
[00:00:30.980 --> 00:00:33.260]  有誰是第一次來的?請舉手
[00:00:33.260 --> 00:00:35.780]  很難得
[00:00:35.780 --> 00:00:37.700]  正在下風雪都是第一次來
[00:00:37.700 --> 00:00:38.620]  多謝你
[00:00:38.620 --> 00:00:40.900]  有誰已經來了兩晚的?請舉手
[00:00:40.900 --> 00:00:43.740]  都不少
[00:00:43.740 --> 00:00:46.860]  可不可以來了三晚的請你站起來
[00:00:46.860 --> 00:00:48.140]  是站起來
[00:00:48.140 --> 00:00:50.620]  我們用掌聲去多謝他們
[00:00:50.620 --> 00:00:52.420]  連續三晚的
[00:00:52.420 --> 00:00:54.100]  多謝你,多謝你,很清楚
[00:00:54.100 --> 00:00:57.740]  求神你有祝福你們每一個
[00:00:57.740 --> 00:00:59.740]  在我們領受今晚的訊息的時候
[00:00:59.740 --> 00:01:01.180]  我們再一次來個低頭
[00:01:01.180 --> 00:01:02.060]  我們禱告
[00:01:02.060 --> 00:01:04.420]  天王我們懇求你親自用你的話語
[00:01:04.420 --> 00:01:06.260]  成為我們生命的幫助和激勵
[00:01:06.260 --> 00:01:07.420]  透過你的話語
[00:01:07.420 --> 00:01:09.940]  讓我們懂得如何去面對前面的日子
[00:01:09.940 --> 00:01:11.380]  教我們有反省
[00:01:11.380 --> 00:01:13.260]  免得我們成為別人的絆腳石
[00:01:13.260 --> 00:01:15.220]  求主你親自來祝福
[00:01:15.220 --> 00:01:16.780]  聽我們面前的祈禱交托
[00:01:16.780 --> 00:01:18.060]  乃奉主得聖人命
[00:01:18.060 --> 00:01:18.860]  Amen
[00:01:18.860 --> 00:01:20.580]  我們看到
[00:01:20.580 --> 00:01:23.620]  當我們進入迦南美地
[00:01:23.620 --> 00:01:25.020]  面對第一場的戰爭
[00:01:25.020 --> 00:01:26.820]  就是耶利哥的戰爭
[00:01:27.060 --> 00:01:28.900]  這個很難打的戰爭
[00:01:28.900 --> 00:01:30.180]  但是用一個
[00:01:30.180 --> 00:01:32.580]  似乎他們意料之外的方法
[00:01:32.580 --> 00:01:33.980]  行十三次
[00:01:33.980 --> 00:01:35.540]  然後大聲呼喊
[00:01:35.540 --> 00:01:37.140]  於是城就倒塌
[00:01:37.140 --> 00:01:38.820]  他們就贏了這場仗
[00:01:38.820 --> 00:01:41.820]  接著他們去城城追擊
[00:01:41.820 --> 00:01:43.500]  他們要去打艾城
[00:01:43.500 --> 00:01:45.140]  但是怎麼想到
[00:01:45.140 --> 00:01:46.700]  在艾城裏面
[00:01:46.700 --> 00:01:49.420]  他們竟然輸了這場仗
[00:01:49.420 --> 00:01:51.060]  我們一起去讀
[00:01:51.060 --> 00:01:54.980]  這段經文就知道艾城整個城裏面
[00:01:54.980 --> 00:01:56.340]  大概有多少人
[00:01:56.340 --> 00:01:57.460]  我們一起去讀
[00:01:57.460 --> 00:02:09.060]  原來艾城整個城的人口
[00:02:09.060 --> 00:02:10.860]  只是一萬二千人
[00:02:10.860 --> 00:02:13.900]  我想我們這個城市都比它多
[00:02:13.900 --> 00:02:16.060]  這是一個很小的城
[00:02:16.060 --> 00:02:19.100]  如果和耶利哥城來比較
[00:02:19.100 --> 00:02:20.140]  可以說是
[00:02:20.140 --> 00:02:21.980]  小巫見大巫
[00:02:21.980 --> 00:02:24.420]  但是他們在這場仗裏面
[00:02:24.420 --> 00:02:25.340]  竟然
[00:02:25.940 --> 00:02:27.340]  有人被殺
