
[00:00:00.000 --> 00:00:03.000]  主持人:我們領悟神的位置之前,我們再一次低頭禱告:
[00:00:03.000 --> 00:00:08.500]  天王,多謝祢給孩子有機會來大園服侍祢,願以神利用祢的話語成為我們的提醒和幫助,
[00:00:08.500 --> 00:00:14.500]  祈求我們不是慣上帝來敬拜祢之下,但我們又已經忘記了背後的意義,
[00:00:14.500 --> 00:00:16.000]  祝福我們,帶領我們有日的時間,
[00:00:16.000 --> 00:00:17.500]  祈禱拉奉主,得聖的名。
[00:00:17.500 --> 00:00:18.500]  Amen
[00:00:18.500 --> 00:00:23.000]  主持人:很多基督徒他們是很好的,每個禮拜都會出席崇拜,
[00:00:23.000 --> 00:00:27.500]  都有奉獻,奉獻袋傳過來,又會放些錢進去,
[00:00:27.500 --> 00:00:30.500]  總好過有些人不是很行賞,
[00:00:30.500 --> 00:00:33.500]  有時候他們一個月可能只出席一兩次,
[00:00:33.500 --> 00:00:37.500]  但當奉獻袋傳過來的時候,可能好像看不到,
[00:00:37.500 --> 00:00:41.500]  自運高就過去了,就傳過去了,
[00:00:41.500 --> 00:00:44.500]  但是有時候會不會太慣常做一些事情,
[00:00:44.500 --> 00:00:48.500]  以致我們忘記了背後的意義呢?
[00:00:48.500 --> 00:00:51.500]  所以今天會和大家在生命記第26章裡面,
[00:00:51.500 --> 00:00:57.500]  去探討那個敬拜和呈獻的意義在哪裡。
[00:00:57.500 --> 00:01:00.500]  如果你留意到第26章裡面就記載了神的律法,
[00:01:00.500 --> 00:01:04.500]  是要求他們進入一個流奶與蜜之地,
[00:01:04.500 --> 00:01:08.500]  他們要將初熟的果子呈獻給神,
[00:01:08.500 --> 00:01:12.500]  和另外一種很特別的十分之一的奉獻。
[00:01:12.500 --> 00:01:16.500]  接著就會和大家講到他們要遵守神的律法,
[00:01:16.500 --> 00:01:18.500]  我們會和大家從這方面來看,
[00:01:18.500 --> 00:01:22.500]  第一就是神要求人有一個特定的地方,
[00:01:22.500 --> 00:01:24.500]  來帶他去敬拜神。
[00:01:24.500 --> 00:01:28.500]  我們一起來讀生命記第26章第一第二兩節,
[00:01:28.500 --> 00:01:31.500]  生命記第26章第一第二兩節,我們一起讀出。
[00:01:31.500 --> 00:01:34.500]  「你進去得了耶和華,
[00:01:34.500 --> 00:01:38.500]  你神所賜你為業之地居住,
[00:01:38.500 --> 00:01:42.500]  就要從耶和華,你神賜你的地上,
[00:01:42.500 --> 00:01:47.500]  將所收的各種初熟的普產取奢羅,
[00:01:47.500 --> 00:01:49.500]  承載康子裡。
[00:01:49.500 --> 00:01:52.500]  往耶和華,你神所選擇,
[00:01:52.500 --> 00:01:55.500]  要立他名的居所去。」
[00:01:55.500 --> 00:02:00.500]  神很清楚講,你們進入這個流奶與蜜之地的時候,
[00:02:00.500 --> 00:02:03.500]  當你們有這個初熟的果子,
[00:02:03.500 --> 00:02:05.500]  要將這些果子帶去那裡呢?
[00:02:05.500 --> 00:02:09.500]  就是神所揀選要立為他名的居所,
[00:02:09.500 --> 00:02:12.500]  這個是指到一個特定的地方。
[00:02:12.500 --> 00:02:14.500]  從神的角度或者我們的思維,
[00:02:14.500 --> 00:02:16.500]  我們都知道我們的神是無所不在的,
[00:02:16.500 --> 00:02:20.500]  整個大地甚至宇宙都是神所擁有的。
[00:02:20.500 --> 00:02:24.500]  為什麼要在一個特定的地方呢?
[00:02:24.500 --> 00:02:26.500]  其實神很特別,
[00:02:26.500 --> 00:02:29.500]  會選擇一些地方跟人有相遇的。
[00:02:29.500 --> 00:02:33.500]  伯特利,你記得就是神跟雅各相遇的地方。
[00:02:33.500 --> 00:02:36.500]  西乃山,是神父趙摩西上山,
[00:02:36.500 --> 00:02:39.500]  與他尼達去相會的。
[00:02:39.500 --> 00:02:41.500]  意思是人在曠野裡面的時候,
[00:02:41.500 --> 00:02:43.500]  神立下了會幕,
[00:02:43.500 --> 00:02:47.500]  這個會幕就是他們尼達去朝見神的地方。
[00:02:47.500 --> 00:02:49.500]  當他們有王國的時候,
[00:02:49.500 --> 00:02:52.500]  他們會尼達去見聖殿,
[00:02:52.500 --> 00:02:55.500]  聖殿就是指紋尼達去敬拜神。
[00:02:55.500 --> 00:02:56.500]  所以你留意到,
[00:02:56.500 --> 00:02:59.500]  神的榮耀其實在每一個地方都彰顯,
[00:02:59.500 --> 00:03:02.500]  大神會特別揀選一個地方,
[00:03:02.500 --> 00:03:05.500]  讓人跟他有相交的。
[00:03:05.500 --> 00:03:07.500]  很簡單舉個例子,
[00:03:07.500 --> 00:03:09.500]  今天我經常都很怕,
[00:03:09.500 --> 00:03:12.500]  我們在家裡太多熟悉的陌生人,
[00:03:12.500 --> 00:03:13.500]  為什麼呢?
[00:03:13.500 --> 00:03:15.500]  可能我們住在幾百尺的地方,
[00:03:15.500 --> 00:03:17.500]  其實現在幾百尺都很好了,
[00:03:17.500 --> 00:03:19.500]  比二百多尺的地方好。
[00:03:19.500 --> 00:03:20.500]  地方很小,
[00:03:20.500 --> 00:03:24.500]  但是有時候在家裡各有各自己的活動,
[00:03:24.500 --> 00:03:26.500]  可能兩夫婦或者兩代之間,
[00:03:26.500 --> 00:03:28.500]  一個上網看劇集,
[00:03:28.500 --> 00:03:29.500]  一個可能打機,
[00:03:29.500 --> 00:03:33.500]  一個很可能尼達去做其他事情。
[00:03:33.500 --> 00:03:36.500]  雖然同一個空間是在一起的,
[00:03:36.500 --> 00:03:39.500]  但是很少深入的交往。
[00:03:39.500 --> 00:03:42.500]  我們的神二十四小時陪著我們,
[00:03:42.500 --> 00:03:46.500]  但是神都要求我們每一個星期裡面,
[00:03:46.500 --> 00:03:48.500]  有些時間撥出來,
[00:03:48.500 --> 00:03:50.500]  你跟他有親近。
[00:03:50.500 --> 00:03:52.500]  正如夫婦我經常都說,
[00:03:52.500 --> 00:03:56.500]  有時候是需要一些個別的空間時間去相聚。
[00:03:56.500 --> 00:03:58.500]  很簡單就感恩,
[00:03:58.500 --> 00:04:02.500]  我下兩個禮拜就會帶弟兄姊妹去以色列,
[00:04:02.500 --> 00:04:03.500]  很厲害,
[00:04:03.500 --> 00:04:05.500]  是九十四人去,
[00:04:05.500 --> 00:04:07.500]  我一個人帶九十四個人,
[00:04:07.500 --> 00:04:09.500]  師母都會跟著去,因為我很多甩漏。
[00:04:09.500 --> 00:04:11.500]  我很相信頭十二天,
[00:04:11.500 --> 00:04:13.500]  我們都會一起,
[00:04:13.500 --> 00:04:15.500]  可能同一輛旅遊車,
[00:04:15.500 --> 00:04:17.500]  但是我不會有機會跟師母說話,
[00:04:17.500 --> 00:04:18.500]  因為我一直要講解。
[00:04:18.500 --> 00:04:21.500]  第五到第十節,我們一起來讀出。
[00:04:21.500 --> 00:04:25.500]  「你要在耶和華你神面前說,
[00:04:25.500 --> 00:04:29.500]  我早原是一個張亡的雅蘭人,
[00:04:29.500 --> 00:04:31.500]  下到埃及寄居,
