
[00:00:00.000 --> 00:00:05.160]  很高興再次能夠在當中和大家分享聖經堡的說話
[00:00:05.160 --> 00:00:09.680]  我們繼續來看提摩太前書的學習
[00:00:09.680 --> 00:00:12.440]  我們今天講的經文的地方是
[00:00:12.440 --> 00:00:16.520]  五章的十七到六章的二節
[00:00:16.520 --> 00:00:19.880]  在經文裏面其實有一個很特別的地方
[00:00:19.880 --> 00:00:25.080]  我會從整個經文的寫作的結構裏面
[00:00:25.080 --> 00:00:30.400]  去呈現出當中的一個很美妙之處
[00:00:30.400 --> 00:00:33.080]  經文所講的內容其實如果就這樣看來
[00:00:33.080 --> 00:00:35.960]  其實大家都覺得很簡單很易明白
[00:00:35.960 --> 00:00:39.240]  我相信其實大家讀聖經多的時候
[00:00:39.240 --> 00:00:43.760]  必定都會知道保羅的教訓對教會
[00:00:43.760 --> 00:00:47.920]  特別在提摩太前書當中這個教目書信裏面
[00:00:47.920 --> 00:00:50.200]  保羅的心腸是怎樣
[00:00:50.200 --> 00:00:53.680]  讓我們一會進入經文之前
[00:00:53.680 --> 00:00:57.040]  一起同心圖告
[00:00:57.040 --> 00:00:59.120]  求祢的聖靈引導我們的心
[00:00:59.120 --> 00:01:01.440]  讓我們一起進入聖經當中
[00:01:01.440 --> 00:01:05.720]  去領受上帝祢豐豐富富的恩典
[00:01:05.720 --> 00:01:10.320]  又讓我們能夠在祢的話語當中得到啟發
[00:01:10.320 --> 00:01:12.520]  更好地去更新我們的生命
[00:01:12.520 --> 00:01:14.480]  又讓我們的信仰在當中
[00:01:14.480 --> 00:01:17.840]  去經歷上帝祢的說話的煉證和塗鑄
[00:01:17.840 --> 00:01:20.520]  讓我們更好地去榮耀主的名
[00:01:20.520 --> 00:01:22.840]  我們祈禱奉耶穌基督的聖名祈求
[00:01:22.840 --> 00:01:24.040]  阿門
[00:01:24.040 --> 00:01:25.720]  保羅的教目書信裏面
[00:01:25.720 --> 00:01:28.400]  經常處理很多作為目者
[00:01:28.400 --> 00:01:30.560]  作為在教會當中的領袖
[00:01:30.560 --> 00:01:35.880]  甚至信徒如何在教會相處
[00:01:35.880 --> 00:01:39.120]  教會的本質是甚麼一回事
[00:01:39.120 --> 00:01:42.920]  這是經常我們要去探討或者去討論
[00:01:42.920 --> 00:01:45.000]  甚至去反省的地方
[00:01:45.000 --> 00:01:46.800]  教會應該是怎樣呢
[00:01:46.800 --> 00:01:47.760]  如果很明顯的話
[00:01:47.760 --> 00:01:51.200]  教會應該是一個有彼此相愛的地方
[00:01:51.200 --> 00:01:57.600]  我們一起同心地去見證耶穌基督使命的一個地方
[00:01:57.600 --> 00:01:59.600]  地方?
