
[00:00:00.000 --> 00:00:04.160]  我們今天繼續承接上個星期
[00:00:04.160 --> 00:00:07.100]  其實已經很多星期了
[00:00:07.100 --> 00:00:08.900]  不過上個星期我們剛剛講完
[00:00:08.900 --> 00:00:11.820]  這個《肥立比書》第一章最後的部分
[00:00:11.820 --> 00:00:18.260]  我們再講一下《肥立比書》這四章短短的經文
[00:00:18.260 --> 00:00:20.320]  書信裏面
[00:00:20.320 --> 00:00:25.460]  保羅有很多次提到喜樂
[00:00:25.460 --> 00:00:27.740]  提到歡樂
[00:00:27.740 --> 00:00:29.660]  在諸裏面的快樂
[00:00:29.660 --> 00:00:31.260]  和信徒和神
[00:00:31.260 --> 00:00:38.200]  和在侍奉當中的這些夥伴
[00:00:38.200 --> 00:00:39.600]  大家一同的
[00:00:39.600 --> 00:00:40.900]  特別是教會
[00:00:40.900 --> 00:00:44.760]  一同在主裏面享受這份喜樂
[00:00:44.760 --> 00:00:48.260]  第一章我們講完
[00:00:48.260 --> 00:00:50.500]  上個星期最後的部分
[00:00:50.500 --> 00:00:53.940]  其實在經文繼續下去
[00:00:53.940 --> 00:00:55.900]  保羅特別是講到
[00:00:55.900 --> 00:00:58.260]  教會里面的弟兄姊妹
[00:00:58.260 --> 00:01:01.320]  需要有同一個心智
[00:01:01.320 --> 00:01:03.720]  以至我們能夠站立得穩
[00:01:03.720 --> 00:01:06.980]  今天艾遲領事的時候
[00:01:06.980 --> 00:01:10.900]  也剛剛這方面的詩歌很重的味道
[00:01:10.900 --> 00:01:12.800]  讓我們看到彼此相愛
[00:01:12.800 --> 00:01:17.200]  教會需要有這種互相待討
[00:01:17.200 --> 00:01:20.000]  相愛以至有一個美好的見證
[00:01:20.000 --> 00:01:22.660]  有基督的生命流露
[00:01:22.660 --> 00:01:24.660]  保羅在第一章最後的時候
[00:01:24.660 --> 00:01:27.060]  他很強烈的提到
[00:01:27.060 --> 00:01:30.000]  我們需要有這種同一的心智
[00:01:30.000 --> 00:01:31.060]  爲了什麼呢
[00:01:31.060 --> 00:01:35.900]  爲了我們能夠在福音裏面齊心努力
[00:01:35.900 --> 00:01:41.500]  肥立比的教會是一個很
[00:01:41.500 --> 00:01:43.860]  同心興旺福音的教會
[00:01:43.860 --> 00:01:46.660]  保羅一想到他們就爲他們感恩
[00:01:46.660 --> 00:01:49.160]  但是夠不夠呢?還沒有夠
[00:01:49.160 --> 00:01:51.960]  我們還有很多追求的空間
[00:01:51.960 --> 00:01:54.500]  我們還沒有到肥立比教會那麼好
[00:01:54.500 --> 00:01:57.460]  但也和肥立比教會一樣
[00:01:57.460 --> 00:02:00.360]  其實還有很多進步的空間
[00:02:00.360 --> 00:02:02.260]  所以我們的生命求主幫助我們
