
[00:00:00.000 --> 00:00:02.000]  我記一位神學院的同學
[00:00:02.000 --> 00:00:05.000]  當他被教會安納為牧師的時候
[00:00:05.000 --> 00:00:08.000]  教會裏面的信徒就去恭賀他
[00:00:08.000 --> 00:00:10.000]  跟他說恭喜恭喜
[00:00:10.000 --> 00:00:12.000]  恭喜你升官發財
[00:00:12.000 --> 00:00:15.000]  於是我的同學就這樣回答
[00:00:15.000 --> 00:00:18.000]  我安納為牧師就不是升職
[00:00:18.000 --> 00:00:20.000]  也不是升官
[00:00:20.000 --> 00:00:22.000]  更加沒有發財
[00:00:22.000 --> 00:00:24.000]  的確對很多人來說
[00:00:24.000 --> 00:00:27.000]  安納為牧師很多時候我們都會疑問
[00:00:27.000 --> 00:00:29.000]  不是升職嗎
[00:00:29.000 --> 00:00:31.000]  也有一位教會的執事
[00:00:31.000 --> 00:00:33.000]  當我跟他聊天
[00:00:33.000 --> 00:00:35.000]  說到他教會裏面的童工的仇
[00:00:35.000 --> 00:00:37.000]  他就表示
[00:00:37.000 --> 00:00:39.000]  他們雖然見到童工很努力的侍奉
[00:00:39.000 --> 00:00:41.000]  也很欣賞的侍奉
[00:00:41.000 --> 00:00:43.000]  很忠誠的侍奉了很久
[00:00:43.000 --> 00:00:45.000]  不過不敢安納他
[00:00:45.000 --> 00:00:46.000]  為什麼呢
[00:00:46.000 --> 00:00:49.000]  因為大家以前一起在教會長大
[00:00:49.000 --> 00:00:51.000]  這麼高這麼大
[00:00:51.000 --> 00:00:53.000]  現在忽然之間說要安納他
[00:00:53.000 --> 00:00:55.000]  做牧師在我頭上
[00:00:55.000 --> 00:00:56.000]  怎麼可以呢
[00:00:56.000 --> 00:00:59.000]  去面對他呢
[00:00:59.000 --> 00:01:02.000]  當我代表教會的執事會
[00:01:02.000 --> 00:01:04.000]  去查看被推薦
[00:01:04.000 --> 00:01:10.000]  將要推薦安納為牧師的童工的資歷的時候
[00:01:10.000 --> 00:01:12.000]  也同樣有信徒問
[00:01:12.000 --> 00:01:15.000]  傳道人和牧師有什麼分別呢
[00:01:15.000 --> 00:01:17.000]  為什麼要安納呢
[00:01:17.000 --> 00:01:18.000]  牧師做的事
[00:01:18.000 --> 00:01:21.000]  傳道人都做而已
[00:01:21.000 --> 00:01:22.000]  沒錯
[00:01:22.000 --> 00:01:24.000]  有些人認為傳道人做久了
[00:01:24.000 --> 00:01:26.000]  就要升職了
