
[00:00:00.000 --> 00:00:03.720]  大家繼續去分享已不鎖書的訊息
[00:00:03.720 --> 00:00:06.440]  今天我們來到第五章的一段經文
[00:00:06.440 --> 00:00:09.600]  是關於夫婦相處之道
[00:00:09.600 --> 00:00:11.980]  這段經文在婚禮裏面
[00:00:11.980 --> 00:00:16.880]  我們經常都會聽到是用來訓練的一段經文
[00:00:16.880 --> 00:00:20.320]  這一堂的頂姐妹相對上比較年輕一點
[00:00:20.320 --> 00:00:23.060]  所以我相信當中都有不少頂姐妹
[00:00:23.060 --> 00:00:25.520]  是你仍然未結婚的
[00:00:25.520 --> 00:00:28.120]  我希望今天這堂訊息
[00:00:28.120 --> 00:00:32.360]  不會讓你有太多旁聽的感覺
[00:00:32.360 --> 00:00:35.040]  因為很多人都說
[00:00:35.040 --> 00:00:39.320]  婚姻關係其實是在眾多的關係裏面
[00:00:39.320 --> 00:00:42.440]  是最密集的關係
[00:00:42.440 --> 00:00:46.920]  如果你能夠拿捏得到婚姻關係裏面的重點的話
[00:00:46.920 --> 00:00:50.520]  必定對你在其他人際關係裏面會有幫助
[00:00:50.520 --> 00:00:51.720]  所以我盼望今天
[00:00:51.720 --> 00:00:56.520]  藉著聖經裏面所教導的夫婦家庭裏面的關係
[00:00:56.520 --> 00:01:01.920]  能夠給我們每一位頂姐妹都有啟發有幫助
[00:01:01.920 --> 00:01:06.960]  頂姐妹很多時候我們都會不知不覺地
[00:01:06.960 --> 00:01:11.000]  去忽略了一些我們所愛的人
[00:01:11.000 --> 00:01:14.320]  有時可能因為大家實在彼此太熟悉了
[00:01:14.320 --> 00:01:16.120]  在一起太久了
[00:01:16.120 --> 00:01:19.560]  反而會少了一份尊重
[00:01:19.560 --> 00:01:22.240]  少了一份彼此珍惜的感覺
[00:01:22.240 --> 00:01:24.400]  這個忽略在家庭的關係
[00:01:24.400 --> 00:01:28.480]  在婚姻關係裏面是非常之常見的
[00:01:28.480 --> 00:01:29.680]  我問一下你
[00:01:29.680 --> 00:01:33.880]  你還會不會刻意地圍著你所愛的人
[00:01:33.880 --> 00:01:35.200]  或者你另一半
[00:01:35.200 --> 00:01:37.280]  你會適當打扮
[00:01:37.280 --> 00:01:40.080]  或者你會不會經常刻意去想一下
[00:01:40.080 --> 00:01:43.520]  怎樣可以令到對方開心一點
[00:01:43.520 --> 00:01:46.440]  或許我們已經覺得我們相反太了解
[00:01:46.440 --> 00:01:48.840]  我們之間已經沒有甚麼驚喜
[00:01:48.840 --> 00:01:50.800]  亦都沒有甚麼驚嚇
[00:01:50.800 --> 00:01:54.240]  所以都無謂多此一舉
[00:01:54.240 --> 00:01:56.560]  但保羅他提醒我們
[00:01:56.560 --> 00:01:58.720]  其實家庭關係
[00:01:58.720 --> 00:02:00.840]  夫婦的關係
[00:02:00.840 --> 00:02:06.200]  是遠比我們能夠想像的豐富很多
[00:02:06.200 --> 00:02:09.880]  就好像基督和教會的關係
[00:02:09.880 --> 00:02:11.840]  我們能夠看到的
[00:02:11.840 --> 00:02:13.800]  我們能夠體會、經歷到的
