
[00:00:00.000 --> 00:00:01.800]  歡迎參加《舊日網上行》
[00:00:01.800 --> 00:00:03.200]  我們這次是第二集
[00:00:03.200 --> 00:00:05.800]  在《網上行》我們就是去不同的地方
[00:00:05.800 --> 00:00:07.100]  去到聖經的世界
[00:00:07.100 --> 00:00:09.700]  我們就去聽一下別人的觀點
[00:00:09.700 --> 00:00:15.800]  我們不要硬是將我們自己現代人的觀點套到聖經身上
[00:00:15.800 --> 00:00:17.400]  其實你想深一層
[00:00:17.400 --> 00:00:20.600]  《網上行》是一個超時空的旅程
[00:00:20.600 --> 00:00:22.200]  我們回到以前
[00:00:22.200 --> 00:00:25.900]  地理、考古等等的資料幫助我們
[00:00:25.900 --> 00:00:28.000]  去到古代聖經的世界
[00:00:28.000 --> 00:00:33.200]  我們先去聽一下以前的人他們在想什麼
[00:00:33.200 --> 00:00:36.800]  不要覺得古代的人還沒有開發
[00:00:36.800 --> 00:00:38.300]  沒有文明
[00:00:38.300 --> 00:00:40.400]  我們現代人就不同了
[00:00:40.400 --> 00:00:46.200]  這個想法就是希望在《網上行》裡面我們能夠改正
[00:00:46.200 --> 00:00:48.300]  聽一下古代聖經世界
[00:00:48.300 --> 00:00:51.900]  直到他們來啟示他們的真理的時候
[00:00:51.900 --> 00:00:53.400]  我們就能夠了解
[00:00:53.400 --> 00:00:57.000]  上帝今時今日會跟我們講什麼話
[00:00:58.000 --> 00:01:00.200]  上帝今時今日會跟我們講什麼話
[00:01:00.200 --> 00:01:02.700]  上帝今時今日會跟我們講什麼話
[00:01:02.700 --> 00:01:05.100]  上帝今時今日會跟我們講什麼話
[00:01:05.100 --> 00:01:07.400]  上帝今時今日會跟我們講什麼話
[00:01:07.400 --> 00:01:09.700]  上帝今時今日會跟我們講什麼話
[00:01:09.700 --> 00:01:12.100]  上帝今時今日會跟我們講什麼話
[00:01:12.100 --> 00:01:14.300]  上帝今時今日會跟我們講什麼話
[00:01:14.300 --> 00:01:16.300]  上帝今時今日會跟我們講什麼話
[00:01:16.300 --> 00:01:18.300]  上帝今時今日會跟我們講什麼話
[00:01:18.300 --> 00:01:20.300]  上帝今時今日會跟我們講什麼話
[00:01:20.300 --> 00:01:22.300]  上帝今時今日會跟我們講什麼話
[00:01:22.300 --> 00:01:24.300]  上帝今時今日會跟我們講什麼話
