
[00:00:00.000 --> 00:00:02.000]  今日是母親節主日
[00:00:02.000 --> 00:00:04.000]  好想送個微笑給大家
[00:00:04.000 --> 00:00:06.000]  希望你能感受到
[00:00:06.000 --> 00:00:09.000]  我在口罩後面的微笑
[00:00:09.000 --> 00:00:13.000]  由上個月開始
[00:00:13.000 --> 00:00:15.000]  已經從各個渠道
[00:00:15.000 --> 00:00:18.000]  看到很多關於母親節消費項目的廣告
[00:00:18.000 --> 00:00:20.000]  林林種種
[00:00:20.000 --> 00:00:22.000]  各式各樣都有
[00:00:22.000 --> 00:00:23.000]  訂花啦
[00:00:23.000 --> 00:00:24.000]  關於食的都不少
[00:00:24.000 --> 00:00:25.000]  蛋糕呀
[00:00:25.000 --> 00:00:26.000]  點心呀
[00:00:26.000 --> 00:00:27.000]  下午茶呀
[00:00:27.000 --> 00:00:28.000]  補件食品呀
[00:00:28.000 --> 00:00:29.000]  外賣速遞呀
[00:00:29.000 --> 00:00:31.000]  還有服裝呀
[00:00:31.000 --> 00:00:32.000]  首飾呀
[00:00:32.000 --> 00:00:33.000]  很多女士用品
[00:00:33.000 --> 00:00:34.000]  護膚品呀
[00:00:34.000 --> 00:00:35.000]  化妝品呀
[00:00:35.000 --> 00:00:36.000]  手袋呀
[00:00:36.000 --> 00:00:37.000]  香水呀
[00:00:37.000 --> 00:00:38.000]  香薰呀
[00:00:38.000 --> 00:00:39.000]  電子產品呀
[00:00:39.000 --> 00:00:40.000]  家庭電器用品呀
[00:00:40.000 --> 00:00:41.000]  廚具呀
[00:00:41.000 --> 00:00:42.000]  日用品呀
[00:00:42.000 --> 00:00:44.000]  旅遊和酒店住宿優惠
[00:00:44.000 --> 00:00:46.000]  水療套裝都有
[00:00:46.000 --> 00:00:49.000]  你說日日母親節多好呢
[00:00:49.000 --> 00:00:52.000]  日日都有購物和消費的優惠
[00:00:52.000 --> 00:00:54.000]  對於商人來說
[00:00:54.000 --> 00:00:58.000]  母親節可以算是一個刺激消費的日子
[00:00:58.000 --> 00:01:02.000]  所以日日母親節就日日有生意
[00:01:02.000 --> 00:01:06.000]  日日都是節日
[00:01:06.000 --> 00:01:09.000]  會不會有另外一方面的意思呢
[00:01:09.000 --> 00:01:11.000]  我認識一對夫婦
[00:01:11.000 --> 00:01:14.000]  丈夫每逢任何節日
[00:01:14.000 --> 00:01:16.000]  都不會為太太慶祝
[00:01:16.000 --> 00:01:20.000]  生日結婚周年不在話下
[00:01:20.000 --> 00:01:22.000]  情人節都不會慶祝
[00:01:22.000 --> 00:01:27.000]  他認為這只是商人刺激消費的伎倆
[00:01:27.000 --> 00:01:29.000]  我們無謂重他計
[00:01:29.000 --> 00:01:32.000]  只要我平日對太太好就行
[00:01:32.000 --> 00:01:34.000]  不過我認識他們的時候
[00:01:34.000 --> 00:01:36.000]  他們都是很恩愛的
[00:01:36.000 --> 00:01:38.000]  起初結婚的時候
[00:01:38.000 --> 00:01:41.000]  太太為了這件事非常不滿
[00:01:41.000 --> 00:01:43.000]  太太是一個很浪漫的人
[00:01:43.000 --> 00:01:46.000]  她很期望丈夫在這些特別的日子
[00:01:46.000 --> 00:01:48.000]  會有些特別的表示
[00:01:48.000 --> 00:01:50.000]  最好是有心思
[00:01:50.000 --> 00:01:52.000]  有驚喜
[00:01:52.000 --> 00:01:55.000]  但是丈夫每一次都令她很失望
[00:01:55.000 --> 00:02:00.000]  他們試過為這些事情大吵大架
[00:02:00.000 --> 00:02:03.000]  但是都不能改變丈夫
[00:02:03.000 --> 00:02:05.000]  後來太太想通了
[00:02:05.000 --> 00:02:07.000]  她就接納丈夫的性格
[00:02:07.000 --> 00:02:11.000]  她接納丈夫是一個很實際的人
[00:02:11.000 --> 00:02:13.000]  她不懂得浪漫
[00:02:13.000 --> 00:02:16.000]  而且她平日都對他很好
[00:02:16.000 --> 00:02:18.000]  又很尊重他
[00:02:18.000 --> 00:02:20.000]  尤其是家中有重大決定的時候
[00:02:20.000 --> 00:02:21.000]  一定會和他商量
[00:02:21.000 --> 00:02:23.000]  尊重他的意見
[00:02:23.000 --> 00:02:24.000]  後來太太想通之後
[00:02:24.000 --> 00:02:27.000]  她就不再當作一回事
