
[00:00:00.000 --> 00:00:01.720]  大家感恩節快樂
[00:00:01.720 --> 00:00:04.800]  你們好像沒什麼反應
[00:00:04.800 --> 00:00:07.520]  太感動了吧
[00:00:07.520 --> 00:00:11.400]  說個笑話給你們聽
[00:00:11.400 --> 00:00:13.480]  讓你們笑一下好不好
[00:00:13.480 --> 00:00:16.720]  以前有一位陳老師
[00:00:16.720 --> 00:00:19.440]  是小學老師
[00:00:19.440 --> 00:00:21.840]  他高大威猛
[00:00:21.840 --> 00:00:23.160]  威風凜凜
[00:00:23.160 --> 00:00:24.720]  不過可惜有一個弱點
[00:00:24.720 --> 00:00:27.400]  弱點就是每逢緊張的時候
[00:00:27.400 --> 00:00:29.320]  他就會口吃
[00:00:29.760 --> 00:00:31.280]  大家知道什麼是口吃嗎
[00:00:31.280 --> 00:00:38.440]  有一次他就監考學生考試
[00:00:38.440 --> 00:00:41.480]  監考期間忽然間留意到一個學生
[00:00:41.480 --> 00:00:44.560]  在桌底出貓
[00:00:44.560 --> 00:00:46.480]  抄他的貓紙
[00:00:46.480 --> 00:00:49.960]  他當時很緊張
[00:00:49.960 --> 00:00:51.840]  就離遠指出他們
[00:00:51.840 --> 00:00:54.440]  你你你你你你你
[00:00:54.440 --> 00:00:57.080]  你竟然出貓
[00:00:57.760 --> 00:01:00.000]  你給我們起床
[00:01:00.000 --> 00:01:02.280]  結果說完之後
[00:01:02.280 --> 00:01:04.640]  有九個學生一起起床
[00:01:04.640 --> 00:01:18.200]  原來口吃有時是大遇其遇
[00:01:18.200 --> 00:01:21.560]  你們很猛
[00:01:21.560 --> 00:01:27.080]  今天跟大家說的題目就是
[00:01:27.240 --> 00:01:29.880]  你是不是那九個之一呢
[00:01:29.880 --> 00:01:32.440]  你們知道我想說什麼嗎
[00:01:32.440 --> 00:01:38.640]  出貓嗎
[00:01:38.640 --> 00:01:43.600]  跟大家說的是路加福音
[00:01:43.600 --> 00:01:45.040]  來到感恩節的時候
[00:01:45.040 --> 00:01:50.240]  一定沒辦法不再說這段熟悉的記載
[00:01:50.240 --> 00:01:54.480]  就是有十個長大麻瘋的病人
[00:01:54.480 --> 00:01:55.760]  記不記得這個故事
[00:01:55.760 --> 00:01:57.280]  大家應該很熟悉了
[00:01:57.280 --> 00:02:02.360]  所以這個題目就是
[00:02:02.360 --> 00:02:04.960]  你是不是那九個之一呢
