
[00:00:00.000 --> 00:00:04.000]  今天是《羅馬書》第八章的最後一段
[00:00:04.000 --> 00:00:10.000]  亦可以說是整個《羅馬書》成聖之旅結束的一段時間
[00:00:10.000 --> 00:00:16.000]  我閱讀的時候發現一個非常精彩的一段聖經
[00:00:16.000 --> 00:00:20.000]  求主使用一個住在墳舍的人
[00:00:20.000 --> 00:00:24.000]  能夠將他寶貴的說話講得清楚
[00:00:24.000 --> 00:00:25.000]  請大家翻開聖經
[00:00:25.000 --> 00:00:32.000]  或者你們可以打開我們的經文《羅馬書》第八章十八到三十九節
[00:00:32.000 --> 00:00:39.000]  《羅馬書》第八章十八節說
[00:00:39.000 --> 00:00:47.000]  我想現在的苦楚比起將來要顯於我們的榮耀就不足介意了
[00:00:47.000 --> 00:00:49.000]  如果你接著看上文
[00:00:49.000 --> 00:00:54.000]  第十七節就說要為主受苦並且一同和他享受這個榮耀
[00:00:54.000 --> 00:00:58.000]  保羅接著要結束整個《成聖之旅》的討論
[00:00:58.000 --> 00:01:03.000]  他說現在我要和大家總結整個《成聖之旅》
[00:01:03.000 --> 00:01:05.000]  很宏觀地看
[00:01:05.000 --> 00:01:11.000]  過去第五到第七章主要的集中點都是個人的成聖問題
[00:01:11.000 --> 00:01:14.000]  罪的掙扎對律法處理的問題
[00:01:14.000 --> 00:01:17.000]  不過到了第八章十八節開始
[00:01:17.000 --> 00:01:22.000]  保羅從一個非常宏觀整個世界甚至是整個世界發展的終局
[00:01:22.000 --> 00:01:25.000]  你看回我們所領受的救恩
[00:01:25.000 --> 00:01:27.000]  他說現在我們所面對的苦楚
[00:01:27.000 --> 00:01:33.000]  保羅好像很離地地用這個字眼
[00:01:33.000 --> 00:01:37.000]  我們得的救恩脫離這個世界的苦難
[00:01:37.000 --> 00:01:39.000]  就好像我們一帆風順
[00:01:39.000 --> 00:01:42.000]  他仍然說我們現在面對苦難
[00:01:42.000 --> 00:01:44.000]  但是比起將來的榮耀
[00:01:44.000 --> 00:01:48.000]  苦難榮耀都是十七節所用的字眼
[00:01:48.000 --> 00:01:50.000]  就不足介意了
[00:01:50.000 --> 00:01:54.000]  如果你記得保羅在另外的經文裡面說
[00:01:54.000 --> 00:01:59.000]  他說現在我們所面對的是自暫自輕
[00:01:59.000 --> 00:02:01.000]  是短暫的而且輕的
[00:02:01.000 --> 00:02:06.000]  然後相對來說就是極重無比的榮耀
[00:02:06.000 --> 00:02:09.000]  這裡可以說是異曲同工之妙
[00:02:09.000 --> 00:02:15.000]  然後他怎樣去形容這個自暫自輕的苦楚
[00:02:15.000 --> 00:02:18.000]  和極重無比的榮耀呢
[00:02:18.000 --> 00:02:22.000]  這裡就在羅馬書十八章的經文裡面
[00:02:22.000 --> 00:02:25.000]  提過三個嘆息
[00:02:25.000 --> 00:02:26.000]  大家不知道有沒有留意到
[00:02:26.000 --> 00:02:31.000]  第一個嘆息就是第二十二節
[00:02:31.000 --> 00:02:35.000]  他說我們知道一切受造之物一同嘆息勞苦
[00:02:35.000 --> 00:02:38.000]  然後第二個嘆息就是二十三節
[00:02:38.000 --> 00:02:39.000]  不但如此
[00:02:39.000 --> 00:02:41.000]  就是我們者有聖靈初見果子的
[00:02:41.000 --> 00:02:44.000]  也是自己心裡嘆息
[00:02:44.000 --> 00:02:47.000]  第三個嘆息就是二十六節
[00:02:47.000 --> 00:02:48.000]  最後一句
[00:02:48.000 --> 00:02:54.000]  他指示聖靈親自用說不出來的嘆息提門祈禱
[00:02:54.000 --> 00:02:55.000]  三個嘆息
[00:02:55.000 --> 00:02:57.000]  第一個嘆息是萬物的嘆息
[00:02:57.000 --> 00:02:58.000]  二十二節
[00:02:58.000 --> 00:03:01.000]  第二個嘆息是二十三節
[00:03:01.000 --> 00:03:04.000]  就是信主的人基督徒的嘆息
[00:03:04.000 --> 00:03:06.000]  第三個嘆息就是二十六節
[00:03:06.000 --> 00:03:08.000]  聖靈的嘆息
[00:03:08.000 --> 00:03:10.000]  我們試試一段一段來看
[00:03:10.000 --> 00:03:12.000]  我們先看十八到二十五節
[00:03:12.000 --> 00:03:14.000]  這兩個嘆息
[00:03:14.000 --> 00:03:18.000]  當然保羅在說受造之物
[00:03:18.000 --> 00:03:21.000]  他們的嘆息是一個擬人化的說法
[00:03:21.000 --> 00:03:24.000]  好像當他們有生命的說法
[00:03:24.000 --> 00:03:27.000]  整個世界萬物除了人類之外
[00:03:27.000 --> 00:03:29.000]  他們一同嘆息
[00:03:29.000 --> 00:03:32.000]  等候著神的眾子顯出來
[00:03:32.000 --> 00:03:33.000]  神的眾子
[00:03:33.000 --> 00:03:35.000]  就是上帝所拯救的兒女
[00:03:35.000 --> 00:03:36.000]  接著上文所說
[00:03:36.000 --> 00:03:40.000]  我們呼叫阿爸父的神的兒女們
[00:03:40.000 --> 00:03:43.000]  將來有一天和耶穌基督榮耀的再來
[00:03:43.000 --> 00:03:45.000]  萬物
[00:03:45.000 --> 00:03:46.000]  保羅用一個擬人化的方法說
[00:03:46.000 --> 00:03:49.000]  這個世界在等候著這一天的來臨
[00:03:49.000 --> 00:03:51.000]  他說現在二十節
[00:03:51.000 --> 00:03:55.000]  因為受造之物伏在虛空之下
[00:03:55.000 --> 00:03:58.000]  受造之物為什麼伏在虛空之下呢
[00:03:58.000 --> 00:04:00.000]  本來在創世紀裡面說
[00:04:00.000 --> 00:04:01.000]  神創造大地
[00:04:01.000 --> 00:04:04.000]  就是從空虛混沌裡面創造的
[00:04:04.000 --> 00:04:07.000]  然後在上帝奇妙的作為裡面
[00:04:07.000 --> 00:04:09.000]  這個大地變成了美麗
[00:04:09.000 --> 00:04:12.000]  有秩序和甚好的一個大地
[00:04:12.000 --> 00:04:15.000]  不過轉到創世第三章
[00:04:15.000 --> 00:04:16.000]  因為人的犯罪
[00:04:16.000 --> 00:04:20.000]  所以這個世界長出荊棘疾泥
[00:04:20.000 --> 00:04:23.000]  這個世界很多的事不與人
